what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343915110330
java.specification.version,sysinfo,,,"1.6",1343915110330
java.vendor,sysinfo,,,"Apple Inc.",1343915110330
java.version,sysinfo,,,"1.6.0_33",1343915110330
java.vm.info,sysinfo,,,"mixed mode",1343915110330
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343915110330
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343915110330
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343915110330
java.vm.specification.version,sysinfo,,,"1.0",1343915110330
java.vm.vendor,sysinfo,,,"Apple Inc.",1343915110330
java.vm.version,sysinfo,,,"20.8-b03-424",1343915110330
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1343915110729
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1343915110732
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1343915110758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343915121552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343915123341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1343915123384
error,log,,,"Invalid preference page path: Web Page Editor",1343915125514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343915125669
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1343915132522
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1343915160578
started,bundle,org.eclipse.rse.core,3.2.2.R33x_v201110030150,"org.eclipse.rse.core",1343915160613
started,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1343915160755
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1343915160758
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1343915160759
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1343915160821
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1343915160822
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1343915160884
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1343915160894
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1343915166286
started,bundle,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui",1343915166307
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1343915166417
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1343915166513
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1343915166954
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1343915187145
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1343915198684
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1343915207119
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1343915207126
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1343915207171
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1343915217962
started,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1343915222091
started,bundle,org.eclipse.ant.core,3.2.302.v20120110-1739,"org.eclipse.ant.core",1343915230996
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1343915231341
started,bundle,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.ui",1343915238175
