DATETIME,DATETIME,SHT40,SHT40,BMP380,VEML6030
DATE,TIME,TC,RH,BP,LX
2021-09-20,01:30:00,23.64,76.73,1012.13,206.44
2021-09-20,02:00:00,23.59,76.9,1012.02,176.95
2021-09-20,02:30:00,23.72,76.72,1011.73,176.95
2021-09-20,03:00:00,23.48,78.26,1011.57,162.2
2021-09-20,03:30:00,23.24,79.25,1011.24,162.2
2021-09-20,04:00:00,23.42,78.86,1011.1,162.2
2021-09-20,04:30:00,23.15,78.28,1011.16,162.2
2021-09-20,05:00:00,23.24,77.69,1011.18,162.2
2021-09-20,05:30:00,22.99,79.01,1011.19,162.2
2021-09-20,06:00:00,22.89,79.86,1011.28,3642
2021-09-20,06:30:00,23.18,79.01,1011.7,472.2
2021-09-20,07:00:00,23.88,76.25,1011.76,1664
2021-09-20,07:30:00,24.91,73.26,1011.9,47.87
2021-09-20,08:00:00,27.93,61.57,1011.92,860.26
2021-09-20,08:30:00,29.94,54.99,1011.89,2406
2021-09-20,09:00:00,29.75,55.02,1012.06,1936
2021-09-20,09:30:00,31.49,49.54,1011.97,3040
2021-09-20,10:00:00,32.86,49.2,1012.11,832.44
2021-09-20,10:30:00,33.4,51.02,1012.1,35.42
2021-09-20,11:00:00,33.84,48.13,1011.75,4037
2021-09-20,11:30:00,33.46,48.25,1011.75,3765
2021-09-20,12:00:00,32.58,53.49,1011.46,2832
2021-09-20,12:30:00,33.33,52.12,1011.03,2645
2021-09-20,13:00:00,32.07,55.23,1010.88,1545
2021-09-20,13:30:00,31.49,52.3,1010.42,1969
2021-09-20,14:00:00,31.71,55.76,1010.16,2167
2021-09-20,14:30:00,30.73,58.48,1009.92,490.81
2021-09-20,15:00:00,30.04,60.23,1009.79,1217
2021-09-20,15:30:00,29.75,61.96,1009.97,1473
2021-09-20,16:00:00,29.92,62.09,1009.95,1284
2021-09-20,16:30:00,30.24,63.13,1010.0,2679
2021-09-20,17:00:00,30.26,61.3,1009.92,2457
2021-09-20,17:30:00,30.26,59.23,1009.72,1455
2021-09-20,18:00:00,29.3,64.27,1009.59,1894
2021-09-20,18:30:00,28.27,65.78,1009.72,1094
2021-09-20,19:00:00,28.24,63.22,1009.49,412.88
2021-09-20,19:30:00,27.81,63.65,1009.59,412.88
2021-09-20,20:00:00,27.74,65.44,1009.74,412.88
2021-09-20,20:30:00,27.45,66.23,1009.87,412.88
2021-09-20,21:00:00,27.7,65.77,1010.44,1769
2021-09-20,21:30:00,28.03,64.71,1010.59,1876
2021-09-20,22:00:00,28.38,64.43,1010.67,1983
2021-09-20,22:30:00,27.42,65.88,1010.76,147.46
2021-09-20,23:00:00,27.15,67.79,1010.94,147.46
2021-09-20,23:30:00,27.0,69.26,1011.01,147.46
2021-09-21,00:00:00,26.63,67.43,1010.88,147.46
2021-09-21,00:30:00,26.44,64.71,1010.79,147.46
