設定表示:
	値でソート
	簡略メソッド名
	バーを左に表示
	システムをフィルタ

 メソッドの実行時間 (ms)

 ********************************| 135944 AlphabetIndexing.translate
        *************************| 106780 KnuthMorrisPratt.findIndex
         ************************| 103303 DecisionTree.findPattern
                            *****|  25177 SuffixTree.charAt
                            *****|  24401 SuffixTree.charAt
                            *****|  21651 SuffixTree.insertSuffix
                              ***|  16076 SuffixTree.beforeEqualOrGreaterChild
                              ***|  13015 SuffixTree.removeEmptyLeaves
                               **|  12225 SuffixTree.<init>
                               **|  11982 SuffixTree.childrensDummyLeader
                               **|  10682 DecisionTree.log2
                               **|  10617 SuffixTree.extendVal
                               **|   8921 DecisionTree.infValue
                                *|   8364 SuffixTree.isLeaf
                                *|   6498 SuffixTree.firstChild
                                *|   6303 DecisionTree.decide
                                *|   6111 SuffixTree.insertBreakNode
                                *|   5371 Bonsai.verifyDecisionTree
                                *|   4858 SuffixTree.addInsertSibling
                                *|   4459 SuffixTreeEnumerator.next
                                 |   4117 SuffixTree.representingString
                                 |   3800 SuffixTreeEnumerator.hasMoreElements
                                 |   3278 SuffixTree.<init>
                                 |   2472 SuffixTree.isEmptyLeaf
                                 |   2334 SuffixTreeEnumerator.nextElement
                                 |   2065 SuffixTree.<init>
                                 |   2001 SuffixTree.isRoot
                                 |   1927 KnuthMorrisPratt.findIndex
                                 |   1857 SuffixTree.countup
                                 |   1693 SuffixTree.firstChild
                                 |   1635 DecisionTree.isLeaf
                                 |   1612 SuffixTreeEnumerator.mostLowestNonLastAncestor
                                 |   1407 SuffixTreeEnumerator.hasMoreNodes
                                 |   1381 SuffixTree.isDummyLeader
                                 |   1284 SuffixTree.isLastSibling
                                 |    992 AlphabetIndexing.addToDomain
                                 |    652 Bonsai.<init>
                                 |    632 SuffixTree.countup
                                 |    537 Bonsai.negativeLabel
                                 |    208 VectorArray.at
                                 |    176 DecisionTree.partition
                                 |    162 AlphabetIndexing.domainString
                                 |    157 Predicates$HashComparator.execute
                                 |    140 SuffixTree.enumeration
                                 |    127 Bonsai.makeDecisionTree
                                 |    120 Bonsai.positiveLabel
                                 |    118 Sorting.unguardedLinearInsert
                                 |     85 Sorting.quickSortLoop
                                 |     81 VectorIterator.nextElement
                                 |     76 KnuthMorrisPratt.<init>
                                 |     66 Sorting.finalInsertionSort
                                 |     63 Sorting.linearInsert
                                 |     61 DecisionTree.<init>
                                 |     59 KnuthMorrisPratt.computeBorders
                                 |     47 VectorIterator.hasMoreElements
                                 |     38 VectorArray.put
                                 |     31 VectorArray.start
                                 |     20 VectorArray.begin
                                 |     16 Bonsai.findBetterNeighbor
                                 |     15 AlphabetIndexingNeighbor.findNextDisplacement
                                 |     14 Bonsai.main
                                 |     13 Sorting.sort
                                 |     13 VectorIterator.<init>
                                 |     11 DecisionTree.<init>
                                 |      9 SuffixTreeEnumerator.<init>
                                 |      7 AlphabetIndexing.clone
                                 |      6 Sorting.<init>
                                 |      6 AlphabetIndexingNeighbor.next
                                 |      6 DecisionTree.toString
                                 |      5 VectorArray.end
                                 |      4 VectorIterator.getContainer
                                 |      4 AlphabetIndexing.<init>
                                 |      4 ArrayAdapter.<init>
                                 |      4 AlphabetIndexingNeighbor.hasNext
                                 |      4 VectorArray.finish
                                 |      3 AlphabetIndexing.randomize
                                 |      3 VectorIterator.distance
                                 |      2 StringMatching.<init>
                                 |      2 VectorIterator.isCompatibleWith
                                 |      2 Bonsai.<init>
                                 |      2 Predicates$HashComparator.<init>
                                 |      1 AlphabetIndexingNeighbor.<init>
                                 |      1 VectorArray.<init>
                                 |      0 Bonsai.verifyDecisionTree
                                 |      0 VectorArray.elements
                                 |      0 <unknown>
