size	merge	r-merge	heap	quick	selection	bubble
2000	0.012	0.0040	0.0020	0.0050	0.012	0.024
2000	0.0030	0.0	0.0020	0.0020	0.01	0.019
2000	0.0010	0.0	0.0	0.0010	0.0080	0.018
2000	0.0010	0.0020	0.0010	0.0010	0.0080	0.019
2000	0.0010	0.0010	0.0	0.0010	0.0080	0.018
2000	0.0010	0.0010	0.0	0.0	0.0080	0.018
2000	0.0010	0.0	0.0	0.0	0.0080	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.0090	0.018
2000	0.0010	0.0	0.0	0.0	0.0080	0.018
2000	0.0010	0.0010	0.0	0.0	0.0090	0.018
2000	0.0010	0.0010	0.0	0.0010	0.01	0.018
2000	0.0010	0.0010	0.0010	0.0	0.0090	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.0090	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.0090	0.018
2000	0.0010	0.0	0.0	0.0	0.0090	0.019
2000	0.0010	0.0010	0.0	0.0	0.0090	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.0090	0.018
2000	0.0010	0.0010	0.0	0.0	0.0090	0.018
2000	0.0010	0.0010	0.0	0.0	0.01	0.019
2000	0.0010	0.0010	0.0	0.0010	0.01	0.019
2000	0.0010	0.0010	0.0	0.0	0.01	0.018
2000	0.0010	0.0010	0.0010	0.0	0.01	0.027
2000	0.0010	0.0	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.01	0.019
2000	0.0010	0.0010	0.0	0.0010	0.011	0.018
2000	0.0010	0.0010	0.0	0.0	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.011	0.019
2000	0.0010	0.0010	0.0	0.0	0.011	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.011	0.019
2000	0.0010	0.0010	0.0010	0.0010	0.01	0.018
2000	0.0010	0.0010	0.0010	0.0	0.01	0.018
2000	0.0010	0.0010	0.0010	0.0010	0.011	0.019
2000	0.0010	0.0010	0.0	0.0	0.01	0.018
2000	0.0020	0.0010	0.0010	0.0	0.01	0.018
2000	0.0010	0.0	0.0	0.0	0.01	0.018
2000	0.0010	0.0010	0.0	0.0	0.011	0.018
