区分,学生番号,枝番,日付,時刻,端末番号
01,222C2083,1,20231002,125042,029
01,222C2050,1,20231002,125139,029
01,222C2015,2,20231002,124414,029
01,222C2016,1,20231002,124428,029
01,222C2014,1,20231002,125052,029
01,222C2030,1,20231002,125151,029
01,222C2063,1,20231002,124742,029
01,222C2100,1,20231002,125119,029
01,222C2044,1,20231002,125320,029
01,222C2089,1,20231002,124344,029
01,212C2033,1,20231002,125116,029
01,222C2097,1,20231002,124409,029
01,222C2075,1,20231002,125040,029
01,212C2050,1,20231002,125347,029
01,222C2035,1,20231002,124425,029
01,222C2054,1,20231002,125157,029
01,212C3080,1,20231002,143343,029
01,182C3115,2,20231002,143400,029
01,23224204,1,20231002,143415,029
01,23224205,1,20231002,143417,029
01,212C3089,1,20231002,143340,029
01,212C3079,1,20231002,143345,029
01,212C3028,1,20231002,143506,029
01,212C3087,1,20231002,143356,029
01,212C3011,1,20231002,143358,029
01,212C3047,1,20231002,143347,029
01,212C3043,1,20231002,143351,029
01,17232093,4,20231002,143404,029
01,23224202,1,20231002,143413,029
01,222C2031,1,20231002,154541,029
01,212C3051,1,20231003,102208,029
01,212C3002,1,20231003,102537,029
01,212C2071,1,20231003,102005,029
02,236E0021,1,20231003,125220,029
02,236E0012,1,20231003,125223,029
02,236E0064,1,20231003,125228,029
01,222C2014,1,20231004,102209,029
01,222C2083,1,20231004,102339,029
01,222C2095,1,20231004,102114,029
01,222C2100,1,20231004,102122,029
01,222C2010,1,20231004,102155,029
01,202C2013,2,20231004,102158,029
01,212C2033,1,20231004,102244,029
01,222C2026,1,20231004,102821,029
01,222C2055,1,20231004,102119,029
01,212C2018,1,20231004,102542,029
01,222C2062,1,20231004,102106,029
01,222C2030,1,20231004,102116,029
01,222C2089,1,20231004,102108,029
01,222C2050,1,20231004,102124,029
01,222C2063,1,20231004,102952,029
01,21223005,2,20231004,100523,029
01,212C2039,1,20231004,102818,029
01,222C2075,1,20231004,102657,029
01,232C1089,1,20231004,125109,029
01,232C1051,1,20231004,125213,029
01,232C1161,1,20231004,125227,029
01,232C1127,1,20231004,125057,029
01,232C1105,1,20231004,125101,029
01,232C1141,1,20231004,125116,029
01,232C1115,1,20231004,125134,029
01,232C1049,1,20231004,125201,029
01,232C1035,1,20231004,125308,029
01,232C1079,2,20231004,125324,029
01,232C1125,1,20231004,125342,029
01,232C1087,1,20231004,125050,029
01,232C1133,1,20231004,125111,029
01,232C1041,1,20231004,125124,029
01,232C1129,1,20231004,125126,029
01,232C1083,1,20231004,125131,029
01,232C1135,1,20231004,125137,029
01,232C1117,1,20231004,125147,029
01,232C1031,1,20231004,125253,029
01,232C1181,1,20231004,125335,029
01,232C1093,1,20231004,125032,029
01,232C1095,1,20231004,125102,029
01,232C1173,1,20231004,125105,029
01,232C1133,1,20231004,125113,029
01,232C1163,1,20231004,125129,029
01,232C1091,1,20231004,125205,029
01,232C1131,1,20231004,125316,029
01,232C1165,1,20231004,125319,029
01,232C1047,1,20231004,125215,029
01,232C1081,1,20231004,125223,029
01,212C2071,1,20231005,102200,029
01,212C3002,1,20231005,102616,029
01,212C3051,1,20231005,102422,029
02,236E0064,1,20231005,161209,029
02,236E0021,1,20231005,161405,029
02,236E0012,1,20231005,161409,029
02,236E0062,1,20231005,161611,029
02,236E0014,1,20231005,161615,029
01,212C2071,1,20231010,102127,029
01,182C2046,2,20231010,102704,029
01,212C3051,1,20231010,102313,029
02,236E0021,1,20231010,125730,029
02,236E0064,1,20231010,125224,029
02,236E0012,1,20231010,125108,029
01,222C2089,1,20231011,102238,029
01,222C2014,1,20231011,102055,029
01,222C2073,1,20231011,102102,029
01,222C2030,1,20231011,102028,029
01,222C2100,1,20231011,102036,029
01,212C2033,1,20231011,102106,029
01,222C2083,1,20231011,102625,029
01,222C2049,1,20231011,102652,029
01,222C2095,1,20231011,102040,029
01,222C2084,1,20231011,102125,029
01,212C2039,1,20231011,102548,029
01,232C1017,1,20231011,125343,029
01,232C1093,1,20231011,125036,029
01,232C1081,1,20231011,125040,029
01,232C1135,1,20231011,125042,029
01,232C1163,1,20231011,125108,029
01,232C1117,1,20231011,125115,029
01,232C1125,1,20231011,125235,029
01,232C1037,1,20231011,125309,029
01,232C1139,1,20231011,125311,029
01,232C1075,1,20231011,125335,029
01,232C1161,1,20231011,125346,029
01,232C1049,1,20231011,125349,029
01,232C1143,1,20231011,125353,029
01,232C1179,1,20231011,125052,029
01,232C1181,1,20231011,125054,029
01,232C1087,1,20231011,125130,029
01,232C1165,1,20231011,125214,029
01,232C1131,1,20231011,125301,029
01,232C1011,1,20231011,125317,029
01,232C1009,1,20231011,125319,029
01,232C1017,1,20231011,125356,029
01,232C1129,1,20231011,125046,029
01,232C1089,1,20231011,125049,029
01,232C1031,1,20231011,125229,029
01,212C2071,1,20231012,102042,029
01,212C3051,1,20231012,102301,029
01,182C2046,2,20231012,102625,029
02,236E0014,1,20231012,161338,029
02,236E0012,1,20231012,161629,029
02,236E0021,1,20231012,161633,029
01,232C1143,1,20231013,125111,029
01,232C1161,1,20231013,125158,029
01,232C1115,1,20231013,125209,029
01,232C1171,1,20231013,124908,029
01,232C1175,1,20231013,125113,029
01,232C1135,1,20231013,125130,029
01,232C1089,1,20231013,125140,029
01,232C1081,1,20231013,125134,029
01,232C1125,1,20231013,125459,029
01,232C1165,1,20231013,125506,029
01,232C1087,1,20231013,125036,029
01,232C1031,1,20231013,125124,029
01,232C1037,1,20231013,125127,029
01,232C1017,1,20231013,125144,029
01,232C1163,1,20231013,125014,029
01,232C1159,1,20231013,125017,029
01,232C1149,1,20231013,125042,029
01,232C1129,1,20231013,125147,029
01,232C1157,1,20231013,125150,029
01,222C2021,1,20231016,124500,029
01,212C2039,1,20231016,125616,029
01,212C2033,1,20231016,124152,029
01,222C2089,1,20231016,124426,029
01,222C2015,2,20231016,125125,029
01,222C2083,1,20231016,125400,029
01,222C2050,1,20231016,125202,029
01,222C2025,1,20231016,125904,029
01,222C2035,1,20231016,124447,029
01,222C2075,1,20231016,125402,029
01,222C2062,1,20231016,125546,029
01,222C2071,1,20231016,124918,029
01,222C2030,1,20231016,125216,029
01,222C2084,1,20231016,124604,029
01,222C2028,1,20231016,124952,029
01,222C2054,1,20231016,125723,029
01,222C2014,1,20231016,124455,029
01,212C2033,1,20231016,124507,029
01,222C2047,1,20231016,124949,029
01,222C2084,1,20231016,125416,029
01,212C2071,1,20231017,102139,029
01,212C3002,1,20231017,102817,029
01,23225205,1,20231017,102258,029
01,182C2046,2,20231017,103100,029
02,236E0021,1,20231017,125847,029
02,236E0064,1,20231017,125207,029
02,236E0012,1,20231017,125205,029
01,222C2089,1,20231018,102036,029
01,222C2030,1,20231018,102153,029
01,222C2079,1,20231018,102304,029
01,222C2044,1,20231018,102515,029
01,222C2009,2,20231018,102926,029
01,222C2084,1,20231018,102055,029
01,222C2035,1,20231018,102107,029
01,222C2014,1,20231018,102127,029
01,222C2050,1,20231018,102138,029
01,222C2073,1,20231018,102317,029
01,222C2056,1,20231018,102325,029
01,222C2075,1,20231018,103007,029
01,222C2034,1,20231018,102149,029
01,222C2095,1,20231018,102157,029
01,212C2033,1,20231018,102058,029
01,222C2079,1,20231018,102307,029
01,212C2039,1,20231018,102510,029
01,222C2008,1,20231018,102537,029
01,222C2096,1,20231018,102921,029
01,232C1163,1,20231018,125106,029
01,232C1037,1,20231018,125128,029
01,232C1157,1,20231018,124826,029
01,232C1161,1,20231018,124838,029
01,232C1079,2,20231018,125030,029
01,232C1149,1,20231018,125057,029
01,232C1125,1,20231018,125358,029
01,232C1019,1,20231018,125555,029
01,232C1011,1,20231018,125008,029
01,232C1093,1,20231018,125039,029
01,232C1175,1,20231018,125102,029
01,232C1159,1,20231018,125108,029
01,232C1053,1,20231018,125126,029
01,232C1087,1,20231018,125307,029
01,232C1143,1,20231018,125326,029
01,232C1181,1,20231018,125432,029
01,232C1031,1,20231018,124344,029
01,232C1049,1,20231018,124820,029
01,232C1135,1,20231018,125043,029
01,232C1165,1,20231018,125403,029
01,212C3051,1,20231019,102043,029
01,182C2046,2,20231019,102815,029
01,212C3002,1,20231019,102603,029
02,236E0009,1,20231019,161432,029
02,236E0012,1,20231019,161825,029
02,236E0021,1,20231019,161828,029
01,232C1037,1,20231020,124429,029
01,232C1163,1,20231020,125047,029
01,232C1081,1,20231020,124505,029
01,232C1093,1,20231020,125057,029
01,232C1087,1,20231020,125520,029
01,232C1125,1,20231020,124915,029
01,232C1143,1,20231020,125052,029
01,232C1157,1,20231020,125132,029
01,232C1159,1,20231020,130116,029
01,232C1135,1,20231020,125120,029
01,232C1049,1,20231020,125123,029
01,232C1031,1,20231020,125151,029
01,232C1161,1,20231020,125129,029
01,232C1129,1,20231020,125213,029
01,222C2089,1,20231023,124638,029
01,222C2059,1,20231023,124407,029
01,222C2079,1,20231023,124938,029
01,222C2075,1,20231023,124940,029
01,222C2084,1,20231023,124135,029
01,222C2015,2,20231023,124643,029
01,222C2029,1,20231023,124705,029
01,212C2033,1,20231023,124345,029
01,222C2071,1,20231023,124454,029
01,222C2047,1,20231023,125209,029
