学生番号	演習課題1-135497	演習課題10-135566	演習課題11-135573	演習課題12-135580	演習課題13-135587	演習課題14-135594	演習課題2-135504	演習課題3-135511	演習課題4-135518	演習課題5-135525	演習課題6-135532	演習課題7-135539	演習課題8-135546	演習課題9-135559
17231074	0	11274	11274	0	11987	11329	0	0	0	0	0	11248	11231	9973
222C1025	2902070	2706979	0	2606071	2680646	3005603	2664394	2711678	2892495	2892448	3011205	2861692	2812290	2746221
232C1045	350842	0	0	0	0	0	104861	0	353419	231110	0	0	0	0
232C1151	148557	1226929	737582	907306	14871	15481	0	208441	179414	15595	954188	16345	16033	14952
232C2026	62788	71794	129585	129945	65205	257423	59239	72502	72552	93455	143346	381323	430313	101324
232C2077	0	307511	0	0	0	0	0	449570	454940	0	0	0	779483	307511
242C1001	3144468	1919197	227731	2638767	3889867	250448	0	879691	2122036	1860218	5111765	422375	451981	158470
242C1003	724854	314195	526398	588297	316127	735211	151395	118909	209799	437923	314416	560064	527716	318662
242C1005	33756	128028	231792	174795	62741	240574	825197	2204088	123323	151469	179410	200820	228644	109369
242C1007	281979	14808	15475	15151	13589	15625	394655	184117	160262	13719	488584	262967	244495	15032
242C1009	143337	648951	559327	564325	899812	1188847	823793	907465	638568	148737	956925	320643	559822	697278
242C1011	318055	148994	253888	196033	93815	277894	276316	92993	110318	76954	115223	463484	464613	183043
242C1013	511365	277971	337555	333656	108060	266890	852528	176860	311832	109856	479188	145179	484101	106833
242C1015	344087	352412	603467	389184	261208	495550	333277	194698	171743	126900	671456	563543	514246	247868
242C1017	798056	606536	751776	1068805	561271	686079	749623	631151	672302	627604	853465	0	0	611102
242C1019	30862	18357	17427	16562	16585	18056	84303	80942	481885	703466	0	17234	17664	16142
242C1021	27679	597877	2277106	1396458	567883	1577682	1002808	108242	1401108	462065	892035	305308	185012	839959
242C1023	27692	1133497	1248983	1209585	1306912	1283187	2474978	2068760	2561218	2023545	2234048	2006879	1925327	669541
242C1025	33355	14965	0	15223	13516	14406	82968	80768	36088	14850	0	0	16220	0
242C1027	1109240	1493586	1905298	1211155	2093555	3503862	1382384	474518	551995	274703	723343	2928658	2875408	1447409
242C1029	740608	650038	843082	595215	563383	741183	588575	624335	642494	513069	0	919697	904482	657848
242C1031	27653	600036	743890	741418	600938	843151	102502	98403	617615	13650	781554	902335	812844	588314
242C1033	695707	456707	1078707	356871	263028	916741	520288	708991	453877	348898	1558513	2064705	2406191	1825938
242C1035	31750	13653	16779	16110	16110	16351	91514	97268	65412	14916	122765	15543	18402	17103
242C1037	95195	743218	761993	850829	569610	765627	96448	96844	1089885	553723	1418935	932787	908266	632096
242C1039	862005	0	690444	149265	249593	0	529406	12474	297209	304885	0	1922275	0	546655
242C1041	70124	48728	121767	68428	60852	112468	87971	60095	56885	73205	103569	105362	170708	61430
242C1043	925837	820833	2198807	951190	1073987	1278926	4447426	1032760	1385093	1111535	1380006	1250599	1359817	964236
242C1045	2017152	131083	346929	218235	0	272421	0	0	0	65609	317881	496197	438924	168709
242C1047	130747	589941	1473604	0	189916	690842	820976	590803	646344	0	1316131	950800	3789085	643550
242C1049	171603	306599	0	166048	46335	0	583311	90251	0	538238	605721	419702	499343	0
242C1051	314354	124945	455587	344471	0	409139	158252	0	346638	0	177358	685587	726125	161797
242C1053	26249	440931	714991	908268	263339	1083671	62361	36368	482774	225850	620713	1826067	1536913	381723
242C1055	172115	217584	282402	310431	267416	377728	77018	80959	65114	267802	264046	201859	190174	83167
242C1057	28200	0	0	0	0	0	190424	0	0	0	0	0	0	0
242C1059	95669	58761	60507	34717	31857	46998	95665	118748	62306	33527	185419	121472	92268	66296
242C1061	1047197	1111871	1141570	1150919	439724	1924580	1285829	610119	896294	226131	1107159	2110947	2168891	562031
242C1063	233644	110342	0	179142	49919	194940	128034	140736	52764	109837	0	0	337731	113661
242C1065	341654	186060	694352	218841	238788	0	513287	527411	511287	0	0	302550	416118	298665
242C1067	99408	618889	693292	597760	32587	48370	94332	2735300	195863	34567	192115	795514	841559	615753
242C1069	88499	0	142136	142676	47925	79884	77915	0	59467	36023	0	0	223333	249767
242C1071	1088146	243636	1028967	1827977	175729	1008900	2220839	429486	417656	401164	1107734	1952468	1877390	425108
242C1073	28448	295470	0	301247	275242	356108	380296	282697	247485	274026	342603	361697	343631	301253
242C1075	66745	175270	299126	168558	148443	121420	347536	154684	73318	470777	291307	207671	190153	181312
242C1077	112998	33452	68239	35427	32990	100625	138515	127113	110247	33288	173579	83378	89334	65356
242C1079	26715	2045126	2020149	2012112	0	1682643	1904550	2020099	1780768	2063445	2009798	2077263	2634126	2045126
242C1081	22672	678239	661225	665495	541884	774022	46305	617280	785503	495398	566828	844537	648756	474668
242C1083	36866	0	0	0	0	0	2942805	0	2612903	0	0	0	0	0
242C1085	29991	32584	45593	52795	32115	49720	136546	52725	85997	32909	115675	81440	81109	37518
242C1089	49698	15067	1110316	1781603	32693	2227577	103667	79734	81954	18475	1111130	3580204	18913	1539502
242C1091	27002	0	732087	688880	503222	827236	628431	596818	769181	570102	0	789676	0	0
242C1093	68760	259275	303175	495639	93906	307894	713758	387724	387673	588982	402701	739111	648285	391837
242C1095	848555	78284	212851	114304	66957	243037	339601	359006	320000	272507	371580	1929531	1975605	117220
242C1097	2693798	448252	959688	423942	598316	1424429	1782086	697752	506624	263425	1245755	2235684	823704	384664
242C1099	27455	189221	516592	371420	72393	433480	2125486	3143253	2724148	4486349	403177	143762	414415	146893
242C1101	117176	196743	161942	106145	96198	103114	175168	151427	86552	78717	185717	155477	193412	115335
242C1103	1761628	687342	1106416	721695	217362	1659125	360669	746119	520677	225902	2001638	2016816	2227320	504041
242C1105	652914	477948	809923	809742	548228	687223	820521	588076	741919	578093	1027657	770248	878992	651146
242C1107	594917	528773	383818	717945	547372	747958	542387	507570	584965	493504	522465	938928	0	582732
242C1109	36700	14800	15616	14915	16759	14383	74736	79394	71560	13688	90712	16354	16116	15127
242C1111	86848	58710	66719	36666	33046	50815	262631	107641	91812	87704	298793	0	309273	90965
242C1113	36042	321379	876489	562577	352167	0	714715	682993	352541	317901	1083174	2411334	1097892	682323
242C1115	32928	29493	14012	13796	13875	14066	57227	47890	36812	14857	67543	14859	16913	13831
242C1117	75944	59254	0	33262	31459	53957	92565	87515	81569	31305	206871	106007	93607	67700
242C1119	239566	1363253	760530	269841	474189	687942	80526	73385	503146	522344	3098963	630342	996148	453104
242C1121	231336	0	201326	204355	0	0	265287	0	0	14860	0	0	0	0
242C1123	0	574025	711945	672653	603705	0	569516	607783	601539	0	0	811257	0	0
242C1125	316894	207681	1069674	1768930	245228	621737	1161174	1064498	893278	2220233	1545050	0	4353601	1273277
242C1127	33616	13934	14883	14592	13910	14739	88789	79197	39247	14069	122998	15877	16760	14337
242C1129	689018	0	1002686	1752142	1213587	0	548826	1505954	1901284	457647	2523151	2946379	1239605	470190
242C1131	1253523	0	0	0	0	0	0	973155	1225430	15067	0	0	0	0
242C1133	713043	162530	81634	530909	69594	276535	589678	152730	296053	83068	227197	771086	12474	159085
242C1135	58680	109866	172977	0	83736	214802	131215	146117	121887	87823	0	262956	0	126097
242C1137	31817	33419	15695	15436	14792	15465	84433	78585	29092	14902	100223	16197	16158	15073
242C1139	27657	852798	1201315	1170988	583326	1059891	1476925	1032324	1228177	859857	1555755	1684618	0	0
242C1141	264049	205869	269585	227398	259981	434568	196845	141936	86852	68210	175805	489324	452670	116210
242C1143	297869	381652	578446	578006	2421840	1548263	4584837	230294	288742	423299	706845	778813	463721	551478
242C1145	430833	199198	330617	215162	167791	263379	310433	275104	309573	203739	260606	378804	385355	175444
242C1147	143732	65102	101326	93098	82498	115802	271962	161689	168146	14845	196854	130536	118195	0
242C1149	420354	294498	505450	361468	285387	414198	366792	315743	348891	34675	506061	455228	407108	360980
242C1151	36679	57726	149272	104974	30554	150977	121479	112025	118752	92970	346425	302509	290385	76142
242C1153	391906	0	1758400	968747	652055	1112707	40501	0	444652	143699	241210	171087	169662	853465
242C1155	486835	151433	355397	528567	143549	264943	370075	304664	386298	150413	512166	257026	684506	146963
242C1157	106050	1086164	0	250321	149503	227286	421064	0	440587	379295	462581	361424	407872	229327
242C1159	27745	1835046	1016070	301790	124447	698274	394193	730976	590263	347291	2254859	2347077	1657896	336287
242C1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
242C1163	278644	84201	79144	122666	69328	146810	98170	102644	98792	67352	116702	403590	373838	113273
242C1165	694295	630477	800009	681708	583486	718197	774178	750432	644815	781943	849884	858012	952015	596219
242C1167	12943	358579	702421	476393	196088	1194124	367727	0	416020	292593	0	1893346	2183746	507928
242C1169	215149	105429	143963	118136	102125	0	114643	126412	86298	121297	100182	332674	0	0
242C1171	110321	62488	69497	89398	70927	71507	179000	206302	84660	459705	222893	194689	481641	80252
242C1173	242413	0	1077638	0	1209596	1468527	0	0	704531	495377	1030541	0	0	1235139
242C1175	274549	14863	17482	14038	16729	179588	191946	115557	182617	104036	316675	16255	14609	16787
242C1177	1467086	251223	935598	521571	254908	1104731	567311	724119	732059	198011	1336713	1927236	1766113	404162
