学生番号	オートマトンと言語理論01-2023-レポート	オートマトンと言語理論01-2023-演習課題-01	オートマトンと言語理論01-2023-演習課題-02	オートマトンと言語理論01-2023-演習課題-03	オートマトンと言語理論01-2023-演習課題-04	オートマトンと言語理論01-2023-演習課題-05	オートマトンと言語理論01-2023-演習課題-06	オートマトンと言語理論01-2023-演習課題-07	オートマトンと言語理論01-2023-演習課題-08	オートマトンと言語理論01-2023-演習課題-09	オートマトンと言語理論01-2023-演習課題-10	オートマトンと言語理論01-2023-演習課題-11	オートマトンと言語理論01-2023-演習課題-12	オートマトンと言語理論01-2023-演習課題-13	オートマトンと言語理論01-2023-演習課題-14
212C1109	815951	0	782030	754747	765796	0	851502	663783	777206	0	0	152969	377050	73713	215526
222C1061	305016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222C1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222C1113	0	0	342619	388522	333818	0	1407015	0	0	0	0	0	0	0	0
23200201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232C1001	850634	0	886541	2614766	772361	936799	2414456	2275716	524982	875324	1694788	878428	2542682	382712	2043388
232C1003	3190982	0	326917	446024	463710	174857	915921	708478	832736	328940	331631	566275	390431	194216	346900
232C1005	267114	33680	511594	328569	518981	328057	424821	433909	958081	347365	583050	656417	599786	594143	701587
232C1007	1739624	724437	575138	691239	595942	557684	989326	893350	855820	603821	554503	726912	715794	635565	846383
232C1009	447129	26981	84455	74641	82833	31954	1184655	2046627	2133968	1844565	2106375	2106375	111512	118493	183608
232C1011	3444688	0	1764056	2028160	823080	840628	2197025	3174856	2836181	1282939	1662589	919510	669897	702946	1046850
232C1013	1308803	0	0	431511	4659220	1437111	1547446	0	4535114	1518854	4002453	3029909	1289898	0	87386
232C1015	719646	0	5071460	2325524	3021750	2270922	2814038	2892515	4207193	561847	717595	1864425	670142	354329	2528247
232C1017	410540	228615	381225	259645	204847	40575	167388	269859	358118	64917	83879	246736	61019	43552	142376
232C1019	2391233	257819	268529	189223	200354	171917	48465	245319	88190	28126	37882	71883	505173	696401	14894
232C1021	1462970	83355	635570	611128	649396	572162	693729	860352	944682	559663	689565	812279	775923	620695	500280
232C1023	695280	184643	2474603	2869161	3882893	575447	5078563	554479	4621681	789513	1269280	0	0	3225695	2233054
232C1025	1010056	0	144032	118547	142333	31559	291732	88812	97474	68713	80658	274219	0	32215	0
232C1027	1656249	0	672803	655677	694212	609712	752226	881014	875890	719750	621195	680137	616849	612278	667740
232C1029	3823280	0	935147	849399	0	0	990059	0	0	0	661718	0	0	0	0
232C1031	1066044	378824	170743	236884	257748	171075	283750	335031	335772	195346	197814	301662	258359	185452	313208
232C1033	1582287	68317	923770	242697	917259	1027556	435155	0	827894	683393	504132	0	643761	3245589	0
232C1035	981305	85146	376459	341755	305905	180614	767903	1105192	0	319588	223631	0	0	96398	287946
232C1037	0	30354	73543	114504	1995765	15512	133203	16033	14679	68229	15462	16220	0	13695	15906
232C1039	3212735	480321	282994	265317	0	0	657942	725539	583283	246865	0	0	297630	209349	479707
232C1041	1973038	0	587894	600279	644910	548955	739825	1057863	997223	618083	638031	921469	664839	546724	732973
232C1043	876292	0	114577	139488	112527	126988	387996	148021	125868	151458	135029	138192	80465	108540	14726
232C1047	3970890	1035555	999131	509554	376136	193516	2025246	2926469	1934965	344060	315384	1359546	760964	928959	2110567
232C1049	1482151	97465	778775	211157	182198	711457	890528	17882	884347	621266	876301	750491	838652	623187	645369
232C1051	1606941	0	96187	71435	65756	13790	1031005	15223	15832	17188	14938	17839	15300	14817	14110
232C1053	1388466	0	579820	533587	544634	31441	724720	0	0	563580	469528	725550	568817	505825	511966
232C1055	522509	112477	0	0	0	2717796	2696082	0	0	0	0	3706094	2903012	3885262	3092846
232C1057	1033034	543211	503542	626947	540710	522327	898755	0	855519	527566	608561	603636	681518	930267	650941
232C1059	14617	693100	212552	212839	174032	60080	220341	238977	0	217584	198678	265108	56303	81697	57036
232C1061	1263792	1603276	1078558	982684	989470	652000	1797894	2009253	2520231	559916	504118	819242	802298	555919	698075
232C1063	1758518	705720	579348	704318	607060	497593	768906	914370	947175	552994	625033	750985	647630	650995	573316
232C1065	815037	1097677	0	1339963	294828	313297	0	3132965	2822163	0	286446	0	239594	973729	0
232C1067	3649181	0	2945277	2777255	2390973	3145805	2819939	0	1821625	1383133	0	0	2607059	0	0
232C1069	1166668	0	422264	529166	720065	311534	1651163	2528731	2710616	626676	917736	729418	740231	607054	0
232C1071	1214525	0	151319	142471	630641	491803	777662	847958	799392	575161	496449	0	604335	589819	712636
232C1073	1212884	0	645996	641899	636108	577285	931529	876284	986455	0	497768	0	577316	509925	698445
232C1075	622555	489767	251486	306454	264406	131365	593851	1103856	1098151	236148	154392	261566	104547	83410	188541
232C1077	498763	2600335	4938935	57877	28462	718892	79287	0	2497640	1631052	457429	0	0	665701	748861
232C1079	716009	1354407	2548264	1316381	1467009	600664	2598544	1466593	4464380	2036468	1742837	0	1129371	703222	1981683
232C1081	1135849	0	361844	251686	551178	228823	730519	1330162	971359	231110	213746	256247	243407	240135	252556
232C1083	3131588	0	603413	665710	674115	521347	697336	572455	795706	524678	344449	487128	0	0	425073
232C1085	1781735	0	622027	588238	681472	616788	712985	706056	1050084	1120165	661366	735422	701781	772301	655666
232C1087	1445159	0	37799	31838	27823	20078	52454	109789	39566	105297	167679	263611	166868	473537	470215
232C1089	1867907	1383675	724907	654075	394052	190572	941353	2584327	2249969	435749	223470	940460	1075906	178739	654568
232C1091	3304940	0	836559	1111908	1190850	1163969	2012409	2633592	1817566	1024841	934413	1527952	0	975360	1578525
232C1093	669891	0	36784	1055391	709491	13590	1238410	17552	17783	62770	32776	39582	67245	31258	45193
232C1095	1272305	0	780110	588877	602333	0	0	947153	76648	635433	490809	663490	643036	599617	715650
232C1097	0	1667902	2361845	955389	848823	0	1424936	0	1671676	84791	1422691	961955	0	0	792083
232C1099	444303	0	92667	92667	82969	77906	607104	1235774	244664	96855	75324	163962	117767	65723	179279
232C1101	1206515	0	603226	552509	526540	540170	821703	839791	869953	706128	690079	754335	799157	572013	780372
232C1103	605722	0	1805616	530994	918163	528601	864524	1408718	161896	0	675109	1435452	495241	380311	391967
232C1105	3338045	0	1013413	935595	766920	849802	958863	1023357	1013259	897069	822016	925015	921547	926375	1005360
232C1107	822229	0	229304	679931	298352	32042	414834	263526	255190	217456	236018	252978	207769	311236	292608
232C1109	2302355	663473	586108	612765	621223	483388	695905	829605	748172	650539	490174	718468	635529	586266	703225
232C1111	4486614	0	109022	121564	646715	583136	681837	804892	987439	605578	582931	591678	0	578087	663621
232C1113	765359	0	801567	589031	665528	759978	904004	2251615	2241904	859815	246057	1467722	977300	846735	1689441
232C1115	1346556	0	89433	67413	56265	13584	128744	16947	16819	17315	16805	17882	17031	15508	17626
232C1117	1191385	259352	122668	104460	122254	0	133265	0	0	0	0	0	0	0	0
232C1119	1281862	0	614353	623484	759176	509020	880178	0	841230	593527	489018	673963	539752	554007	669200
232C1121	1822249	0	591037	723294	669638	580169	808728	1015328	876275	0	665964	808519	661876	0	0
232C1123	1445791	0	255108	123366	125616	126304	252172	524636	590201	283058	129185	378039	182438	187689	243104
232C1125	1921630	0	400384	2045065	4229160	3404162	427482	467051	383943	3317394	1677911	4891370	3028826	529873	0
232C1127	1964762	0	314105	227766	195281	0	287556	632650	626328	267652	207776	297528	222158	180643	0
232C1129	1684425	0	543200	697689	743591	549446	777514	917180	768849	475711	712496	690826	497761	548279	512679
232C1131	400847	0	219692	1437708	1784607	792213	162230	1609296	1937460	973883	910575	2461141	0	158059	694387
232C1133	1409593	0	1504893	1750051	706987	1494395	4210231	2894496	2652136	1089624	676856	0	0	0	1452388
232C1135	0	0	730130	649828	722388	585803	808787	852739	0	566290	647561	934745	814508	573243	767444
232C1137	5054467	118395	0	375217	177006	0	1367492	0	0	607603	328704	0	0	0	0
232C1139	707451	0	143351	127155	89257	64627	209243	274065	266331	85230	101630	437867	432760	177910	302118
