学生番号	出席確認課題_01	出席確認課題_02	出席確認課題_03	出席確認課題_04	出席確認課題_05	出席確認課題_06	出席確認課題_07	出席確認課題_08	出席確認課題_09	出席確認課題_10	出席確認課題_11	出席確認課題_12	出席確認課題_13	期末レポート課題_提出
202C1015	789	367	84886	81301	79990	76224	906	340	325	550	318	242	126	752
202C1036	941	393	203698	175974	359313	87217	742	419	282	722	407	306	126	395
202C1037	1459	1244	496907	444879	445921	506068	1259	0	292	335	442	521	126	223
202C1085	2098	1434	20166	20752	24138	22484	1110	1733	247	307	386	128	135	225
202C1133	1036	770	299383	0	209543	213476	399	227	223	200	240	131	189	420
202C1166	1390	756	481881	0	381614	296799	694	179	275	298	273	146	119	817
226E0022	316	326	0	0	0	240555	0	0	0	0	0	0	0	0
226E0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226E0037	1127	1225	18813	104518	19248	114635	887	529	2542	554	0	420	209	733
226E0061	0	840	0	715409	0	197442	618	557	371	980	200	144	128	683
236E0004	1505	661	92596	70039	60593	148209	320	514	271	0	751	344	128	869
236E0006	553	310	42354	660103	145267	499931	458	162	100	173	116	146	0	197
236E0019	333	530	319836	0	331978	0	197	229	173	283	176	129	122	746
236E0020	650	896	123389	94268	99472	123279	614	630	221	547	498	445	202	848
236E0021	623	387	107092	116442	119868	107899	1604	244	247	812	190	396	100	573
236E0024	699	282	183486	152726	158323	99213	1464	219	275	484	276	232	126	678
236E0025	1011	619	107590	105269	114009	97594	587	476	347	962	417	304	126	821
236E0028	298	184	0	0	0	52297	157	0	258	0	0	0	0	0
236E0034	705	490	138871	138995	20836	9107	1190	260	186	168	161	122	195	1242
236E0036	1361	0	198579	0	0	0	0	0	0	0	0	0	0	0
236E0038	882	780	450957	545357	343828	419746	1072	913	419	615	393	498	125	838
236E0040	0	767	259283	0	295468	404657	213	261	128	556	709	0	154	764
236E0048	777	713	124681	47056	84210	94178	849	188	451	401	430	475	165	3728
236E0049	1652	193	66233	70737	386336	149163	1037	183	267	333	284	217	128	405
236E0050	1256	0	141455	123410	95544	76830	425	0	0	0	0	0	0	0
236E0053	1748	497	286419	99744	254798	225327	910	353	400	444	166	729	124	413
236E0055	635	412	190941	55076	99712	66625	561	272	355	582	391	365	85	1276
236E0059	981	542	9412	236629	0	8607	4940	372	171	390	229	236	140	395
236E0064	555	520	28028	39045	31795	18421	946	0	110	409	281	514	206	423
