0,1d2a,20180202,1840,,,,
1,4664,東証JQS,ＲＳＣ,1600,60.00,600,4719200
2,9082,東証2部,大和自動車交通(株),2022,24.66,400,144800
3,4586,マザーズ,(株)メドレックス,1600,23.08,300,881700
4,2317,東証1部,(株)システナ,4570,18.09,700,492500
5,3791,東証JQS,(株)ＩＧポート,3355,17.51,500,22200
6,2385,マザーズ,(株)総医研ホールディングス,682,16.78,98,6683200
7,4335,東証JQS,(株)アイ・ピー・エス,718,16.18,100,488400
8,9385,東証JQG,(株)ショーエイコーポレーション,1090,15.96,150,161800
9,2309,東証1部,シミックホールディングス(株),2457,14.92,319,374000
10,3371,東証1部,(株)ソフトクリエイトホールディングス,1765,14.91,229,250900
11,4976,東証JQS,東洋ドライルーブ(株),6530,13.96,800,32000
12,3409,東証2部,北日本紡績(株),1206,13.77,146,84200
13,7446,東証JQS,東北化学薬品(株),791,13.00,91,74000
14,6157,東証1部,日進工具(株),3475,12.82,395,208600
15,6050,東証1部,イー・ガーディアン(株),3165,12.63,355,1406200
16,7908,東証1部,ＫＩＭＯＴＯ,457,12.56,51,7051200
17,7518,東証1部,ネットワンシステムズ(株),1864,12.42,206,4377400
18,9059,東証2部,カンダホールディングス(株),1483,11.76,156,53800
19,4695,東証2部,(株)マイスターエンジニアリング,1090,11.68,114,116000
20,3842,東証JQG,(株)ネクストジェン,2398,11.64,250,94200
21,8705,東証JQS,岡藤ホールディングス(株),231,11.59,24,3829500
22,7752,東証1部,(株)リコー,1223,11.28,124,15053200
23,4293,東証JQS,(株)セプテーニ・ホールディングス,406,10.03,37,4738400
24,7241,東証1部,フタバ産業(株),1186,10.02,108,2120800
25,4783,東証JQS,日本コンピュータ・ダイナミクス(株),1617,9.55,141,1333000
26,7826,東証JQS,(株)フルヤ金属,7020,9.18,590,146200
27,4875,東証JQS,メディシノバ,1135,9.13,95,1821300
28,9318,東証2部,アジア開発キャピタル(株),13,8.33,1,5237100
29,3919,東証1部,パイプドＨＤ(株),1480,7.48,103,118800
30,5857,東証1部,アサヒホールディングス(株),2374,7.47,165,1781300
31,9268,東証2部,(株)オプティマスグループ,2626,7.40,181,164100
32,6670,東証2部,(株)ＭＣＪ,1324,7.29,90,2047800
33,3687,東証1部,(株)フィックスターズ,7030,7.16,470,1388400
34,7283,東証1部,愛三工業(株),1438,7.15,96,512700
35,5352,東証1部,黒崎播磨(株),5710,7.13,380,323000
36,4364,東証2部,マナック(株),658,6.99,43,61300
37,1381,東証JQS,(株)アクシーズ,4860,6.93,315,7500
38,6026,マザーズ,ＧＭＯ　ＴＥＣＨ(株),3720,6.74,235,15200
39,7723,東証1部,愛知時計電機(株),4770,6.71,300,11100
40,4576,東証JQG,(株)デ・ウエスタン・セラピテクス研究所,674,6.65,42,1310900
41,8919,東証1部,(株)カチタス,3450,6.65,215,1424500
42,1967,東証1部,(株)ヤマト,985,6.49,60,200600
43,2412,東証2部,(株)ベネフィット・ワン,2878,6.47,175,531600
44,2722,東証JQS,(株)アイケイ,4195,6.34,250,171600
45,5903,東証JQS,ＳＨＩＮＰＯ(株),1508,6.27,89,108700
46,6042,東証2部,(株)ニッキ,3405,6.24,200,22900
47,2820,東証JQS,(株)やまみ,3000,6.19,175,42200
48,4920,東証JQS,(株)日本色材工業研究所,6900,6.15,400,3700
49,6554,マザーズ,(株)エスユーエス,4835,6.15,280,58300
50,6561,マザーズ,(株)ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,3215,6.11,185,564000
51,3104,東証1部,富士紡ホールディングス(株),4450,5.95,250,144500
52,8918,東証1部,(株)ランド,18,5.88,1,22032500
53,6618,マザーズ,(株)大泉製作所,1319,5.86,73,507000
54,6167,東証1部,冨士ダイス(株),1249,5.85,69,195700
55,3537,東証JQS,昭栄薬品(株),3625,5.84,200,6000
56,6882,東証2部,(株)三社電機製作所,1916,5.80,105,1916300
57,5406,東証1部,(株)神戸製鋼所,1212,5.76,66,32569900
58,3966,マザーズ,(株)ユーザベース,1716,5.73,93,422200
59,4696,東証1部,ワタベウェディング(株),669,5.69,36,28000
60,5757,東証2部,(株)ＣＫサンエツ,5110,5.69,275,19900
61,9739,東証1部,ＮＳＷ,2975,5.65,159,335400
62,5482,東証1部,愛知製鋼(株),4800,5.61,255,229700
63,4581,東証1部,大正製薬ホールディングス(株),9690,5.56,510,223400
64,8301,東証,日本銀行,37100,5.55,1950,1000
65,4768,東証1部,(株)大塚商会,9770,5.51,510,750400
66,2186,東証JQS,ソーバル(株),1310,5.39,67,25200
67,4113,東証2部,田岡化学工業(株),4110,5.38,210,29200
68,5358,東証1部,イソライト工業(株),1434,5.36,73,880800
69,8174,東証1部,日本瓦斯(株),4960,5.31,250,344300
70,6276,東証JQS,ナビタス(株),445,5.20,22,11300
71,5695,東証JQS,パウダーテック(株),5880,5.19,290,26600
72,3238,東証2部,セントラル総合開発(株),348,5.14,17,568200
73,4452,東証1部,花王(株),8115,5.14,397,2958600
74,6848,東証1部,東亜ディーケーケー(株),1270,5.05,61,94200
75,1949,東証1部,住友電設(株),2430,5.01,116,164200
76,7601,東証1部,(株)ポプラ,937,4.93,44,23500
77,2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,2310,4.86,107,722200
78,8771,東証1部,イー・ギャランティ(株),4100,4.86,190,46400
79,9928,東証1部,(株)ミロク情報サービス,3570,4.85,165,163700
80,4318,東証1部,(株)クイック,1927,4.73,87,253500
81,4310,東証1部,(株)ドリームインキュベータ,2754,4.71,124,111600
82,5491,東証1部,日本金属(株),3355,4.68,150,219700
83,4824,マザーズ,(株)メディアシーク,698,4.65,31,574200
