Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
1369,Ｏｎｅ　ＥＴＦ　日経２２５　受益証券,J.P. MORGAN SECURITIES PLC,2018-07-19,0.015,249977,2018-07-13 00:00:00,0.0208
1417,ミライト・ホールディングス　普通株式,Daiwa Capital Markets Europe Limited ,2018-07-20,0.0052,449600,2018-07-09 00:00:00,0.0034
1429,日本アクア　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.005,175400,2018-06-27 00:00:00,0.0049
1433,ベステラ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0095,79700,2018-07-10 00:00:00,0.008100000000000001
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型　受益証券,個人,2018-07-20,0.0058,6000,2018-07-18 00:00:00,0.0074
1475,ｉシェアーズ　ＴＯＰＩＸ　ＥＴＦ　受益証券,J.P. MORGAN SECURITIES PLC,2018-07-19,0.0187,2035522,2018-07-17 00:00:00,0.013600000000000001
1514,住石ホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0068,401200,2018-07-18 00:00:00,0.0068
1711,省電舎ホールディングス　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0178,49100,2018-07-18 00:00:00,0.0168
1711,省電舎ホールディングス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0048,13400,2018-07-19 00:00:00,0.0063
1716,第一カッター興業　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.016399999999999998,98700,2018-07-17 00:00:00,0.0151
1928,積水ハウス　普通株式,Societe Generale,2018-07-20,0.0057,3969721,2018-07-19 00:00:00,0.0057
1963,日揮　普通株式,MERRILL LYNCH INTERNATIONAL,2018-07-19,0.0099,2582914,2018-07-18 00:00:00,0.01
2001,日本製粉　普通株式,Nomura International plc,2018-07-19,0.013999999999999999,1159800,2018-07-11 00:00:00,0.0138
2160,ジーエヌアイグループ　普通株式,Nomura International plc,2018-07-19,0.0045000000000000005,61999,2018-07-18 00:00:00,0.005600000000000001
2168,パソナグループ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0049,207998,2018-07-17 00:00:00,0.005
2175,エス・エム・エス　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0073,638638,2018-07-19 00:00:00,0.0069
2191,テラ　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.022000000000000002,383874,2018-07-18 00:00:00,0.021099999999999997
2191,テラ　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0113,197200,2018-07-18 00:00:00,0.0113
2191,テラ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0213,371074,2018-07-19 00:00:00,0.022000000000000002
2193,クックパッド　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0069,749196,2018-07-10 00:00:00,0.006999999999999999
2315,カイカ　普通株式,個人,2018-07-19,0.0078,2836400,2018-07-11 00:00:00,0.0086
2321,ソフトフロントホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.009000000000000001,215700,2018-07-18 00:00:00,0.0089
2321,ソフトフロントホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0088,216800,2018-07-19 00:00:00,0.009000000000000001
2330,フォーサイド　普通株式,Nomura International plc,2018-07-19,0.0286,900100,2018-07-18 00:00:00,0.0277
2330,フォーサイド　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0067,210600,2018-07-18 00:00:00,0.0068
2351,ＡＳＪ　普通株式,UBS AG,2018-07-19,0.0063,50193,2018-07-18 00:00:00,0.0061
2372,アイロムグループ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0139,162790,2018-07-05 00:00:00,0.0143
2379,ディップ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.010700000000000001,669174,2018-06-15 00:00:00,0.009000000000000001
2379,ディップ　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0236,1465270,2018-07-18 00:00:00,0.0248
2385,総医研ホールディングス　普通株式,Nomura International plc,2018-07-19,0.0051,134700,2018-07-18 00:00:00,0.0036
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ　普通株式,Nomura International plc,2018-07-19,0.0181,131300,2018-07-18 00:00:00,0.0139
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ　普通株式,UBS AG,2018-07-19,0.0139,101300,2018-07-18 00:00:00,0.0132
2438,アスカネット　普通株式,UBS AG,2018-07-19,0.0051,89358,2018-07-17 00:00:00,0.005
2440,ぐるなび　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.015300000000000001,747935,2018-07-17 00:00:00,0.0131
2468,フュートレック　普通株式,OXAM QUANT FUND LIMITED,2018-07-19,0.0072,68300,2018-07-18 00:00:00,0.0072
2471,エスプール　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.0044,70500,2018-07-13 00:00:00,0.0059
2501,サッポロホールディングス　普通株式,Societe Generale,2018-07-20,0.0018,142236,2018-07-19 00:00:00,0.0105
2516,東証マザーズＥＴＦ　受益証券,光世証券株式会社,2018-07-20,0.0064,23690,2018-07-18 00:00:00,0.0053
2656,ベクター　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.012,168600,2018-07-03 00:00:00,0.0118
2667,イメージ　ワン　普通株式,Credit Suisse Securities (Europe) Limited,2018-07-19,0.0106,61100,2018-07-17 00:00:00,0.012199999999999999
2667,イメージ　ワン　普通株式,Nomura International plc,2018-07-19,0,0,2018-07-18 00:00:00,0.0129
2667,イメージ　ワン　普通株式,UBS AG,2018-07-19,0.0056,32100,2018-07-18 00:00:00,0.0033
2667,イメージ　ワン　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0196,123800,2018-06-21 00:00:00,0.0216
2667,イメージ　ワン　普通株式,モルガン・スタンレーMUFG証券株式会社,2018-07-20,0.0076,43700,2018-07-19 00:00:00,0.0045000000000000005
2685,アダストリア　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.024700000000000003,1206701,2018-07-17 00:00:00,0.0259
2722,アイケイ　普通株式,JPM Securities Japan Co Ltd.,2018-07-20,0.0049,38300,2018-06-25 00:00:00,0.0059
2743,ピクセルカンパニーズ　普通株式,UBS AG,2018-07-19,0.0075,143200,2018-07-18 00:00:00,0.0076
2884,ヨシムラ・フード・ホールディングス　普通株式,JPM Securities Japan Co Ltd.,2018-07-19,0.006,131500,2018-06-20 00:00:00,0.0058
2930,北の達人コーポレーション　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-07-19,0.0067,947600,2018-07-17 00:00:00,0.005699999999999999
