date,open,high,low,close,volume,adj.close
2018/01/04,350,354,346,346,540700,346
2018/01/05,348,352,347,351,514600,351
2018/01/09,352,352,348,350,363600,350
2018/01/10,348,360,348,356,978100,356
2018/01/11,355,361,354,361,484900,361
2018/01/12,356,367,355,364,754000,364
2018/01/15,368,374,366,369,680600,369
2018/01/16,366,375,366,371,446700,371
2018/01/17,370,371,365,365,338500,365
2018/01/18,368,373,365,367,284300,367
2018/01/19,370,373,369,372,376100,372
2018/01/22,372,372,367,370,508900,370
2018/01/23,371,371,369,371,179000,371
2018/01/24,369,370,363,368,530600,368
