date,open,high,low,close,volume,adj.close,avr.5,avr.25,avr.50,stddev
2017/01/04,400,408,399,406,1041400,406,406.0,406.0,406.0,0.0
2017/01/05,408,414,406,410,1009900,410,408.0,408.0,408.0,2.8
2017/01/06,410,432,407,432,1718100,432,416.0,416.0,416.0,14.0
2017/01/10,436,436,420,422,1545300,422,417.5,417.5,417.5,11.8
2017/01/11,429,429,406,407,1477200,407,417.8,415.4,415.4,11.2
2017/01/12,402,430,401,409,1157100,409,417.5,414.3,414.3,10.4
2017/01/13,405,418,405,415,779000,415,413.2,414.4,414.4,9.5
2017/01/16,410,411,396,396,1090800,396,406.8,412.1,412.1,10.9
2017/01/17,395,402,387,389,1060900,389,402.2,409.6,409.6,12.8
2017/01/18,381,386,375,386,1525500,386,396.5,407.2,407.2,14.2
2017/01/19,386,388,378,380,762800,380,387.8,404.7,404.7,15.7
2017/01/20,378,388,378,382,695400,382,384.2,402.8,402.8,16.4
2017/01/23,383,387,379,383,496000,383,382.8,401.3,401.3,16.6
2017/01/24,377,386,377,379,588300,379,381.0,399.7,399.7,17.1
2017/01/25,384,389,381,389,742300,389,383.2,399.0,399.0,16.7
2017/01/26,394,395,375,375,1915900,375,381.5,397.5,397.5,17.2
2017/01/27,375,380,368,375,1379600,375,379.5,396.2,396.2,17.5
2017/01/30,369,381,367,377,1114100,377,379.0,395.1,395.1,17.6
2017/01/31,370,373,365,365,1361300,365,373.0,393.5,393.5,18.4
2017/02/01,365,371,362,370,1104400,370,371.8,392.4,392.4,18.7
2017/02/06,371,384,368,381,1444300,381,373.2,391.8,391.8,18.4
2017/02/07,374,375,362,363,2183600,363,369.8,390.5,390.5,18.9
2017/02/08,317,337,313,314,6858300,314,357.0,387.2,387.2,24.4
2017/02/09,317,324,315,318,2691500,318,344.0,384.3,384.3,27.8
2017/02/10,318,320,313,316,2382200,316,327.8,380.5,381.6,30.4
2017/02/13,322,330,321,326,1799100,326,318.5,377.0,379.4,31.7
2017/02/14,327,332,322,328,1996400,328,322.0,372.7,377.5,32.6
