date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI
2017/1/4,513,518,510,515,10600,515,515,515,515,0,515,515,515,515,600,100
2017/1/5,513,520,513,520,15300,520,517.5,517.5,517.5,3.5,506.9,510.4,524.6,528.1,600,100
2017/1/6,512,520,512,519,18700,519,518,518,518,2.6,510.1,512.7,523.3,525.9,599.9,99.9
2017/1/10,525,530,520,526,19500,526,520,520,520,4.5,506.4,510.9,529.1,533.6,599.9,99.9
2017/1/11,525,535,524,530,23400,530,522,522,522,6,504.1,510.1,533.9,539.9,599.9,99.9
2017/1/12,529,531,520,521,16700,521,523.2,521.8,521.8,5.3,505.8,511.1,532.5,537.8,599.7,99.7
2017/1/13,521,529,521,528,7800,528,524.8,522.7,522.7,5.4,506.5,511.9,533.5,538.9,599.5,99.5
2017/1/16,530,530,525,530,16100,530,527,523.6,523.6,5.6,506.7,512.3,534.9,540.5,599.3,99.3
2017/1/17,528,556,526,553,63800,553,532.4,526.9,526.9,11.1,493.5,504.7,549.1,560.3,599.3,99.3
2017/1/18,558,579,542,579,78100,579,542.2,532.1,532.1,19.5,473.5,493,571.2,590.7,599.3,99.3
2017/1/19,575,575,551,559,48200,559,549.8,534.5,534.5,20.2,473.8,494,575,595.2,599.2,99.2
2017/1/20,557,575,554,573,37700,573,558.8,537.8,537.8,22.3,471,493.3,582.3,604.6,599.1,99.1
2017/1/23,578,615,575,592,123600,592,571.2,541.9,541.9,26.1,463.7,489.7,594.1,620.1,599.1,99.1
2017/1/24,596,618,593,610,81400,610,582.6,546.8,546.8,31,453.9,484.9,608.7,639.7,599.1,99.1
2017/1/25,610,612,589,591,45600,591,585,549.7,549.7,31.9,453.9,485.8,613.6,645.5,598.8,98.8
2017/1/26,601,604,588,604,45000,604,594,553.1,553.1,33.7,452,485.7,620.5,654.2,598.7,98.7
2017/1/27,603,609,595,595,18400,595,598.4,555.6,555.6,34.2,453,487.2,624,658.2,598.4,98.4
2017/1/30,595,596,564,589,30700,589,597.8,557.4,557.4,34.1,455.1,489.2,625.6,659.7,597.2,97.2
2017/1/31,580,592,573,586,23200,586,593,558.9,558.9,33.8,457.6,491.4,626.4,660.2,595.6,95.6
2017/2/1,588,588,570,588,23700,588,592.4,560.4,560.4,33.5,459.9,493.4,627.4,660.9,593.5,93.5
2017/2/6,565,569,556,567,9700,567,585,560.7,560.7,32.7,462.6,495.3,626.1,658.8,589.2,89.2
2017/2/7,565,572,561,566,11300,566,579.2,561,561,31.9,465.2,497.2,624.8,656.8,584.1,84.1
2017/2/8,573,582,564,570,17500,570,575.4,561.3,561.3,31.2,467.6,498.8,623.8,655,578.2,78.2
2017/2/9,570,581,570,581,17600,581,574.4,562.2,562.2,30.8,469.7,500.6,623.8,654.7,573.6,73.6
2017/2/10,585,597,578,585,28700,585,573.8,563.1,563.1,30.5,471.6,502.1,624.1,654.6,568.4,68.4
2017/2/13,583,591,576,580,17800,580,576.4,565.7,563.7,29,478.8,507.7,623.7,652.6,562.3,62.3
2017/2/14,581,583,574,577,6600,577,578.6,568,564.2,27.4,485.7,513.1,622.9,650.3,554.2,54.2
2017/2/15,585,585,576,583,6100,583,581.2,570.5,564.9,25.6,493.7,519.3,621.7,647.3,546.8,46.8
2017/2/16,578,583,576,580,5600,580,581,572.7,565.4,23.9,501,524.9,620.5,644.4,538.3,38.3
2017/2/17,575,582,574,574,6900,574,578.8,574.4,565.7,22.2,507.8,530,618.8,641,527.3,27.3
2017/2/20,572,572,558,566,12300,566,576,576.2,565.7,19.3,518.2,537.6,614.8,634.2,511.1,11.1
2017/2/21,561,585,561,584,24100,584,577.4,578.5,566.3,16.5,528.9,545.4,611.6,628.1,501,1
2017/2/22,590,590,580,587,13600,587,578.2,580.8,566.9,13.2,541.3,554.5,607.1,620.3,491.9,-8.1
2017/2/23,590,590,580,583,6900,583,578.8,582,567.4,11.8,546.5,558.3,605.7,617.5,479.8,-20.2
2017/2/24,588,591,584,588,7000,588,581.6,582.3,568,11.9,546.7,558.6,606,617.9,477.1,-22.9
2017/2/27,590,590,577,583,13000,583,585,583.3,568.4,10.8,550.8,561.6,605,615.8,462.8,-37.2
2017/2/28,584,587,579,583,3500,583,584.8,583.7,568.8,10.6,551.8,562.5,604.9,615.6,451.2,-48.8
2017/3/1,583,592,577,587,10500,587,584.8,583.5,569.3,10.5,552,562.5,604.5,615,463.2,-36.8
2017/3/2,587,588,584,586,7100,586,585.4,582.5,569.7,9,555.6,564.6,600.4,609.4,475.5,-24.5
2017/3/3,586,586,580,585,6900,585,584.8,582.3,570.1,8.8,555.9,564.7,599.9,608.7,487.6,-12.4
2017/3/9,583,595,582,585,19400,585,585.2,581.5,570.4,7.6,558.7,566.3,596.7,604.3,501,1
2017/3/10,588,602,588,590,18100,590,586.6,581.3,570.9,7.3,559.5,566.8,595.8,603.1,524.1,24.1
2017/3/13,593,593,575,575,15300,575,584.2,580.8,571,7.2,559.2,566.4,595.2,602.4,529,29
2017/3/14,573,578,572,575,7200,575,582,580.3,571.1,7.2,558.7,565.9,594.7,601.9,530.5,30.5
2017/3/15,575,579,557,565,16100,565,578,579.4,571,7.6,556.5,564.1,594.7,602.3,528.8,28.8
2017/3/16,557,563,557,563,7000,563,573.6,579.2,570.8,7.9,555.4,563.3,595.1,603,508.5,8.5
2017/3/17,559,560,554,554,13100,554,566.4,578.8,570.4,9.1,551.6,560.7,596.9,606,489.7,-10.3
2017/3/21,552,554,551,554,8500,554,562.2,578.1,570.1,10.2,547.5,557.7,598.5,608.7,472.5,-27.5
2017/3/22,545,556,545,545,11300,545,556.2,576.7,569.6,12.1,540.3,552.4,601,613.1,461.2,-38.8
2017/3/23,549,553,540,542,10300,542,551.6,575,569,13.8,533.5,547.3,602.7,616.5,456.4,-43.6
2017/3/24,542,552,542,552,2700,552,549.4,573.8,569.8,14.5,530.2,544.8,602.8,617.4,447.2,-52.8
2017/3/27,566,566,549,551,5600,551,548.8,572.8,570.4,15.2,527.2,542.4,603.2,618.4,438.8,-61.2
2017/3/28,555,558,550,550,2500,550,548,571.5,571,15.7,524.4,540.1,602.9,618.6,433.5,-66.5
