code,date,open,high,low,close,volume,adj_close
5301,2016/01/04,340,341,328,328,1233000,328
5301,2016/01/05,328,334,324,330,820000,330
5301,2016/01/06,333,335,325,330,1059000,330
5301,2016/01/07,326,330,320,321,865000,321
5301,2016/01/08,315,327,314,323,1819000,323
5301,2016/01/12,319,320,310,312,1333000,312
5301,2016/01/13,315,325,315,325,776000,325
5301,2016/01/14,312,315,306,314,1669000,314
5301,2016/01/15,322,322,311,312,862000,312
5301,2016/01/18,301,308,300,306,1064000,306
5301,2016/01/19,303,311,302,308,1011000,308
5301,2016/01/20,307,308,299,301,1188000,301
5301,2016/01/21,303,308,295,296,1078000,296
5301,2016/01/22,307,314,303,314,1007000,314
5301,2016/01/25,315,319,309,314,805000,314
5301,2016/01/26,307,311,305,306,743000,306
5301,2016/01/27,311,314,294,300,1818000,300
5301,2016/01/28,302,310,298,305,1740000,305
5301,2016/01/29,310,325,306,323,2269000,323
5301,2016/02/01,327,328,322,327,1127000,327
5301,2016/02/02,327,328,320,320,1329000,320
5301,2016/02/03,314,314,301,301,890000,301
5301,2016/02/04,300,308,296,303,1159000,303
5301,2016/02/05,297,303,294,298,1080000,298
5301,2016/02/08,295,303,292,302,931000,302
5301,2016/02/09,295,295,282,284,1194000,284
5301,2016/02/10,289,289,253,263,2887000,263
5301,2016/02/12,256,258,248,253,2523000,253
5301,2016/02/15,264,268,257,265,1312000,265
5301,2016/02/16,263,283,262,276,1539000,276
5301,2016/02/17,274,279,267,271,1104000,271
5301,2016/02/18,281,288,278,284,1038000,284
5301,2016/02/19,278,280,271,273,979000,273
5301,2016/02/22,269,277,269,273,644000,273
5301,2016/02/23,278,282,272,273,698000,273
5301,2016/02/24,273,278,271,273,552000,273
5301,2016/02/25,275,279,273,276,568000,276
5301,2016/02/26,281,282,270,271,789000,271
5301,2016/02/29,271,278,267,268,836000,268
5301,2016/03/01,270,272,261,267,801000,267
5301,2016/03/02,273,278,271,276,1043000,276
5301,2016/03/03,276,282,275,280,1176000,280
5301,2016/03/04,279,289,277,286,1160000,286
5301,2016/03/07,287,289,282,283,1269000,283
5301,2016/03/08,284,287,276,281,927000,281
5301,2016/03/09,276,278,267,269,1038000,269
5301,2016/03/10,271,276,268,268,990000,268
5301,2016/03/11,265,273,264,272,2030000,272
5301,2016/03/14,276,280,274,275,752000,275
5301,2016/03/15,275,280,274,276,523000,276
5301,2016/03/16,275,276,268,268,642000,268
5301,2016/03/17,270,275,267,268,773000,268
5301,2016/03/18,266,271,259,259,2058000,259
5301,2016/03/22,264,268,261,265,965000,265
5301,2016/03/23,266,267,262,263,796000,263
5301,2016/03/24,262,264,257,257,1028000,257
5301,2016/03/25,257,262,255,261,913000,261
5301,2016/03/28,264,268,264,267,885000,267
5301,2016/03/29,266,268,264,265,767000,265
5301,2016/03/30,266,267,264,266,686000,266
5301,2016/03/31,266,276,266,267,1269000,267
5301,2016/04/01,269,270,255,257,1326000,257
5301,2016/04/04,257,262,251,255,1123000,255
5301,2016/04/05,253,254,244,245,1183000,245
5301,2016/04/06,244,249,243,244,908000,244
5301,2016/04/07,244,250,242,242,1022000,242
5301,2016/04/08,239,252,238,248,1401000,248
5301,2016/04/11,248,253,245,252,898000,252
5301,2016/04/12,253,260,253,259,1005000,259
5301,2016/04/13,262,273,262,270,1275000,270
5301,2016/04/14,275,283,275,283,1493000,283
5301,2016/04/15,279,288,279,281,991000,281
5301,2016/04/18,274,281,273,276,1133000,276
5301,2016/04/19,284,292,284,291,1204000,291
5301,2016/04/20,292,296,286,290,926000,290
5301,2016/04/21,297,298,292,297,891000,297
5301,2016/04/22,293,299,290,298,1193000,298
5301,2016/04/25,300,304,297,302,781000,302
5301,2016/04/26,303,303,293,298,802000,298
5301,2016/04/27,301,303,296,302,727000,302
5301,2016/04/28,303,309,290,290,1004000,290
5301,2016/05/02,275,283,275,279,863000,279
5301,2016/05/06,282,284,276,283,964000,283
5301,2016/05/09,287,290,284,287,714000,287
5301,2016/05/10,283,291,279,288,1226000,288
5301,2016/05/11,304,304,299,300,1299000,300
5301,2016/05/12,299,303,297,303,812000,303
5301,2016/05/13,305,305,294,295,1018000,295
5301,2016/05/16,290,298,290,293,755000,293
5301,2016/05/17,297,298,294,297,753000,297
5301,2016/05/18,295,300,292,297,602000,297
5301,2016/05/19,297,299,294,297,468000,297
5301,2016/05/20,296,299,295,299,380000,299
5301,2016/05/23,299,300,295,299,545000,299
5301,2016/05/24,298,298,295,295,562000,295
5301,2016/05/25,298,300,295,300,698000,300
5301,2016/05/26,301,303,298,300,425000,300
5301,2016/05/27,300,304,297,304,516000,304
5301,2016/05/30,307,309,303,309,493000,309
5301,2016/05/31,307,317,307,317,806000,317
5301,2016/06/01,314,322,314,317,1087000,317
5301,2016/06/02,313,314,304,309,871000,309
5301,2016/06/03,308,312,304,307,631000,307
5301,2016/06/06,302,303,299,301,529000,301
5301,2016/06/07,302,304,300,301,694000,301
5301,2016/06/08,299,302,296,302,500000,302
5301,2016/06/09,298,299,291,293,786000,293
5301,2016/06/10,292,293,285,285,1575000,285
5301,2016/06/13,280,281,274,274,767000,274
5301,2016/06/14,274,276,270,273,774000,273
5301,2016/06/15,270,277,269,277,948000,277
5301,2016/06/16,277,277,259,259,1065000,259
5301,2016/06/17,264,271,260,271,2151000,271
5301,2016/06/20,276,277,267,277,1020000,277
5301,2016/06/21,276,279,272,278,566000,278
5301,2016/06/22,277,280,272,276,716000,276
5301,2016/06/23,282,282,277,282,527000,282
5301,2016/06/24,285,285,253,254,1156000,254
5301,2016/06/27,258,261,252,256,642000,256
5301,2016/06/28,247,254,243,251,949000,251
5301,2016/06/29,254,254,250,252,1298000,252
5301,2016/06/30,256,259,252,255,719000,255
5301,2016/07/01,258,259,255,256,590000,256
5301,2016/07/04,254,258,253,258,600000,258
5301,2016/07/05,255,257,254,255,436000,255
5301,2016/07/06,255,258,247,252,856000,252
5301,2016/07/07,251,254,248,248,503000,248
5301,2016/07/08,250,262,250,251,1752000,251
5301,2016/07/11,262,273,261,272,1046000,272
5301,2016/07/12,275,287,275,284,1061000,284
5301,2016/07/13,288,289,280,281,1220000,281
5301,2016/07/14,280,284,277,283,1100000,283
5301,2016/07/15,284,288,281,284,1312000,284
5301,2016/07/19,289,292,285,291,1535000,291
5301,2016/07/20,288,289,281,287,1269000,287
5301,2016/07/21,291,293,284,286,1159000,286
5301,2016/07/22,281,286,280,281,615000,281
5301,2016/07/25,279,283,275,277,1143000,277
5301,2016/07/26,262,266,258,263,2628000,263
5301,2016/07/27,267,273,264,270,1355000,270
5301,2016/07/28,267,270,263,267,1446000,267
5301,2016/07/29,265,270,261,266,1105000,266
5301,2016/08/01,263,265,258,263,1243000,263
5301,2016/08/02,262,265,259,260,997000,260
5301,2016/08/03,253,253,236,237,2483000,237
5301,2016/08/04,240,243,237,242,1704000,242
5301,2016/08/05,242,243,239,240,1124000,240
5301,2016/08/08,242,249,242,245,949000,245
5301,2016/08/09,247,249,244,247,794000,247
5301,2016/08/10,244,250,244,247,630000,247
5301,2016/08/12,249,250,245,249,1046000,249
5301,2016/08/15,248,254,246,252,1175000,252
5301,2016/08/16,251,254,243,243,1060000,243
5301,2016/08/17,242,252,242,251,1029000,251
