date,open,high,low,close,volume,adj.close,avr.5,avr.25,avr.50,stddev,-3s,-2s,-1s,+1s,+2s,+3s
2018/01/04,6410,6430,6080,6350,298100,6350,6350.0,6350.0,6350.0,0.0,6350.0,6350.0,6350.0,6350.0,6350.0,6350.0
2018/01/05,6350,6680,6220,6680,322200,6680,6521.4,6521.4,6521.4,114.3,6178.5,6292.8,6407.1,6635.7,6750.0,6864.3
2018/01/09,6690,6780,6520,6590,271800,6590,6542.3,6542.3,6542.3,98.9,6245.6,6344.5,6443.4,6641.2,6740.1,6839.0
2018/01/10,6490,6730,6430,6670,207300,6670,6566.4,6566.4,6566.4,99.8,6267.0,6366.8,6466.6,6666.2,6766.0,6865.8
2018/01/11,6670,7030,6650,6950,437300,6950,6675.6,6675.6,6675.6,169.0,6168.7,6337.7,6506.6,6844.6,7013.5,7182.5
2018/01/12,6950,7070,6770,6830,347700,6830,6770.6,6704.0,6704.0,161.9,6218.3,6380.2,6542.1,6865.9,7027.8,7189.7
2018/01/15,6950,6990,6670,6720,201700,6720,6783.5,6705.6,6705.6,153.9,6243.8,6397.7,6551.7,6859.5,7013.5,7167.4
2018/01/16,6750,6750,6530,6710,186900,6710,6811.7,6706.0,6706.0,147.5,6263.6,6411.0,6558.5,6853.5,7001.0,7148.4
2018/01/17,6660,6660,6500,6530,167600,6530,6798.4,6693.9,6693.9,148.7,6247.9,6396.6,6545.2,6842.6,6991.2,7139.9
2018/01/18,6530,6680,6470,6520,178600,6520,6691.2,6682.0,6682.0,149.6,6233.2,6382.8,6532.4,6831.6,6981.2,7130.8
2018/01/19,6500,6830,6470,6800,217000,6800,6665.3,6691.0,6691.0,146.9,6250.3,6397.2,6544.1,6837.9,6984.8,7131.7
2018/01/22,6900,7450,6850,7420,629200,7420,7001.6,6823.4,6823.4,286.9,5962.8,6249.7,6536.5,7110.3,7397.1,7684.0
2018/01/23,7350,7460,7070,7150,412400,7150,7073.7,6858.1,6858.1,287.4,5995.9,6283.3,6570.7,7145.5,7432.9,7720.3
2018/01/24,7100,7250,6930,6950,264500,6950,7108.0,6864.0,6864.0,278.9,6027.2,6306.2,6585.1,7142.9,7421.8,7700.8
2017/01/04,1251,1263,1221,1241,109300,1241,6779.5,6719.4,6719.4,920.5,3957.8,4878.4,5798.9,7639.9,8560.4,9481.0
2017/01/05,1245,1299,1241,1295,155500,1295,6233.8,6528.0,6528.0,1335.6,2521.3,3856.9,5192.4,7863.6,9199.1,10534.7
2017/01/06,1300,1380,1300,1326,308200,1326,4426.5,6188.0,6188.0,1792.3,811.2,2603.5,4395.7,7980.3,9772.5,11564.8
2017/01/10,1336,1365,1285,1288,137100,1288,2832.5,6049.6,6049.6,1939.6,230.8,2170.4,4110.0,7989.2,9928.8,11868.4
2017/01/11,1293,1294,1252,1252,71300,1252,1294.5,5980.1,5980.1,2007.8,-43.3,1964.5,3972.3,7987.9,9995.7,12003.5
2017/01/12,1257,1287,1234,1243,60800,1243,1298.2,5922.3,5922.3,2061.4,-261.8,1799.6,3860.9,7983.7,10045.0,12106.4
2017/01/13,1277,1277,1234,1256,50700,1256,1295.6,5875.3,5875.3,2102.7,-432.7,1669.9,3772.6,7978.0,10080.7,12183.3
2017/01/16,1277,1277,1210,1230,86300,1230,1258.6,5797.1,5797.1,2167.5,-705.5,1462.0,3629.6,7964.6,10132.2,12299.7
2017/01/17,1231,1247,1211,1245,38400,1245,1243.8,5763.2,5763.2,2194.4,-819.9,1374.5,3568.8,7957.6,10151.9,12346.3
2017/01/18,1224,1257,1205,1242,51300,1242,1241.5,5718.7,5718.7,2228.2,-966.0,1262.2,3490.5,7946.9,10175.2,12403.4
2017/01/19,1234,1265,1231,1233,39900,1233,1239.9,5684.6,5684.6,2253.4,-1075.7,1177.7,3431.2,7938.0,10191.5,12444.9
2017/01/20,1233,1245,1216,1221,38000,1221,1233.8,5610.9,5652.5,2342.9,-1417.9,925.1,3268.0,7953.8,10296.7,12639.7
2017/01/23,1223,1223,1200,1211,46100,1211,1230.4,5494.8,5614.2,2447.1,-1846.6,600.5,3047.7,7941.9,10389.1,12836.2
2017/01/24,1210,1210,1171,1197,57900,1197,1219.7,5373.4,5566.7,2549.0,-2273.5,275.5,2824.4,7922.4,10471.3,13020.3
2017/01/25,1207,1229,1207,1228,40800,1228,1216.1,5272.3,5534.2,2626.8,-2608.2,18.6,2645.5,7899.1,10526.0,13152.8
2017/01/26,1240,1240,1216,1224,34300,1224,1214.3,5050.4,5507.1,2779.7,-3288.8,-509.1,2270.7,7830.1,10609.9,13389.6
2017/01/27,1227,1235,1220,1220,23700,1220,1213.7,4853.7,5488.6,2916.5,-3895.9,-979.4,1937.2,7770.2,10686.8,13603.3
2017/01/30,1243,1243,1226,1230,34100,1230,1217.2,4708.4,5462.3,3006.7,-4311.8,-1305.1,1701.7,7715.1,10721.9,13728.6
2017/01/31,1225,1233,1200,1205,47800,1205,1220.5,4544.3,5425.8,3095.6,-4742.6,-1647.0,1448.7,7639.9,10735.6,13831.2
2017/02/01,1194,1207,1191,1204,40000,1204,1215.1,4397.3,5395.7,3177.3,-5134.7,-1957.4,1220.0,7574.6,10752.0,13929.3
2017/02/06,1202,1213,1200,1207,16000,1207,1212.4,4254.4,5383.8,3269.3,-5553.6,-2284.3,985.1,7523.7,10793.1,14062.4
2017/02/07,1207,1228,1203,1214,29300,1214,1211.6,4027.2,5362.2,3388.3,-6137.6,-2749.4,638.9,7415.5,10803.8,14192.0
2017/02/08,1208,1223,1191,1193,54500,1193,1202.9,3009.0,5322.5,3794.1,-8373.4,-4579.3,-785.1,6803.1,10597.3,14391.4
2017/02/09,1189,1191,1171,1180,43000,1180,1196.9,2058.1,5291.5,4150.3,-10392.7,-6242.4,-2092.2,6208.4,10358.6,14508.9
2017/02/10,1180,1205,1177,1192,35200,1192,1194.4,1255.2,5266.6,4429.2,-12032.5,-7603.3,-3174.0,5684.4,10113.7,14542.9
