date,open,high,low,close,volume,adj.close,avr.5,avr.25,avr.50,stddev,-3s,-2s,-1s,+1s,+2s,+3s,RCI
2017/1/4,1405,1468,1401,1464,2693000,1464,1464,1464,1464,0,1464,1464,1464,1464,1464,1464,100
2017/1/5,1455,1459,1391,1398,3484400,1398,1431,1431,1431,46.7,1291,1337.7,1384.3,1477.7,1524.3,1571,99.9
2017/1/6,1352,1379,1334,1359,3635600,1359,1407,1407,1407,53.1,1247.8,1300.8,1353.9,1460.1,1513.2,1566.2,99.7
2017/1/10,1373,1384,1337,1354,2762700,1354,1393.8,1393.8,1393.8,50.8,1241.4,1292.2,1343,1444.6,1495.4,1546.2,99.2
2017/1/11,1366,1388,1361,1377,1724300,1377,1390.4,1390.4,1390.4,44.6,1256.5,1301.2,1345.8,1435,1479.6,1524.3,98.7
2017/1/12,1350,1360,1318,1332,2377500,1332,1364,1380.7,1380.7,46.5,1241.2,1287.7,1334.2,1427.2,1473.7,1520.2,97.5
2017/1/13,1332,1349,1314,1334,2254500,1334,1351.2,1374,1374,46,1236.1,1282.1,1328,1420,1465.9,1511.9,96
2017/1/16,1327,1350,1322,1331,1712400,1331,1345.6,1368.6,1368.6,45.2,1233,1278.2,1323.4,1413.8,1459,1504.2,93.8
2017/1/17,1349,1350,1305,1314,2414100,1314,1337.6,1362.6,1362.6,46,1224.5,1270.6,1316.6,1408.6,1454.6,1500.7,91.1
2017/1/18,1291,1312,1276,1311,2563000,1311,1324.4,1357.4,1357.4,46.4,1218.3,1264.7,1311,1403.8,1450.1,1496.5,87.6
2017/1/19,1350,1361,1297,1331,3081900,1331,1324.2,1355,1355,44.7,1220.9,1265.6,1310.3,1399.7,1444.4,1489.1,83.6
2017/1/20,1334,1345,1314,1344,2068200,1344,1326.2,1354.1,1354.1,42.7,1225.9,1268.6,1311.4,1396.8,1439.6,1482.3,80.2
2017/1/23,1322,1342,1318,1318,2068500,1318,1323.6,1351.3,1351.3,42.1,1225,1267.1,1309.2,1393.4,1435.5,1477.6,74.7
2017/1/24,1329,1352,1323,1328,1834200,1328,1326.4,1349.6,1349.6,40.9,1226.8,1267.7,1308.7,1390.5,1431.5,1472.4,68.5
2017/1/25,1371,1383,1358,1361,1791400,1361,1336.4,1350.4,1350.4,39.6,1231.7,1271.3,1310.8,1390,1429.5,1469.1,65.6
2017/1/26,1390,1416,1389,1408,3207800,1408,1351.8,1354,1354,40.8,1231.5,1272.3,1313.2,1394.8,1435.7,1476.5,64.5
2017/1/27,1417,1440,1405,1429,2706600,1429,1368.8,1358.4,1358.4,43.5,1227.8,1271.3,1314.9,1401.9,1445.5,1489,63.2
