code,date,open,high,low,close
998405,2016/01/04,1532.53,1544.73,1506.27,1509.67
998405,2016/01/05,1504.69,1516.55,1498.21,1504.71
998405,2016/01/06,1508.78,1514.48,1478.78,1488.84
998405,2016/01/07,1483.9,1489.63,1456.61,1457.94
998405,2016/01/08,1442.85,1472.64,1441.05,1447.32
998405,2016/01/12,1429.52,1436.08,1401.95,1401.95
998405,2016/01/13,1422.17,1443.01,1420.21,1442.09
998405,2016/01/14,1415.05,1416.26,1382.37,1406.55
998405,2016/01/15,1427.65,1433.63,1394.66,1402.45
998405,2016/01/18,1376.24,1393.44,1363.91,1387.93
998405,2016/01/19,1382.45,1395.18,1374.91,1390.41
998405,2016/01/20,1386.16,1386.54,1337.26,1338.97
998405,2016/01/21,1339.72,1359.74,1301.49,1301.49
998405,2016/01/22,1327.93,1375.95,1327.84,1374.19
998405,2016/01/25,1393.87,1398.74,1376.67,1392.63
998405,2016/01/26,1372.57,1373.11,1357.54,1360.23
998405,2016/01/27,1383.41,1403.46,1382.89,1400.7
998405,2016/01/28,1392.93,1406.26,1385.86,1392.1
998405,2016/01/29,1400.73,1435.31,1370.15,1432.07
998405,2016/02/01,1448.04,1463.79,1445.81,1462.67
998405,2016/02/02,1449.01,1461.88,1445.58,1452.04
998405,2016/02/03,1428.28,1429.32,1396.65,1406.27
998405,2016/02/04,1392.43,1403.86,1382.22,1388.81
998405,2016/02/05,1368.61,1373.78,1352.92,1368.97
998405,2016/02/08,1351.69,1388.73,1345.91,1380.41
998405,2016/02/09,1352.89,1352.94,1299.53,1304.33
998405,2016/02/10,1305.87,1309.22,1246.57,1264.96
998405,2016/02/12,1240.92,1242.59,1193.85,1196.28
998405,2016/02/15,1220.14,1303.4,1219.78,1292.23
998405,2016/02/16,1281.48,1321.21,1276.72,1297.01
998405,2016/02/17,1294.34,1311.15,1265.48,1282.4
998405,2016/02/18,1307.06,1322.28,1305.12,1311.2
998405,2016/02/19,1298.83,1299.63,1281.28,1291.82
998405,2016/02/22,1281.74,1304.94,1278.61,1300.0
998405,2016/02/23,1309.01,1316.05,1289.22,1291.17
998405,2016/02/24,1274.37,1292.36,1266.69,1284.53
998405,2016/02/25,1289.64,1313.12,1289.52,1307.54
998405,2016/02/26,1320.14,1330.23,1310.64,1311.27
998405,2016/02/29,1325.63,1333.11,1297.85,1297.85
998405,2016/03/01,1295.16,1304.7,1284.5,1300.83
998405,2016/03/02,1325.53,1354.67,1325.06,1349.61
998405,2016/03/03,1348.32,1370.0,1348.01,1369.05
998405,2016/03/04,1366.73,1376.25,1360.89,1375.35
998405,2016/03/07,1373.78,1373.85,1360.86,1361.9
998405,2016/03/08,1357.78,1361.54,1330.58,1347.72
998405,2016/03/09,1334.89,1338.15,1322.14,1332.33
998405,2016/03/10,1344.95,1355.09,1337.03,1352.17
998405,2016/03/11,1334.71,1364.5,1331.63,1359.32
998405,2016/03/14,1375.61,1384.35,1371.96,1379.95
998405,2016/03/15,1377.54,1383.43,1365.87,1372.08
998405,2016/03/16,1361.83,1373.31,1360.05,1360.5
998405,2016/03/17,1369.38,1380.98,1348.6,1358.97
998405,2016/03/18,1354.55,1359.83,1335.34,1345.05
998405,2016/03/22,1359.99,1374.97,1354.57,1369.93
998405,2016/03/23,1371.29,1378.25,1361.86,1364.2
998405,2016/03/24,1360.07,1365.04,1348.88,1354.61
998405,2016/03/25,1357.37,1368.22,1352.78,1366.05
998405,2016/03/28,1375.16,1381.85,1364.8,1381.85
998405,2016/03/29,1367.86,1380.41,1367.86,1377.6
998405,2016/03/30,1373.18,1374.84,1356.09,1356.29
998405,2016/03/31,1363.12,1367.88,1346.83,1347.2
998405,2016/04/01,1343.24,1343.24,1298.48,1301.4
998405,2016/04/04,1296.78,1313.96,1292.59,1302.71
998405,2016/04/05,1295.21,1298.04,1266.77,1268.37
998405,2016/04/06,1266.19,1274.56,1256.31,1267.75
998405,2016/04/07,1267.33,1281.37,1261.36,1272.64
998405,2016/04/08,1255.07,1303.13,1250.77,1287.69
998405,2016/04/11,1281.64,1282.67,1263.25,1279.79
998405,2016/04/12,1278.26,1302.62,1277.25,1299.35
998405,2016/04/13,1316.03,1334.9,1314.17,1332.44
998405,2016/04/14,1352.03,1371.35,1349.96,1371.35
998405,2016/04/15,1353.48,1368.22,1353.48,1361.4
998405,2016/04/18,1334.49,1335.26,1313.35,1320.15
998405,2016/04/19,1345.02,1365.9,1343.65,1363.03
998405,2016/04/20,1375.11,1380.49,1363.38,1365.78
