date,code,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2016-01-04,998405,1532.53,1544.73,1506.27,1509.67,1509.7,1509.7,1509.7,1509.7,1509.7,0.0,1509.7,1509.7,1509.7,1509.7,100.0
2016-01-05,998405,1504.69,1516.55,1498.21,1504.71,1507.2,1507.2,1507.2,1507.2,1507.2,3.5,1496.7,1500.2,1514.2,1517.7,99.9
2016-01-06,998405,1508.78,1514.48,1478.78,1488.84,1501.1,1501.1,1501.1,1501.1,1501.1,10.9,1468.5,1479.3,1522.9,1533.7,99.5
2016-01-07,998405,1483.9,1489.63,1456.61,1457.94,1490.3,1490.3,1490.3,1490.3,1490.3,23.3,1420.3,1443.7,1536.9,1560.3,98.7
2016-01-08,998405,1442.85,1472.64,1441.05,1447.32,1481.7,1481.7,1481.7,1481.7,1481.7,27.9,1398.1,1425.9,1537.5,1565.3,97.4
2016-01-12,998405,1429.52,1436.08,1401.95,1401.95,1468.4,1468.4,1468.4,1468.4,1468.4,41.0,1345.4,1386.4,1550.4,1591.4,95.5
2016-01-13,998405,1422.17,1443.01,1420.21,1442.09,1464.6,1464.6,1464.6,1464.6,1464.6,38.7,1348.4,1387.1,1542.1,1580.8,92.9
2016-01-14,998405,1415.05,1416.26,1382.37,1406.55,1457.4,1457.4,1457.4,1457.4,1457.4,41.3,1333.4,1374.7,1540.1,1581.4,89.5
2016-01-15,998405,1427.65,1433.63,1394.66,1402.45,1444.0,1451.3,1451.3,1451.3,1451.3,42.8,1323.0,1365.7,1536.9,1579.6,85.2
2016-01-18,998405,1376.24,1393.44,1363.91,1387.93,1429.4,1444.9,1444.9,1444.9,1444.9,45.0,1309.8,1354.8,1535.0,1580.0,79.4
2016-01-19,998405,1382.45,1395.18,1374.91,1390.41,1417.1,1440.0,1440.0,1440.0,1440.0,45.8,1302.7,1348.4,1531.6,1577.3,72.3
2016-01-20,998405,1386.16,1386.54,1337.26,1338.97,1402.2,1431.6,1431.6,1431.6,1431.6,52.5,1274.1,1326.6,1536.6,1589.1,63.8
2016-01-21,998405,1339.72,1359.74,1301.49,1301.49,1384.0,1421.6,1421.6,1421.6,1421.6,61.9,1236.0,1297.9,1545.3,1607.2,53.6
2016-01-22,998405,1327.93,1375.95,1327.84,1374.19,1380.5,1418.2,1418.2,1418.2,1418.2,60.8,1235.9,1296.7,1539.7,1600.5,42.2
2016-01-25,998405,1393.87,1398.74,1376.67,1392.63,1374.3,1416.5,1416.5,1416.5,1416.5,58.9,1239.7,1298.6,1534.4,1593.3,30.5
2016-01-26,998405,1372.57,1373.11,1357.54,1360.23,1368.5,1413.0,1413.0,1413.0,1413.0,58.6,1237.1,1295.7,1530.3,1588.9,15.8
2016-01-27,998405,1383.41,1403.46,1382.89,1400.7,1368.3,1412.2,1412.2,1412.2,1412.2,56.9,1241.6,1298.5,1525.9,1582.8,1.8
2016-01-28,998405,1392.93,1406.26,1385.86,1392.1,1368.8,1411.1,1411.1,1411.1,1411.1,55.4,1245.0,1300.4,1521.8,1577.2,-13.9
2016-01-29,998405,1400.73,1435.31,1370.15,1432.07,1374.0,1412.2,1412.2,1412.2,1412.2,54.0,1250.1,1304.2,1520.2,1574.3,-25.8
2016-02-01,998405,1448.04,1463.79,1445.81,1462.67,1389.5,1414.7,1414.7,1414.7,1414.7,53.8,1253.4,1307.1,1522.3,1576.0,-32.9
2016-02-02,998405,1449.01,1461.88,1445.58,1452.04,1408.3,1416.5,1416.5,1416.5,1416.5,53.0,1257.4,1310.4,1522.6,1575.6,-42.6
2016-02-03,998405,1428.28,1429.32,1396.65,1406.27,1412.3,1411.6,1416.1,1416.1,1416.1,48.6,1265.9,1314.5,1508.7,1557.3,-29.5
2016-02-04,998405,1392.43,1403.86,1382.22,1388.81,1411.9,1406.1,1414.9,1414.9,1414.9,43.8,1274.7,1318.5,1493.7,1537.5,-23.0
2016-02-05,998405,1368.61,1373.78,1352.92,1368.97,1413.0,1400.4,1413.0,1413.0,1413.0,40.2,1279.9,1320.1,1480.7,1520.9,-19.0
2016-02-08,998405,1351.69,1388.73,1345.91,1380.41,1410.4,1396.7,1411.7,1411.7,1411.7,38.1,1282.4,1320.5,1472.9,1511.0,-15.1
2016-02-09,998405,1352.89,1352.94,1299.53,1304.33,1399.4,1389.9,1407.5,1407.5,1407.5,41.2,1266.2,1307.4,1472.4,1513.6,-17.4
2016-02-10,998405,1305.87,1309.22,1246.57,1264.96,1378.6,1383.3,1402.2,1402.2,1402.2,49.3,1235.4,1284.7,1481.9,1531.2,-25.7
2016-02-12,998405,1240.92,1242.59,1193.85,1196.28,1345.3,1371.6,1394.9,1394.9,1394.9,62.2,1185.1,1247.3,1495.9,1558.1,-29.2
2016-02-15,998405,1220.14,1303.4,1219.78,1292.23,1325.3,1366.2,1391.4,1391.4,1391.4,63.9,1174.4,1238.4,1494.0,1558.0,-33.5
2016-02-16,998405,1281.48,1321.21,1276.72,1297.01,1311.6,1361.2,1388.2,1388.2,1388.2,65.1,1166.0,1231.1,1491.3,1556.4,-38.7
2016-02-17,998405,1294.34,1311.15,1265.48,1282.4,1298.3,1356.2,1384.8,1384.8,1384.8,66.9,1155.4,1222.3,1490.1,1557.0,-47.7
2016-02-18,998405,1307.06,1322.28,1305.12,1311.2,1291.1,1352.4,1382.5,1382.5,1382.5,67.1,1151.0,1218.1,1486.7,1553.8,-49.6
2016-02-19,998405,1298.83,1299.63,1281.28,1291.82,1280.0,1350.1,1379.7,1379.7,1379.7,68.4,1144.9,1213.3,1486.9,1555.3,-59.6
2016-02-22,998405,1281.74,1304.94,1278.61,1300.0,1279.5,1350.1,1377.4,1377.4,1377.4,68.4,1144.8,1213.2,1487.0,1555.4,-70.5
2016-02-23,998405,1309.01,1316.05,1289.22,1291.17,1282.8,1346.1,1371.0,1374.9,1374.9,69.4,1138.0,1207.3,1484.9,1554.2,-75.1
2016-02-24,998405,1274.37,1292.36,1266.69,1284.53,1293.8,1341.0,1364.5,1372.4,1372.4,69.8,1131.7,1201.5,1480.5,1550.3,-75.3
2016-02-25,998405,1289.64,1313.12,1289.52,1307.54,1295.7,1338.5,1359.2,1370.7,1370.7,70.0,1128.6,1198.5,1478.5,1548.4,-73.2
