date,open,high,low,close,sma 5,sma 21,sma 34,sma 89,sma 144,stddev,-3s,-2s,+2s,+3s,RCI
2017-01-04,19298.68,19594.16,19277.93,19594.16,19594.2,19594.2,19594.2,19594.2,19594.2,0.0,19594.2,19594.2,19594.2,19594.2,100.0
2017-01-05,19602.1,19615.4,19473.28,19520.69,19557.4,19557.4,19557.4,19557.4,19557.4,52.0,19401.5,19453.5,19661.3,19713.3,99.9
2017-01-06,19393.55,19472.37,19354.44,19454.33,19523.1,19523.1,19523.1,19523.1,19523.1,69.9,19313.3,19383.2,19663.0,19732.9,99.5
2017-01-10,19414.83,19484.9,19255.35,19301.44,19467.7,19467.7,19467.7,19467.7,19467.7,124.7,19093.7,19218.4,19717.0,19841.7,98.7
2017-01-11,19358.64,19402.17,19325.46,19364.67,19447.1,19447.1,19447.1,19447.1,19447.1,117.4,19095.0,19212.4,19681.8,19799.2,97.5
2017-01-12,19300.19,19300.19,19069.02,19134.7,19355.2,19395.0,19395.0,19395.0,19395.0,165.2,18899.5,19064.7,19725.3,19890.5,95.6
2017-01-13,19174.97,19299.36,19156.93,19287.28,19308.5,19379.6,19379.6,19379.6,19379.6,156.2,18911.1,19067.2,19692.0,19848.1,93.0
2017-01-16,19219.13,19255.41,19061.27,19095.24,19236.7,19344.1,19344.1,19344.1,19344.1,176.1,18815.8,18991.9,19696.3,19872.4,89.4
2017-01-17,19038.45,19043.91,18812.86,18813.53,19139.1,19285.1,19285.1,19285.1,19285.1,241.7,18560.0,18801.7,19768.5,20010.2,84.7
2017-01-18,18753.96,18941.24,18650.33,18894.37,19045.0,19246.0,19246.0,19246.0,19246.0,259.2,18468.4,18727.6,19764.4,20023.6,79.0
2017-01-19,19082.83,19122.39,18982.13,19072.25,19032.5,19230.2,19230.2,19230.2,19230.2,251.4,18475.9,18727.3,19733.1,19984.5,72.2
2017-01-20,19059.15,19176.86,19040.2,19137.91,19002.7,19222.5,19222.5,19222.5,19222.5,241.2,18498.9,18740.1,19704.9,19946.1,65.7
2017-01-23,18938.45,19024.21,18879.68,18891.03,18961.8,19197.0,19197.0,19197.0,19197.0,248.6,18451.3,18699.9,19694.1,19942.7,56.1
2017-01-24,18817.42,18915.7,18783.16,18787.99,18956.7,19167.8,19167.8,19167.8,19167.8,262.7,18379.8,18642.5,19693.1,19955.8,44.3
2017-01-25,19091.23,19133.18,18987.45,19057.5,18989.3,19160.5,19160.5,19160.5,19160.5,254.7,18396.4,18651.1,19669.9,19924.6,32.5
2017-01-26,19260.67,19405.23,19232.46,19402.39,19055.4,19175.6,19175.6,19175.6,19175.6,253.4,18415.5,18668.8,19682.4,19935.7,27.0
2017-01-27,19453.51,19486.68,19404.13,19467.4,19121.3,19192.8,19192.8,19192.8,19192.8,255.3,18426.8,18682.1,19703.5,19958.8,23.0
2017-01-30,19371.28,19390.97,19295.8,19368.85,19216.8,19202.5,19202.5,19202.5,19202.5,251.2,18449.0,18700.2,19704.8,19956.0,16.4
2017-01-31,19145.35,19199.75,19041.34,19041.34,19267.5,19194.1,19194.1,19194.1,19194.1,246.9,18453.5,18700.3,19687.9,19934.7,-1.9
2017-02-01,18926.97,19155.79,18916.18,19148.08,19285.6,19191.8,19191.8,19191.8,19191.8,240.5,18470.3,18710.8,19672.8,19913.3,-15.8
2017-02-02,19152.79,19170.63,18866.8,18914.58,19188.0,19178.6,19178.6,19178.6,19178.6,242.1,18452.3,18694.4,19662.8,19904.9,-38.2
2017-02-03,18996.74,19061.26,18830.89,18918.2,19078.2,19146.4,19166.7,19166.7,19166.7,228.6,18460.5,18689.1,19603.7,19832.3,-32.6
