{'mavr': [5,25, 50], 'volweighted': True, 'ohlc': True, 'code': '8909.T'},,,,,,,
['../yfseries/8909.T-20170101-20181229.csv'],,,,,,,,,,,,
date,open,high,low,close,volume,adj.close,m.avr.5,m.avr.25,m.avr.50,m.stddev,-2s,+2s
2017/1/4,2100,2126,2081,2122,206400,2122,2107.2,2107.2,2107.2,0,2107.2,2107.2
2017/1/5,2123,2123,2075,2093,149600,2093,2105.6,2105.6,2105.6,1.8,2102,2109.2
2017/1/6,2085,2123,2070,2115,114600,2115,2103.8,2103.8,2103.8,3.6,2096.6,2111
2017/1/10,2116,2150,2116,2123,174500,2123,2109.9,2109.9,2109.9,10.4,2089.1,2130.7
2017/1/11,2131,2140,2126,2131,93400,2131,2114.8,2112.7,2112.7,12.2,2088.3,2137.1
2017/1/12,2132,2132,2080,2088,147600,2088,2116.1,2111.9,2111.9,11.3,2089.3,2134.5
2017/1/13,2070,2091,2055,2088,123800,2088,2110.7,2107.5,2107.5,15.8,2075.9,2139.1
2017/1/16,2105,2106,2069,2070,95800,2070,2100,2105.8,2105.8,16.1,2073.6,2138
2017/1/17,2052,2060,2016,2021,121500,2021,2078.3,2099,2099,25.6,2047.8,2150.2
2017/1/18,2000,2015,1971,2005,191400,2005,2041.1,2085.3,2085.3,42,2001.3,2169.3
2017/1/19,2017,2040,1986,1991,137600,1991,2025,2078.5,2078.5,45.6,1987.3,2169.7
2017/1/20,1982,2003,1980,1996,74800,1996,2008.6,2074.5,2074.5,48.2,1978.1,2170.9
2017/1/23,1989,1990,1952,1956,146400,1956,1992.5,2066,2066,54.1,1957.8,2174.2
2017/1/24,1933,1948,1902,1915,159400,1915,1969.7,2054.4,2054.4,64.8,1924.8,2184
2017/1/25,1940,1948,1917,1943,95900,1943,1951.9,2048.8,2048.8,68,1912.8,2184.8
2017/1/26,1965,1974,1933,1950,97700,1950,1946.8,2044.6,2044.6,69.2,1906.2,2183
2017/1/27,1940,1962,1930,1941,83700,1941,1937.8,2040.7,2040.7,70.6,1899.5,2181.9
2017/1/30,1929,1930,1903,1910,165700,1910,1935.1,2032.2,2032.2,74.9,1882.4,2182
2017/1/31,1903,1911,1886,1892,162400,1892,1923,2023.6,2023.6,79.6,1864.4,2182.8
2017/2/1,1885,1920,1872,1908,170100,1908,1909.7,2015.6,2015.6,83,1849.6,2181.6
2017/2/6,1921,1925,1898,1907,96800,1907,1905.5,2012.1,2012.1,83.7,1844.7,2179.5
2017/2/7,1904,1904,1891,1896,74100,1896,1900.4,2009.2,2009.2,84.5,1840.2,2178.2
2017/2/8,1896,1912,1890,1905,63800,1905,1901.4,2006.8,2006.8,85.1,1836.6,2177
2017/2/9,1905,1947,1896,1920,108200,1920,1908.9,2003.6,2003.6,85.2,1833.2,2174
2017/2/10,1940,1985,1928,1969,158800,1969,1926.2,1994,2001.3,81.7,1830.6,2157.4
2017/2/13,2000,2019,1986,2019,169700,2019,1957.3,1989.3,2001.5,77.6,1834.1,2144.5
2017/2/14,2030,2032,1977,1981,214500,1981,1978.6,1986.3,2001.7,73.5,1839.3,2133.3
2017/2/15,2009,2088,2009,2074,430300,2074,2014.8,1986.6,2006.3,66.5,1853.6,2119.6
2017/2/16,2120,2128,2008,2016,848200,2016,2047.6,2000,2017.1,65.7,1868.6,2131.4
2017/2/17,2016,2031,1986,2020,278900,2020,2046.2,1997.1,2016.8,61.5,1874.1,2120.1
2017/2/20,2020,2045,2018,2037,124300,2037,2050.2,1995.8,2017.2,60.2,1875.4,2116.2
2017/2/21,2029,2036,2011,2031,109100,2031,2050,1994.5,2017.4,58.8,1876.9,2112.1
2017/2/22,2045,2050,2022,2024,95300,2024,2022.5,1994.2,2017.7,58.8,1876.6,2111.8
2017/2/23,2040,2045,2021,2043,83200,2043,2031.8,1994.9,2018,59.9,1875.1,2114.7
2017/2/24,2034,2063,2026,2059,122900,2059,2036.5,1996,2018.6,60.6,1874.8,2117.2
2017/2/27,2059,2059,2021,2040,95200,2040,2041.1,1997.2,2019,60.8,1875.6,2118.8
2017/2/28,2038,2050,2026,2030,99800,2030,2041.2,1999,2019.3,61.3,1876.4,2121.6
2017/3/1,2034,2073,2030,2064,127300,2064,2044.6,2003.6,2019.9,60.2,1883.2,2124
2017/3/2,2075,2078,2042,2042,77200,2042,2047.1,2006.2,2020.4,59.9,1886.4,2126
2017/3/3,2045,2073,2037,2049,93300,2049,2048.6,2008.4,2020.9,59.8,1888.8,2128
2017/3/9,2050,2050,2033,2040,51900,2040,2051.4,2010.2,2021.1,59.4,1891.4,2129
2017/3/10,2051,2060,2041,2045,71900,2045,2051.3,2014.9,2021.4,57.1,1900.7,2129.1
2017/3/13,2057,2057,2042,2052,74300,2052,2049.4,2020.5,2021.7,52.4,1915.7,2125.3
2017/3/14,2054,2098,2050,2098,150500,2098,2060,2028.2,2023,46.2,1935.8,2120.6
2017/3/15,2100,2100,2047,2050,151000,2050,2066.8,2032.9,2024.1,42.8,1947.3,2118.5
2017/3/16,2050,2112,2046,2109,134800,2109,2072.5,2037,2025.2,39,1959,2115
2017/3/17,2107,2173,2105,2148,257200,2148,2097.2,2045.1,2029.1,40.9,1963.3,2126.9
2017/3/21,2170,2232,2170,2220,316500,2220,2138.2,2059.4,2036.4,51.8,1955.8,2163
2017/3/22,2198,2258,2187,2227,244000,2227,2168.7,2071.9,2042.2,58.9,1954.1,2189.7
2017/3/23,2245,2252,2178,2238,301000,2238,2195.5,2084.7,2047.7,68.3,1948.1,2221.3
2017/3/24,2238,2238,2183,2193,115100,2193,2213.9,2091.8,2049.1,69.5,1952.8,2230.8
2017/3/27,2160,2160,2100,2145,142700,2145,2207.3,2098.4,2050,70.6,1957.2,2239.6
2017/3/28,2144,2148,2115,2138,118700,2138,2191.2,2107.2,2049.6,76,1955.2,2259.2
2017/3/29,2139,2182,2135,2172,75600,2172,2160.8,2116.5,2049.7,73.2,1970.1,2262.9
2017/3/30,2170,2182,2123,2134,116600,2134,2145.4,2121.1,2050.1,71.4,1978.3,2263.9
2017/3/31,2145,2154,2093,2102,177100,2102,2138.6,2124.3,2051.4,68.5,1987.3,2261.3
2017/4/3,2072,2080,2010,2037,188400,2037,2109.1,2122.7,2050.9,68.2,1986.3,2259.1
2017/4/4,2038,2045,1915,1953,296900,1953,2058.3,2113.5,2048.8,75,1963.5,2263.5
2017/4/5,1979,1995,1935,1950,146400,1950,2027.8,2109.8,2048.4,79.4,1951,2268.6
2017/4/6,1950,1964,1893,1924,208900,1924,1984,2101.6,2046.1,87.7,1926.2,2277
2017/4/7,1930,1962,1900,1946,145300,1946,1959.5,2096.9,2044.6,92.4,1912.1,2281.7
2017/4/10,1963,2029,1955,2029,155800,2029,1954.8,2094.3,2045,93.9,1906.5,2282.1
2017/4/11,2015,2025,1992,2020,72600,2020,1959.6,2093.4,2047.1,94.5,1904.4,2282.4
2017/4/12,1995,2008,1961,1962,126000,1962,1976.3,2090.8,2047.4,96,1898.8,2282.8
2017/4/13,1950,1980,1933,1980,72200,1980,1987.9,2089,2047.7,97.2,1894.6,2283.4
2017/4/14,1974,1977,1944,1948,45900,1948,1981,2088.2,2048.3,98.4,1891.4,2285
2017/4/17,1940,2018,1936,2018,99800,2018,1973.4,2086.1,2050.2,99.5,1887.1,2285.1
2017/4/18,2030,2045,2015,2033,84600,2033,1986.1,2085.3,2053.1,100.7,1883.9,2286.7
2017/4/19,2030,2118,2030,2094,169900,2094,2025.4,2084.9,2056.9,100.5,1883.9,2285.9
2017/4/20,2078,2085,2013,2045,63300,2045,2037,2084.6,2058.7,101.5,1881.6,2287.6
2017/4/21,2070,2074,2045,2063,33400,2063,2056.3,2080.9,2060.2,103.8,1873.3,2288.5
2017/4/24,2045,2068,2026,2048,66400,2048,2060.8,2068.8,2061.4,100.8,1867.2,2270.4
2017/4/25,2052,2055,2022,2040,62900,2040,2050.3,2056.5,2063.3,94.1,1868.3,2244.7
2017/4/26,2055,2067,2041,2066,56000,2066,2050.6,2038.4,2065.5,78.6,1881.2,2195.6
2017/4/27,2063,2088,2050,2088,48700,2088,2053.3,2031.7,2066.9,70.9,1889.9,2173.5
2017/4/28,2088,2095,2051,2079,51400,2079,2061.2,2026.8,2068.8,67.7,1891.4,2162.2
2017/5/1,2078,2091,2071,2084,39600,2084,2071.3,2022.6,2070.4,64.8,1893,2152.2
2017/5/2,2084,2107,2080,2102,103500,2102,2083.8,2021.5,2071.1,61.9,1897.7,2145.3
2017/5/8,2125,2168,2114,2168,133000,2168,2109.9,2021.9,2075.4,61.7,1898.5,2145.3
2017/5/15,2213,2225,2171,2207,223400,2207,2155.3,2030.3,2081,75.8,1878.7,2181.9
2017/5/16,2182,2200,2157,2184,172800,2184,2166.9,2038.7,2084.8,84.5,1869.7,2207.7
2017/5/17,2160,2174,2119,2134,174200,2134,2172.8,2051.9,2087.3,88.4,1875.1,2228.7
2017/5/18,2088,2118,2076,2088,161400,2088,2160.3,2059.5,2088.1,85.9,1887.7,2231.3
2017/5/19,2101,2125,2083,2106,116000,2106,2134.2,2072.2,2089.2,78.9,1914.4,2230
2017/5/22,2175,2181,2150,2173,141700,2173,2129.1,2085.9,2091.7,74,1937.9,2233.9
2017/5/23,2188,2241,2188,2199,163000,2199,2144.8,2099.4,2095.4,75.3,1948.8,2250
2017/5/24,2214,2216,2172,2207,88600,2207,2171.3,2105.6,2097.8,75.9,1953.8,2257.4
