date,open,high,low,close,volume,sma 5,sma 12,sma 21,sma 33,sma 55,sma 144,sma 233,momentum,stddev,-3s,-2s,+2s,+3s,RCI
2016/12/30,18997.68,19176.81,18991.59,19114.37,1667860000,19114.4,19114.4,19114.4,19114.4,19114.4,19114.4,19114.4,0,0,19114.4,19114.4,19114.4,19114.4,1000
2017/1/4,19298.68,19594.16,19277.93,19594.16,2375730000,19354.3,19354.3,19354.3,19354.3,19354.3,19354.3,19354.3,479.79,339.3,18336.5,18675.8,20032.8,20372.1,1000
2017/1/5,19602.1,19615.4,19473.28,19520.69,2046380000,19409.7,19409.7,19409.7,19409.7,19409.7,19409.7,19409.7,406.32,258.4,18634.4,18892.9,19926.5,20185,999
2017/1/6,19393.55,19472.37,19354.44,19454.33,1861890000,19420.9,19420.9,19420.9,19420.9,19420.9,19420.9,19420.9,339.96,212.2,18784.4,18996.5,19845.3,20057.4,995
2017/1/10,19414.83,19484.9,19255.35,19301.44,1894670000,19397,19397,19397,19397,19397,19397,19397,187.07,191.4,18822.9,19014.3,19779.7,19971.1,987
2017/1/11,19358.64,19402.17,19325.46,19364.67,1944330000,19447.1,19391.6,19391.6,19391.6,19391.6,19391.6,19391.6,250.3,171.7,18876.6,19048.3,19734.9,19906.6,975
2017/1/12,19300.19,19300.19,19069.02,19134.7,2007000000,19355.2,19354.9,19354.9,19354.9,19354.9,19354.9,19354.9,20.33,184.4,18801.8,18986.2,19723.6,19908,956
2017/1/13,19174.97,19299.36,19156.93,19287.28,1600200000,19308.5,19346.5,19346.5,19346.5,19346.5,19346.5,19346.5,172.91,172.3,18829.5,19001.8,19691.2,19863.5,930
2017/1/16,19219.13,19255.41,19061.27,19095.24,1469550000,19236.7,19318.5,19318.5,19318.5,19318.5,19318.5,19318.5,-19.13,181.7,18773.5,18955.2,19681.8,19863.5,883
2017/1/17,19038.45,19043.91,18812.86,18813.53,1710560000,19139.1,19268,19268,19268,19268,19268,19268,-300.84,234.2,18565.5,18799.6,19736.4,19970.5,825
2017/1/18,18753.96,18941.24,18650.33,18894.37,1818260000,19045,19234.1,19234.1,19234.1,19234.1,19234.1,19234.1,-220,249.1,18486.8,18735.9,19732.3,19981.4,755
2017/1/19,19082.83,19122.39,18982.13,19072.25,2254440000,19032.5,19220.6,19220.6,19220.6,19220.6,19220.6,19220.6,-521.91,242.1,18494.4,18736.5,19704.7,19946.8,673
2017/1/20,19059.15,19176.86,19040.2,19137.91,1791400000,19002.7,19222.5,19214.2,19214.2,19214.2,19214.2,19214.2,-382.78,232.9,18515.6,18748.4,19680,19912.8,608
2017/1/23,18938.45,19024.21,18879.68,18891.03,1777700000,18961.8,19164,19191.1,19191.1,19191.1,19191.1,19191.1,-563.3,239.8,18471.6,18711.4,19670.8,19910.6,495
2017/1/24,18817.42,18915.7,18783.16,18787.99,1866880000,18956.7,19102.9,19164.3,19164.3,19164.3,19164.3,19164.3,-513.45,253.5,18403.9,18657.4,19671.2,19924.7,358
2017/1/25,19091.23,19133.18,18987.45,19057.5,1934340000,18989.3,19069.8,19157.6,19157.6,19157.6,19157.6,19157.6,-307.17,246.3,18418.6,18664.9,19650.3,19896.6,221
2017/1/26,19260.67,19405.23,19232.46,19402.39,2300000000,19055.4,19078.2,19172,19172,19172,19172,19172,267.69,245.8,18434.6,18680.4,19663.6,19909.4,166
2017/1/27,19453.51,19486.68,19404.13,19467.4,1947160000,19121.3,19086.8,19188.4,19188.4,19188.4,19188.4,19188.4,180.12,248.4,18443.2,18691.6,19685.2,19933.6,126
2017/1/30,19371.28,19390.97,19295.8,19368.85,1532740000,19216.8,19106.3,19197.9,19197.9,19197.9,19197.9,19197.9,273.61,244.9,18463.1,18708,19687.8,19932.7,60
