date,open,high,low,close,volume,sma 12,sma 21,sma 34,sma 144,sma 233,momentum (9),stddev,-3s,-2s,+2s,+3s,RCI
2017-01-13,19174.97,19299.36,19156.93,19287.28,1600200000.0,19287.3,19287.3,19287.3,19287.3,19287.3,0.0,0.0,19287.3,19287.3,19287.3,19287.3,1000.0
2017-01-16,19219.13,19255.41,19061.27,19095.24,1469550000.0,19191.3,19191.3,19191.3,19191.3,19191.3,-192.03999999999724,135.8,18783.9,18919.7,19462.9,19598.7,999.0
2017-01-17,19038.45,19043.91,18812.86,18813.53,1710560000.0,19065.4,19065.4,19065.4,19065.4,19065.4,-473.75,238.3,18350.5,18588.8,19542.0,19780.3,995.0
2017-01-18,18753.96,18941.24,18650.33,18894.37,1818260000.0,19022.6,19022.6,19022.6,19022.6,19022.6,-392.90999999999985,212.5,18385.1,18597.6,19447.6,19660.1,988.0
2017-01-19,19082.83,19122.39,18982.13,19072.25,2254440000.0,19032.5,19032.5,19032.5,19032.5,19032.5,-215.02999999999884,185.4,18476.4,18661.7,19403.3,19588.6,979.0
2017-01-20,19059.15,19176.86,19040.2,19137.91,1791400000.0,19050.1,19050.1,19050.1,19050.1,19050.1,-149.36999999999898,171.3,18536.2,18707.5,19392.7,19564.0,973.0
2017-01-23,18938.45,19024.21,18879.68,18891.03,1777700000.0,19027.4,19027.4,19027.4,19027.4,19027.4,-396.25,167.5,18524.8,18692.3,19362.5,19530.0,951.0
2017-01-24,18817.42,18915.7,18783.16,18787.99,1866880000.0,18997.4,18997.4,18997.4,18997.4,18997.4,-499.28999999999724,176.7,18467.3,18644.0,19350.8,19527.5,914.0
2017-01-25,19091.23,19133.18,18987.45,19057.5,1934340000.0,19004.1,19004.1,19004.1,19004.1,19004.1,-229.77999999999884,166.5,18504.6,18671.1,19337.1,19503.6,886.0
2017-01-26,19260.67,19405.23,19232.46,19402.39,2300000000.0,19043.9,19043.9,19043.9,19043.9,19043.9,115.11000000000058,201.2,18440.2,18641.4,19446.4,19647.6,886.0
2017-01-27,19453.51,19486.68,19404.13,19467.4,1947160000.0,19082.4,19082.4,19082.4,19082.4,19082.4,372.15999999999985,229.7,18393.4,18623.0,19541.8,19771.4,886.0
2017-01-30,19371.28,19390.97,19295.8,19368.85,1532740000.0,19106.3,19106.3,19106.3,19106.3,19106.3,555.3199999999997,234.1,18404.1,18638.2,19574.4,19808.5,882.0
2017-01-31,19145.35,19199.75,19041.34,19041.34,1997460000.0,19085.8,19101.3,19101.3,19101.3,19101.3,146.97000000000116,224.8,18426.8,18651.6,19551.0,19775.8,819.0
2017-02-01,18926.97,19155.79,18916.18,19148.08,2032170000.0,19090.2,19104.7,19104.7,19104.7,19104.7,75.83000000000175,216.4,18455.6,18672.0,19537.4,19753.8,791.0
2017-02-02,19152.79,19170.63,18866.8,18914.58,2128180000.0,19098.6,19092.0,19092.0,19092.0,19092.0,-223.3299999999981,214.2,18449.4,18663.6,19520.4,19734.6,704.0
2017-02-03,18996.74,19061.26,18830.89,18918.2,2116970000.0,19100.6,19081.1,19081.1,19081.1,19081.1,27.17000000000189,211.4,18446.8,18658.2,19504.0,19715.4,604.0
2017-02-06,19069.72,19075.57,18899.4,18976.71,1797660000.0,19092.7,19075.0,19075.0,19075.0,19075.0,188.71999999999753,206.3,18456.1,18662.4,19487.6,19693.9,491.0
2017-02-07,18844.12,18970.58,18805.32,18910.78,1694480000.0,19073.7,19065.9,19065.9,19065.9,19065.9,-146.72000000000116,203.8,18454.4,18658.2,19473.6,19677.4,357.0
