date,open,high,low,close,volume,adj.close
2018/01/04,21520,22130,21520,22130,9518488,22130
2018/01/05,22400,22590,22170,22570,8375809,22570
2018/01/09,23050,23050,22690,22800,7436969,22800
2018/01/10,22760,22830,22620,22690,4290399,22690
2018/01/11,22450,22610,22330,22500,5447518,22500
2018/01/12,22610,22610,22300,22410,5107467,22410
2018/01/15,22720,22750,22470,22520,3809367,22520
2018/01/16,22550,22990,22510,22980,5800826,22980
2018/01/17,22640,22860,22560,22800,7423085,22800
2018/01/18,23300,23300,22510,22610,11266099,22610
2018/01/19,22750,22830,22560,22700,5097080,22700
2018/01/22,22680,22710,22470,22680,3791685,22680
2018/01/23,22930,23320,22910,23300,8610820,23300
2018/01/24,23080,23190,22890,22960,6471311,22960
2018/01/25,22580,22740,22380,22450,7485367,22450
2018/01/26,22590,22670,22270,22320,5632377,22320
2018/01/29,22520,22650,22240,22350,4295415,22350
2018/01/30,22240,22260,21580,21710,9231848,21710
2018/01/31,21530,21880,21360,21360,7485789,21360
2018/02/01,21690,22090,21590,22060,6048229,22060
2018/02/02,21800,21820,21380,21660,7908987,21660
2018/02/05,20870,20920,20510,20570,11093024,20570
2018/02/06,18800,19050,17640,18600,23840295,18600
2018/02/07,19650,19850,18620,18640,14319644,18640
2018/02/08,18780,19220,18640,19050,11952884,19050
2018/02/09,17750,18220,17680,18220,16198014,18220
2018/02/13,18620,18670,17870,17930,11763236,17930
