date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-01-04,837,865,834,856,84200,856,856.0,856.0,856.0,0.0,856.0,856.0,856.0,856.0,100.0
2017-01-05,852,891,852,880,228800,880,868.0,868.0,868.0,17.0,817.1,834.1,901.9,918.9,100.0
2017-01-06,873,888,862,865,89000,865,867.0,867.0,867.0,12.1,830.6,842.8,891.2,903.4,99.9
2017-01-10,871,883,862,870,67200,870,867.8,867.8,867.8,10.0,837.8,847.8,887.8,897.8,99.8
2017-01-11,860,866,834,834,87300,834,861.0,861.0,861.0,17.4,808.8,826.2,895.8,913.2,99.0
2017-01-12,840,840,814,814,85400,814,853.2,853.2,853.2,24.7,779.1,803.8,902.6,927.3,97.8
2017-01-13,812,837,812,825,75700,825,849.1,849.1,849.1,24.9,774.3,799.2,899.0,923.9,96.3
2017-01-16,834,846,825,844,54900,844,848.5,848.5,848.5,23.2,779.0,802.2,894.8,918.0,94.6
2017-01-17,843,865,831,847,85700,847,847.4,848.3,848.3,21.7,783.3,805.0,891.6,913.3,92.6
2017-01-18,836,840,816,829,80700,829,841.0,846.4,846.4,21.3,782.4,803.7,889.1,910.4,89.7
2017-01-19,843,849,832,837,44200,837,837.5,845.5,845.5,20.4,784.2,804.6,886.4,906.8,86.7
2017-01-20,837,853,837,845,47900,845,834.4,845.5,845.5,19.5,787.1,806.5,884.5,903.9,83.5
2017-01-23,850,850,833,845,35200,845,835.8,845.5,845.5,18.7,789.5,808.2,882.8,901.5,79.9
2017-01-24,849,854,836,853,87900,853,840.6,846.0,846.0,18.0,791.9,809.9,882.1,900.1,76.4
2017-01-25,853,877,851,871,172500,871,846.4,847.7,847.7,18.5,792.1,810.6,884.8,903.3,75.4
2017-01-26,870,878,860,861,78200,861,848.5,848.5,848.5,18.2,793.8,812.1,884.9,903.2,72.3
2017-01-27,865,865,842,856,86900,856,849.6,848.9,848.9,17.7,795.7,813.4,884.4,902.1,67.6
2017-01-30,870,885,870,875,131800,875,855.4,850.4,850.4,18.3,795.6,813.9,886.9,905.2,66.4
2017-01-31,873,880,856,859,82800,859,858.1,850.8,850.8,17.9,797.2,815.1,886.5,904.4,62.1
2017-02-01,856,872,856,872,40800,872,861.5,851.9,851.9,18.0,797.8,815.9,887.9,906.0,60.5
2017-02-06,916,933,905,910,105300,910,869.6,854.7,854.7,21.7,789.7,811.4,898.0,919.7,60.5
2017-02-07,915,915,895,910,76000,910,876.8,857.2,857.2,24.2,784.6,808.8,905.6,929.8,60.5
2017-02-08,898,918,898,904,59200,904,880.9,859.2,859.2,25.6,782.4,808.0,910.4,936.0,60.2
2017-02-09,899,909,896,896,63600,896,885.2,860.8,860.8,26.1,782.4,808.5,913.1,939.2,59.8
2017-02-10,883,896,880,882,96900,882,888.5,861.6,861.6,25.9,783.8,809.7,913.5,939.4,59.0
2017-02-13,747,777,744,760,940600,760,874.1,857.8,857.7,32.9,759.0,791.9,923.7,956.6,43.7
2017-02-14,760,760,751,754,189300,754,861.0,852.7,853.9,38.6,737.0,775.6,929.8,968.4,35.6
2017-02-15,762,785,762,777,190700,777,849.1,849.2,851.1,41.3,725.3,766.6,931.8,973.1,24.7
2017-02-16,790,816,787,810,249600,810,836.6,846.8,849.7,41.8,721.4,763.2,930.4,972.2,14.7
2017-02-17,800,814,795,800,142500,800,822.9,845.4,848.0,42.8,717.1,759.9,930.9,973.7,-0.2
2017-02-20,800,810,791,797,57300,797,809.5,844.8,846.4,43.4,714.5,758.0,931.6,975.1,-13.8
2017-02-21,797,805,797,798,44400,798,797.2,843.7,844.9,44.3,710.9,755.2,932.2,976.5,-25.8
2017-02-22,800,803,795,795,37700,795,786.4,841.7,843.4,45.3,705.7,751.1,932.3,977.7,-35.8
2017-02-23,795,798,785,787,56100,787,789.8,839.3,841.7,46.6,699.5,746.1,932.5,979.1,-43.8
2017-02-24,783,787,770,773,100900,773,792.1,837.1,839.7,48.4,691.8,740.2,934.0,982.4,-51.8
2017-02-27,779,793,773,777,62400,777,792.1,834.7,838.0,49.9,685.0,734.9,934.5,984.4,-58.3
2017-02-28,778,783,773,773,48300,773,787.5,831.8,836.2,51.3,677.8,729.1,934.5,985.8,-63.6
2017-03-01,780,780,766,773,51300,773,784.1,828.9,834.6,52.6,671.2,723.8,934.0,986.6,-67.8
2017-03-02,774,828,774,788,232700,788,783.0,826.3,833.4,52.9,667.5,720.4,932.2,985.1,-69.0
2017-03-03,797,797,774,776,101000,776,780.2,822.5,832.0,53.0,663.5,716.5,928.5,981.5,-69.8
2017-03-09,748,759,747,749,81300,749,774.5,818.0,829.9,54.3,655.0,709.3,926.7,981.0,-73.0
2017-03-10,753,764,751,763,68400,763,771.5,814.3,828.3,54.8,649.9,704.7,923.9,978.7,-73.3
2017-03-13,753,758,748,754,101300,754,769.1,809.5,826.6,54.6,645.8,700.4,918.6,973.2,-75.1
2017-03-14,751,763,751,751,28900,751,765.9,805.2,824.9,54.8,640.9,695.7,914.7,969.5,-76.5
2017-03-15,750,752,744,744,57500,744,762.2,800.0,823.1,54.2,637.3,691.6,908.4,962.7,-77.6
2017-03-16,744,759,743,753,49100,753,759.8,793.8,821.6,49.9,644.2,694.0,893.6,943.4,-77.0
2017-03-17,750,758,745,745,50800,745,754.4,787.2,819.9,44.5,653.8,698.2,876.2,920.6,-76.8
2017-03-21,732,736,722,722,131300,722,747.6,779.9,817.9,39.1,662.5,701.6,858.2,897.3,-76.8
2017-03-22,716,716,702,702,95200,702,741.8,772.1,815.5,34.0,670.0,704.0,840.2,874.2,-76.8
2017-03-23,701,721,700,713,73600,713,735.5,765.4,813.5,27.5,683.0,710.5,820.3,847.8,-76.8
2017-03-24,710,718,703,706,35100,706,729.5,763.2,811.4,29.9,673.4,703.4,823.0,853.0,-85.8
2017-03-27,705,705,690,691,85700,691,722.0,760.7,809.1,33.2,661.1,694.3,827.1,860.3,-94.0
2017-03-28,690,700,689,697,44600,697,716.1,757.5,806.9,35.3,651.5,686.8,828.2,863.5,-96.4
2017-03-29,689,718,689,713,77200,713,711.1,753.6,805.2,34.7,649.6,684.3,822.9,857.6,-95.5
2017-03-30,718,718,699,708,56200,708,706.5,749.9,803.4,34.4,646.7,681.1,818.7,853.1,-94.4
2017-03-31,708,732,705,732,64800,732,707.8,747.3,802.2,33.1,647.9,681.0,813.6,846.7,-91.7
2017-04-03,722,730,705,720,57200,720,710.0,744.2,800.7,31.8,648.8,680.6,807.8,839.6,-89.0
2017-04-04,709,712,696,697,81300,697,708.0,740.3,798.9,31.3,646.3,677.7,802.9,834.3,-88.5
