date,open,high,low,close,volume,adj.close,avr.5,avr.25,avr.50,stddev,-3s,-2s,-1s,+1s,+2s,+3s
2017/01/04,400,408,399,406,1041400,406,406.0,406.0,406.0,0.0,406.0,406.0,406.0,406.0,406.0,406.0
2017/01/05,408,414,406,410,1009900,410,408.0,408.0,408.0,1.4,403.8,405.2,406.6,409.4,410.8,412.2
2017/01/06,410,432,407,432,1718100,432,416.0,416.0,416.0,5.3,400.1,405.4,410.7,421.3,426.6,431.9
2017/01/10,436,436,420,422,1545300,422,417.5,417.5,417.5,5.7,400.3,406.1,411.8,423.2,428.9,434.7
2017/01/11,429,429,406,407,1477200,407,417.8,415.4,415.4,5.2,399.8,405.0,410.2,420.6,425.8,431.0
2017/01/12,402,430,401,409,1157100,409,417.5,414.3,414.3,4.7,400.2,404.9,409.6,419.0,423.7,428.4
2017/01/13,405,418,405,415,779000,415,413.2,414.4,414.4,4.3,401.4,405.7,410.1,418.7,423.1,427.4
2017/01/16,410,411,396,396,1090800,396,406.8,412.1,412.1,4.0,400.0,404.0,408.1,416.1,420.2,424.2
2017/01/17,395,402,387,389,1060900,389,402.2,409.6,409.6,3.9,397.8,401.7,405.7,413.5,417.5,421.4
2017/01/18,381,386,375,386,1525500,386,396.5,407.2,407.2,4.1,395.0,399.0,403.1,411.3,415.4,419.4
2017/01/19,386,388,378,380,762800,380,387.8,404.7,404.7,4.5,391.3,395.8,400.2,409.2,413.6,418.1
2017/01/20,378,388,378,382,695400,382,384.2,402.8,402.8,4.9,388.0,393.0,397.9,407.7,412.6,417.6
2017/01/23,383,387,379,383,496000,383,382.8,401.3,401.3,5.4,385.2,390.5,395.9,406.7,412.1,417.4
2017/01/24,377,386,377,379,588300,379,381.0,399.7,399.7,5.8,382.2,388.0,393.9,405.5,411.4,417.2
2017/01/25,384,389,381,389,742300,389,383.2,399.0,399.0,6.2,380.3,386.6,392.8,405.2,411.4,417.7
2017/01/26,394,395,375,375,1915900,375,381.5,397.5,397.5,6.6,377.7,384.3,390.9,404.1,410.7,417.3
2017/01/27,375,380,368,375,1379600,375,379.5,396.2,396.2,7.0,375.2,382.2,389.2,403.2,410.2,417.2
2017/01/30,369,381,367,377,1114100,377,379.0,395.1,395.1,7.4,373.0,380.4,387.7,402.5,409.8,417.2
2017/01/31,370,373,365,365,1361300,365,373.0,393.5,393.5,7.7,370.3,378.0,385.8,401.2,409.0,416.7
2017/02/01,365,371,362,370,1104400,370,371.8,392.4,392.4,8.1,368.0,376.2,384.3,400.5,408.6,416.8
2017/02/06,371,384,368,381,1444300,381,373.2,391.8,391.8,8.4,366.5,374.9,383.4,400.2,408.7,417.1
2017/02/07,374,375,362,363,2183600,363,369.8,390.5,390.5,8.8,364.2,373.0,381.7,399.3,408.0,416.8
2017/02/08,317,337,313,314,6858300,314,357.0,387.2,387.2,9.2,359.5,368.7,378.0,396.4,405.7,414.9
2017/02/09,317,324,315,318,2691500,318,344.0,384.3,384.3,9.8,354.9,364.7,374.5,394.1,403.9,413.7
2017/02/10,318,320,313,316,2382200,316,327.8,380.5,381.6,10.6,348.8,359.4,369.9,391.1,401.6,412.2
2017/02/13,322,330,321,326,1799100,326,318.5,377.0,379.4,11.6,342.3,353.8,365.4,388.6,400.2,411.7
2017/02/14,327,332,322,328,1996400,328,322.0,372.7,377.5,12.7,334.6,347.3,360.0,385.4,398.1,410.8
2017/02/15,327,336,326,331,1268500,331,325.2,368.9,375.9,13.5,328.3,341.8,355.4,382.4,396.0,409.5
