date,open,high,low,close,volume,sma 5,sma 12,sma 21,sma 34,sma 55,sma 144,sma 233,momentum,stddev,-3s,-2s,+2s,+3s,RCI
2016-01-04,1135,1162,1103,1107,164900,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,0,0.0,1107.0,1107.0,1107.0,1107.0,100.0
2016-01-05,1081,1088,1032,1061,156800,1084.0,1084.0,1084.0,1084.0,1084.0,1084.0,1084.0,-46,32.5,986.4,1018.9,1149.1,1181.6,99.3
2016-01-06,1041,1100,1040,1091,154900,1086.3,1086.3,1086.3,1086.3,1086.3,1086.3,1086.3,-16,23.4,1016.2,1039.6,1133.0,1156.4,97.9
2016-01-07,1065,1074,1022,1022,128900,1070.2,1070.2,1070.2,1070.2,1070.2,1070.2,1070.2,-85,37.4,958.0,995.4,1145.0,1182.4,93.7
2016-01-08,995,1175,986,1094,338900,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,-13,34.1,972.8,1006.8,1143.2,1177.2,90.9
2016-01-12,1064,1092,991,995,180300,1052.6,1061.7,1061.7,1061.7,1061.7,1061.7,1061.7,-112,44.7,927.7,972.3,1151.1,1195.7,80.4
2016-01-13,1013,1042,994,996,120200,1039.6,1052.3,1052.3,1052.3,1052.3,1052.3,1052.3,-111,47.7,909.1,956.8,1147.8,1195.5,66.4
2016-01-14,957,965,921,932,158400,1007.8,1037.2,1037.2,1037.2,1037.2,1037.2,1037.2,-175,61.3,853.2,914.5,1159.9,1221.2,46.9
2016-01-15,955,1017,903,906,153000,984.6,1022.7,1022.7,1022.7,1022.7,1022.7,1022.7,-201,72.2,806.2,878.4,1167.0,1239.2,21.7
2016-01-18,846,897,840,883,147100,942.4,1008.7,1008.7,1008.7,1008.7,1008.7,1008.7,-224,81.1,765.4,846.5,1170.9,1252.0,-9.8
2016-01-19,886,921,886,920,95700,927.4,1000.6,1000.6,1000.6,1000.6,1000.6,1000.6,-141,81.5,756.2,837.7,1163.5,1245.0,-46.2
2016-01-20,915,921,826,828,121500,893.8,986.2,986.2,986.2,986.2,986.2,986.2,-263,92.3,709.4,801.6,1170.8,1263.0,-92.3
2016-01-21,830,868,790,794,192900,866.2,960.2,971.5,971.5,971.5,971.5,971.5,-228,103.2,661.9,765.1,1177.9,1281.1,-92.3
2016-01-22,825,888,816,871,202400,859.2,944.3,964.3,964.3,964.3,964.3,964.3,-223,102.7,656.1,758.9,1169.7,1272.5,-93.0
2016-01-25,845,910,839,893,126300,861.2,927.8,959.5,959.5,959.5,959.5,959.5,-102,100.7,657.5,758.1,1160.9,1261.5,-86.7
2016-01-26,880,882,841,843,120000,845.8,912.9,952.2,952.2,952.2,952.2,952.2,-153,101.5,647.6,749.1,1155.3,1256.8,-82.5
2016-01-27,866,893,860,864,64000,853.0,893.8,947.1,947.1,947.1,947.1,947.1,-68,100.6,645.3,745.9,1148.3,1248.9,-75.5
2016-01-28,855,891,850,875,55500,869.2,883.8,943.1,943.1,943.1,943.1,943.1,-31,99.1,645.9,744.9,1141.3,1240.3,-63.6
