date,open,high,low,close,volume,sma 5,sma 12,sma 21,sma 34,sma 43,sma 89,sma 144,sma 233,momentum,stddev,-3s,-2s,+2s,+3s,RCI
2016/1/4,3110,3140,3023,3036,6698800,3036,3036,3036,3036,3036,3036,3036,3036,0,0,3036,3036,3036,3036,100
2016/1/5,3042,3128,3028,3087,5635800,3061.5,3061.5,3061.5,3061.5,3061.5,3061.5,3061.5,3061.5,51,36.1,2953.3,2989.4,3133.6,3169.7,100
2016/1/6,3087,3126,3026,3050,6799100,3057.7,3057.7,3057.7,3057.7,3057.7,3057.7,3057.7,3057.7,14,26.4,2978.6,3005,3110.4,3136.8,99.3
2016/1/7,3050,3055,2973.5,3009,6786100,3045.5,3045.5,3045.5,3045.5,3045.5,3045.5,3045.5,3045.5,-27,32.5,2948.1,2980.5,3110.5,3142.9,95.1
2016/1/8,2954.5,3073,2954.5,3005,12619000,3037.4,3037.4,3037.4,3037.4,3037.4,3037.4,3037.4,3037.4,-31,33.5,2937,2970.5,3104.3,3137.8,88.1
2016/1/12,2953.5,3008,2942,2948.5,8228000,3019.9,3022.6,3022.6,3022.6,3022.6,3022.6,3022.6,3022.6,-87.5,47,2881.5,2928.5,3116.7,3163.7,77.6
2016/1/13,2960,2989,2891,2956,9616300,2993.7,3013.1,3013.1,3013.1,3013.1,3013.1,3013.1,3013.1,-80,49.8,2863.8,2913.6,3112.6,3162.4,63.6
2016/1/14,2856,2888,2799,2871,9795300,2957.9,2995.3,2995.3,2995.3,2995.3,2995.3,2995.3,2995.3,-165,68.2,2790.8,2859,3131.6,3199.8,44.1
2016/1/15,2909.5,2943.5,2802.5,2836,8519800,2923.3,2977.6,2977.6,2977.6,2977.6,2977.6,2977.6,2977.6,-200,83,2728.7,2811.6,3143.6,3226.5,18.9
2016/1/18,2789.5,2843,2767,2822.5,5685400,2886.8,2962.1,2962.1,2962.1,2962.1,2962.1,2962.1,2962.1,-213.5,92.3,2685.1,2777.4,3146.8,3239.1,-12.6
2016/1/19,2799,2856.5,2782.5,2831,5206800,2863.3,2950.2,2950.2,2950.2,2950.2,2950.2,2950.2,2950.2,-205,96.1,2661.9,2758,3142.4,3238.5,-50.3
2016/1/20,2833.5,2837.5,2747.5,2765,6881000,2825.1,2934.8,2934.8,2934.8,2934.8,2934.8,2934.8,2934.8,-322,106.1,2616.5,2722.6,3147,3253.1,-96.5
2016/1/21,2765,2822.5,2694.5,2700,7615700,2790.9,2906.8,2916.7,2916.7,2916.7,2916.7,2916.7,2916.7,-350,120.6,2554.8,2675.4,3158,3278.6,-98.6
2016/1/22,2750,2784.5,2698,2769,9606500,2777.5,2880.2,2906.1,2906.1,2906.1,2906.1,2906.1,2906.1,-240,122.4,2538.8,2661.2,3151,3273.4,-96.5
2016/1/25,2824,2844.5,2796,2829.5,5269400,2778.9,2861.9,2901,2901,2901,2901,2901,2901,-175.5,119.6,2542.1,2661.7,3140.3,3259.9,-88.8
2016/1/26,2801.5,2813.5,2747.5,2766,6263400,2765.9,2841.6,2892.6,2892.6,2892.6,2892.6,2892.6,2892.6,-182.5,120.4,2531.4,2651.8,3133.4,3253.8,-83.9
2016/1/27,2834.5,2908,2834,2896.5,6303700,2792.2,2832.6,2892.8,2892.8,2892.8,2892.8,2892.8,2892.8,-59.5,116.6,2543,2659.6,3126,3242.6,-52.4
2016/1/28,2887,2954,2858,2922.5,4962100,2836.7,2830.4,2894.5,2894.5,2894.5,2894.5,2894.5,2894.5,51.5,113.3,2554.5,2667.8,3121.2,3234.5,-14.7
2016/1/29,2963.5,3082,2893.5,3008,10752900,2884.5,2834.8,2900.4,2900.4,2900.4,2900.4,2900.4,2900.4,172,113.2,2560.9,2674.1,3126.7,3239.9,31.5
2016/2/1,3148,3233,3099,3214,8304400,2961.4,2863.3,2916.1,2916.1,2916.1,2916.1,2916.1,2916.1,391.5,130.6,2524.4,2654.9,3177.3,3307.8,56.6
2016/2/3,3156,3167,3097,3104,8882500,3029,2885.7,2925.1,2925.1,2925.1,2925.1,2925.1,2925.1,273,133.7,2524,2657.7,3192.5,3326.2,75.5
2016/2/4,3086,3167,3054,3115,5426800,3072.7,2910,2928.8,2933.7,2933.7,2933.7,2933.7,2933.7,350,138,2514.7,2652.7,3204.9,3342.9,84.6
2016/2/5,3091,3147,3051,3104,5031200,3109,2932.8,2929.6,2941.1,2941.1,2941.1,2941.1,2941.1,404,139,2512.5,2651.5,3207.7,3346.7,90.9
2016/2/8,3104,3207,3081,3200,8355700,3147.4,2969,2936.8,2951.9,2951.9,2951.9,2951.9,2951.9,431,149,2489.7,2638.7,3234.9,3383.9,88.8
2016/2/9,3074,3117,3023,3075,7603900,3119.6,3000.3,2939.9,2956.8,2956.8,2956.8,2956.8,2956.8,245.5,151.3,2486,2637.3,3242.5,3393.8,78.3
2016/2/10,3005,3019,2769,2921.5,17371800,3083.1,3013,2936,2955.5,2955.5,2955.5,2955.5,2955.5,155.5,150.6,2484.2,2634.8,3237.2,3387.8,54.5
2016/2/12,2770,2817,2696,2718.5,14429100,3003.8,3003.8,2925,2946.7,2946.7,2946.7,2946.7,2946.7,-178,157.8,2451.5,2609.3,3240.7,3398.5,9.1
2016/2/15,2799,2994.5,2790,2956.5,9508200,2974.3,3019.6,2925,2947,2947,2947,2947,2947,34,157.8,2451.5,2609.3,3240.7,3398.5,-12.6
2016/2/16,2906.5,2975,2906.5,2928,12331700,2919.9,3022.2,2927.7,2946.4,2946.4,2946.4,2946.4,2946.4,-80,157.4,2455.6,2613,3242.4,3399.8,-40.6
2016/2/17,2942.5,3035,2922.5,3001,10667300,2905.1,3028.8,2935.6,2948.2,2948.2,2948.2,2948.2,2948.2,-213,156.7,2465.6,2622.3,3248.9,3405.6,-67.8
2016/2/18,3041,3043,2944.5,2974.5,9464900,2915.7,3026,2942.8,2949,2949,2949,2949,2949,-129.5,154.7,2478.8,2633.4,3252.2,3406.8,-72.7
2016/2/19,2954.5,2989.5,2929.5,2976,5726200,2967.2,3006.2,2949.7,2949.9,2949.9,2949.9,2949.9,2949.9,-139,152.7,2491.7,2644.4,3255,3407.7,-59.4
2016/2/22,3012,3021,2968.5,3013,5641700,2978.5,2998.6,2961.5,2951.8,2951.8,2951.8,2951.8,2951.8,-91,147.2,2520,2667.2,3255.8,3403,-42.7
2016/2/23,3013,3019,2890.5,2896,9696700,2972.1,2980.3,2970.9,2950.2,2950.2,2950.2,2950.2,2950.2,-304,135.5,2564.4,2699.9,3241.9,3377.4,-39.2
2016/2/24,2838,2849,2796,2824.5,8169600,2936.8,2957,2973.5,2943.9,2946.6,2946.6,2946.6,2946.6,-250.5,131.8,2578,2709.8,3237.2,3369,-34.3
2016/2/25,2790.5,2834.5,2780,2808.5,10663400,2903.6,2924.4,2972.5,2935.8,2942.7,2942.7,2942.7,2942.7,-113,133.1,2573.3,2706.4,3238.6,3371.7,-28
2016/2/26,2892,2897.5,2804,2805.5,7082500,2869.5,2902,2974.4,2928.6,2939,2939,2939,2939,87,130.2,2583.7,2713.9,3234.9,3365.1,-21
2016/2/29,2955.5,2955.5,2877,2878,7988200,2842.5,2898.3,2973.5,2924.7,2937.4,2937.4,2937.4,2937.4,-78.5,130.9,2580.9,2711.8,3235.2,3366.1,-28
2016/3/1,2878,2904,2860.5,2890.5,6115100,2841.4,2912.7,2972,2921.3,2936.2,2936.2,2936.2,2936.2,-37.5,131.7,2577,2708.7,3235.3,3367,-67.1
2016/3/2,2975,3008,2938,2993.5,6034800,2875.2,2915.8,2971.3,2922.7,2937.6,2937.6,2937.6,2937.6,-7.5,131.5,2576.8,2708.3,3234.3,3365.8,-42.7
2016/3/4,2977.5,2981.5,2865.5,2896,9165500,2892.7,2913.1,2956.2,2920.9,2936.6,2936.6,2936.6,2936.6,-78.5,120,2596.3,2716.3,3196.1,3316.1,-43.4
2016/3/7,2865,2876,2826.5,2861,6675400,2903.8,2901.4,2944.6,2920.6,2934.8,2934.8,2934.8,2934.8,-115,116.7,2594.6,2711.3,3177.9,3294.6,-32.9
2016/3/8,2817,2895,2817,2871.5,6389700,2902.5,2892.8,2933,2921.6,2933.4,2933.4,2933.4,2933.4,-141.5,110.8,2600.5,2711.3,3154.7,3265.5,-25.9
