date,open,high,low,close,sma 5,sma 21,sma 43,sma 55,sma 144,stddev,-3s,-2s,+2s,+3s,RCI
2015-01-05,17325.68,17540.92,17219.22,17408.71,17408.7,17408.7,17408.7,17408.7,17408.7,0.0,17408.7,17408.7,17408.7,17408.7,17000.0
2015-01-06,17101.58,17111.36,16881.73,16883.19,17145.9,17145.9,17145.9,17145.9,17145.9,371.6,16031.1,16402.7,17889.1,18260.7,16999.0
2015-01-07,16808.26,16974.61,16808.26,16885.33,17059.1,17059.1,17059.1,17059.1,17059.1,302.8,16150.7,16453.5,17664.7,17967.5,16996.0
2015-01-08,17067.4,17243.71,17016.09,17167.1,17086.1,17086.1,17086.1,17086.1,17086.1,253.1,16326.9,16580.0,17592.2,17845.3,16992.0
2015-01-09,17318.74,17342.65,17129.53,17197.73,17108.4,17108.4,17108.4,17108.4,17108.4,224.8,16434.1,16658.9,17557.9,17782.7,16987.0
2015-01-13,16970.88,17087.71,16828.27,17087.71,17044.2,17105.0,17105.0,17105.0,17105.0,201.2,16501.3,16702.6,17507.4,17708.7,16977.0
2015-01-14,16961.82,17036.72,16770.56,16795.96,17026.8,17060.8,17060.8,17060.8,17060.8,217.7,16407.8,16625.5,17496.1,17713.8,16949.0
2015-01-15,16872.95,17141.98,16856.22,17108.7,17071.4,17066.8,17066.8,17066.8,17066.8,202.2,16460.1,16662.3,17471.3,17673.5,16931.0
2015-01-16,16812.96,16864.34,16592.57,16864.16,17010.9,17044.3,17044.3,17044.3,17044.3,200.9,16441.7,16642.6,17446.0,17646.9,16887.0
2015-01-19,17000.78,17039.8,16911.58,17014.29,16974.2,17041.3,17041.3,17041.3,17041.3,189.6,16472.4,16662.1,17420.5,17610.2,16853.0
2015-01-20,17071.65,17366.3,17066.77,17366.3,17029.9,17070.8,17070.8,17070.8,17070.8,204.9,16456.2,16661.1,17480.5,17685.4,16840.0
2015-01-21,17308.72,17329.03,17181.55,17280.48,17126.8,17088.3,17088.3,17088.3,17088.3,204.5,16474.9,16679.3,17497.3,17701.7,16825.0
2015-01-22,17306.64,17355.74,17229.21,17329.02,17170.8,17106.8,17106.8,17106.8,17106.8,206.8,16486.3,16693.1,17520.5,17727.3,16806.0
2015-01-23,17520.63,17532.06,17460.76,17511.75,17300.4,17135.7,17135.7,17135.7,17135.7,226.3,16456.8,16683.1,17588.3,17814.6,16806.0
2015-01-26,17285.71,17471.94,17285.71,17468.52,17391.2,17157.9,17157.9,17157.9,17157.9,234.4,16454.8,16689.2,17626.6,17861.0,16805.0
2015-01-27,17649.4,17768.41,17633.47,17768.3,17471.6,17196.1,17196.1,17196.1,17196.1,273.0,16377.0,16650.0,17742.2,18015.2,16805.0
2015-01-28,17615.93,17850.59,17615.93,17795.73,17574.7,17231.4,17231.4,17231.4,17231.4,301.7,16326.2,16627.9,17834.9,18136.6,16805.0
2015-01-29,17666.91,17778.83,17575.1,17606.22,17630.1,17252.2,17252.2,17252.2,17252.2,305.8,16334.9,16640.7,17863.7,18169.5,16801.0
2015-01-30,17788.74,17808.47,17661.1,17674.39,17662.6,17274.4,17274.4,17274.4,17274.4,312.5,16336.8,16649.3,17899.5,18212.0,16795.0
2015-02-05,17589.21,17619.34,17484.67,17504.62,17669.9,17285.9,17285.9,17285.9,17285.9,308.5,16360.3,16668.8,17903.0,18211.5,16774.0
2015-02-06,17696.18,17700.67,17603.07,17648.5,17645.9,17303.2,17303.2,17303.2,17303.2,311.0,16370.3,16681.3,17925.1,18236.1,16760.0
2015-02-09,17790.31,17799.49,17653.61,17711.93,17629.1,17317.6,17321.8,17321.8,17321.8,322.9,16348.9,16671.8,17963.4,18286.3,16847.0
2015-02-10,17662.67,17673.27,17550.03,17652.68,17638.4,17354.3,17336.1,17336.1,17336.1,314.7,16410.2,16724.9,17983.7,18298.4,16839.0
2015-02-12,17899.4,18005.45,17884.34,17979.72,17699.5,17406.4,17363.0,17363.0,17363.0,323.7,16435.4,16759.1,18053.7,18377.4,16852.0
2015-02-13,17892.1,17962.11,17864.55,17913.36,17781.2,17441.9,17385.0,17385.0,17385.0,336.8,16431.6,16768.4,18115.4,18452.2,16877.0
2015-02-16,18024.01,18074.26,17978.9,18004.77,17852.5,17480.3,17408.8,17408.8,17408.8,353.2,16420.8,16774.0,18186.6,18539.8,16896.0
2015-02-17,17949.7,18009.45,17901.26,17987.09,17907.5,17523.2,17430.2,17430.2,17430.2,357.7,16450.2,16807.8,18238.6,18596.2,16905.0
2015-02-18,18103.98,18202.61,18092.32,18199.17,18016.8,17590.0,17457.7,17457.7,17457.7,345.9,16552.3,16898.2,18281.8,18627.7,16905.0
2015-02-19,18237.35,18322.5,18237.35,18264.79,18073.8,17645.0,17485.5,17485.5,17485.5,357.3,16573.1,16930.4,18359.6,18716.9,16909.0
2015-02-20,18336.5,18360.92,18297.67,18332.3,18157.6,17714.9,17513.8,17513.8,17513.8,340.1,16694.7,17034.7,18395.1,18735.1,16909.0
2015-02-23,18499.58,18509.08,18402.02,18466.92,18250.1,17784.1,17544.5,17544.5,17544.5,338.2,16769.6,17107.8,18460.4,18798.6,16909.0
2015-02-24,18468.39,18603.48,18427.98,18603.48,18373.3,17843.0,17577.6,17577.6,17577.6,368.2,16738.5,17106.7,18579.3,18947.5,16913.0
2015-02-25,18636.34,18648.77,18552.81,18585.2,18450.5,17905.2,17608.1,17608.1,17608.1,378.4,16769.9,17148.3,18662.1,19040.5,16912.0
2015-02-26,18587.87,18790.83,18587.13,18785.79,18554.7,17974.5,17642.8,17642.8,17642.8,400.4,16773.2,17173.7,18775.3,19175.8,16912.0
2015-02-27,18844.28,18865.39,18714.64,18797.94,18647.9,18035.8,17675.8,17675.8,17675.8,423.8,16764.5,17188.2,18883.4,19307.1,16921.0
2015-03-02,18869.4,18939.17,18775.23,18826.88,18719.9,18100.5,17707.7,17707.7,17707.7,436.3,16791.5,17227.8,18973.2,19409.5,16921.0
2015-03-03,18910.52,18910.52,18730.57,18815.16,18762.2,18150.3,17737.7,17737.7,17737.7,455.9,16782.7,17238.6,19062.0,19517.9,16955.0
2015-03-04,18716.78,18732.66,18586.84,18703.6,18785.9,18193.5,17763.1,17763.1,17763.1,463.5,16802.9,17266.4,19120.6,19584.1,16969.0
2015-03-05,18658.16,18767.5,18655.36,18751.84,18779.1,18248.1,17788.4,17788.4,17788.4,458.3,16873.1,17331.4,19164.8,19623.1,16953.0
2015-03-10,18891.01,18924.38,18577.06,18665.11,18752.5,18295.3,17810.4,17810.4,17810.4,447.2,16953.7,17400.9,19189.7,19636.9,16935.0
2015-03-11,18604.87,18836.93,18583.52,18723.52,18731.8,18353.3,17832.6,17832.6,17832.6,417.6,17100.6,17518.2,19188.4,19606.0,16904.0
2015-03-12,18787.1,19008.13,18774.42,18991.11,18767.0,18417.3,17860.2,17860.2,17860.2,406.9,17196.6,17603.5,19231.1,19638.0,16904.0
2015-03-13,19119.58,19335.8,19042.25,19254.25,18877.2,18490.7,17892.6,17892.6,17892.6,412.4,17253.6,17665.9,19315.5,19727.8,16905.0
2015-03-16,19245.38,19349.2,19226.71,19246.06,18976.0,18566.6,17935.4,17923.4,17923.4,396.8,17376.3,17773.1,19360.1,19756.9,16904.0
2015-03-17,19425.89,19479.89,19373.39,19437.0,19130.4,18636.0,17994.8,17957.0,17957.0,416.0,17388.1,17804.1,19467.9,19883.9,16905.0
2015-03-18,19407.76,19555.72,19389.24,19544.48,19294.6,18713.6,18056.6,17991.5,17991.5,426.4,17434.3,17860.7,19566.5,19992.9,16905.0
2015-03-19,19514.64,19557.17,19312.7,19476.56,19391.7,18783.7,18110.3,18023.1,18023.1,425.1,17508.5,17933.6,19633.8,20058.9,16905.0
2015-03-20,19479.71,19565.44,19416.63,19560.22,19452.9,18858.6,18165.2,18055.2,18055.2,416.2,17610.1,18026.3,19690.9,20107.1,16905.0
2015-03-23,19607.98,19778.6,19584.73,19754.36,19554.5,18932.7,18227.3,18089.8,18089.8,431.1,17639.5,18070.6,19794.8,20225.9,16905.0
2015-03-24,19718.99,19770.64,19646.35,19713.45,19609.8,19001.7,18295.1,18122.3,18122.3,434.7,17697.5,18132.2,19871.2,20305.9,16904.0
2015-03-25,19745.75,19775.45,19542.22,19746.2,19650.2,19069.0,18356.4,18154.1,18154.1,435.4,17762.9,18198.3,19939.7,20375.1,16901.0
2015-03-26,19605.6,19623.11,19397.01,19471.12,19649.1,19116.8,18417.1,18179.5,18179.5,420.8,17854.3,18275.1,19958.5,20379.3,16874.0
2015-03-27,19374.72,19590.03,19099.87,19285.63,19594.2,19149.3,18469.9,18200.3,18200.3,405.3,17933.5,18338.8,19959.8,20365.1,16829.0
2015-03-30,19295.21,19474.07,19227.29,19411.4,19525.6,19188.7,18517.5,18222.8,18222.8,387.5,18026.3,18413.7,19963.7,20351.1,16771.0
2015-03-31,19592.43,19607.25,19206.99,19206.99,19424.3,19208.7,18562.3,18240.7,18240.7,376.3,18079.7,18456.0,19961.4,20337.7,16699.0
2015-04-01,19129.75,19195.23,18927.95,19034.84,19282.0,19220.0,18601.9,18270.2,18254.9,366.8,18119.5,18486.3,19953.7,20320.5,16604.0
2015-04-02,19141.93,19433.89,19115.14,19312.79,19250.3,19243.1,18643.8,18314.4,18273.4,356.0,18175.2,18531.2,19955.0,20311.0,16531.0
2015-04-03,19289.04,19435.08,19289.04,19435.08,19280.2,19272.6,18689.5,18360.8,18293.4,344.2,18240.0,18584.2,19961.0,20305.2,16445.0
2015-04-06,19295.03,19424.09,19241.29,19397.98,19277.5,19305.7,18727.4,18401.3,18312.2,319.2,18348.0,18667.2,19944.2,20263.4,16331.0
2015-04-07,19539.03,19667.48,19501.31,19640.54,19364.2,19348.0,18770.3,18445.7,18334.3,300.5,18446.5,18747.0,19949.0,20249.5,16296.0
2015-04-08,19729.7,19845.53,19693.63,19789.81,19515.2,19401.6,18821.1,18494.9,18358.2,271.5,18587.0,18858.5,19944.7,20216.2,16296.0
2015-04-09,19851.12,19957.32,19822.49,19937.72,19640.2,19459.4,18873.8,18552.0,18383.6,248.2,18714.8,18963.0,19955.8,20204.0,16296.0
2015-04-10,19989.55,20006.0,19845.31,19907.63,19734.7,19503.1,18929.7,18602.9,18407.8,242.3,18776.3,19018.6,19987.6,20229.9,16295.0
2015-04-13,19967.38,19975.66,19825.69,19905.46,19836.2,19534.1,18982.1,18658.2,18431.2,250.4,18783.0,19033.4,20034.8,20285.2,16325.0
2015-04-14,19828.65,19922.5,19828.65,19908.68,19889.9,19565.6,19033.2,18710.8,18454.0,254.0,18803.7,19057.7,20073.5,20327.5,16351.0
2015-04-15,19838.53,19913.42,19823.86,19869.76,19905.9,19586.2,19084.8,18756.3,18475.4,260.5,18804.7,19065.2,20107.2,20367.7,16438.0
2015-04-16,19862.48,19894.35,19742.12,19885.77,19895.5,19602.5,19129.1,18803.7,18496.5,268.3,18797.6,19065.9,20139.1,20407.4,16519.0
2015-04-17,19810.4,19815.25,19638.37,19652.88,19844.5,19610.9,19169.6,18845.9,18513.5,266.9,18810.2,19077.1,20144.7,20411.6,16501.0
2015-04-20,19501.0,19725.86,19474.23,19634.49,19790.3,19614.4,19207.5,18884.5,18529.7,266.7,18814.3,19081.0,20147.8,20414.5,16447.0
2015-04-21,19731.57,19909.09,19678.22,19909.09,19790.4,19621.8,19252.2,18928.9,18549.4,272.8,18803.4,19076.2,20167.4,20440.2,16573.0
2015-04-22,19999.84,20144.66,19983.0,20133.9,19843.2,19641.8,19297.2,18971.9,18571.7,294.4,18758.5,19052.9,20230.7,20525.1,16691.0
2015-04-23,20227.28,20252.12,20116.19,20187.65,19903.6,19662.8,19341.9,19015.4,18594.2,317.2,18711.3,19028.5,20297.1,20614.3,16795.0
2015-04-24,20142.47,20142.47,20013.74,20020.04,19977.0,19689.0,19381.1,19059.3,18613.7,323.1,18719.6,19042.7,20335.3,20658.4,16827.0
2015-04-27,20063.8,20069.24,19909.86,19983.32,20046.8,19722.2,19416.4,19101.3,18632.2,315.4,18776.1,19091.5,20352.9,20668.3,16826.0
2015-04-28,20068.65,20133.78,20031.71,20058.95,20076.8,19753.0,19450.2,19147.7,18651.2,315.1,18807.7,19122.8,20383.2,20698.3,16831.0
2015-04-30,19847.5,19852.66,19502.61,19520.01,19954.0,19767.9,19472.0,19181.8,18662.7,294.7,18883.7,19178.4,20357.4,20652.1,16656.0
2015-05-01,19510.85,19549.39,19399.16,19531.63,19822.8,19791.6,19489.3,19214.8,18674.0,249.4,19043.4,19292.8,20290.4,20539.8,16458.0
