6166.T,,,,,,,,,,,,,,,,,
['../yfseries/6166.T-20170101-20171229.csv', '../yfseries/6166.T-20180101-20181229.csv'],,,,,,,,,,,,,-2,-1,1,2
日付,始値,高値,安値,終値,出来高,修正後終値,m.avr.5,m.avr.21,m.avr.55,m.vwavr.5,m.vwavr.21,m.vwavr.55,vw.stddev. 21,-2σ,-1σ,+1σ,+2σ
2017/1/4,1251,1263,1221,1241,109300,1241,,,,,,,,,,,
2017/1/5,1245,1299,1241,1295,155500,1295,,,,,,,,,,,
2017/1/6,1300,1380,1300,1326,308200,1326,,,,,,,,,,,
2017/1/10,1336,1365,1285,1288,137100,1288,,,,,,,,,,,
2017/1/11,1293,1294,1252,1252,71300,1252,1280.4,,,1294.5,,,,,,,
2017/1/12,1257,1287,1234,1243,60800,1243,1280.8,,,1298.2,,,,,,,
2017/1/13,1277,1277,1234,1256,50700,1256,1273,,,1295.6,,,,,,,
2017/1/16,1277,1277,1210,1230,86300,1230,1253.8,,,1258.6,,,,,,,
2017/1/17,1231,1247,1211,1245,38400,1245,1245.2,,,1243.8,,,,,,,
2017/1/18,1224,1257,1205,1242,51300,1242,1243.2,,,1241.5,,,,,,,
2017/1/19,1234,1265,1231,1233,39900,1233,1241.2,,,1239.9,,,,,,,
2017/1/20,1233,1245,1216,1221,38000,1221,1234.2,,,1233.8,,,,,,,
2017/1/23,1223,1223,1200,1211,46100,1211,1230.4,,,1230.4,,,,,,,
2017/1/24,1210,1210,1171,1197,57900,1197,1220.8,,,1219.7,,,,,,,
2017/1/25,1207,1229,1207,1228,40800,1228,1218,,,1216.1,,,,,,,
2017/1/26,1240,1240,1216,1224,34300,1224,1216.2,,,1214.3,,,,,,,
2017/1/27,1227,1235,1220,1220,23700,1220,1216,,,1213.7,,,,,,,
2017/1/30,1243,1243,1226,1230,34100,1230,1219.8,,,1217.2,,,,,,,
2017/1/31,1225,1233,1200,1205,47800,1205,1221.4,,,1220.5,,,,,,,
2017/2/1,1194,1207,1191,1204,40000,1204,1216.6,,,1215.1,,,,,,,
2017/2/6,1202,1213,1200,1207,16000,1207,1213.2,1238,,1212.4,1262,,,,,,
2017/2/7,1207,1228,1203,1214,29300,1214,1212,1236.7,,1211.6,1262.6,,43.9,1174.8,1218.7,1306.5,1350.4
2017/2/8,1208,1223,1191,1193,54500,1193,1204.6,1231.9,,1202.9,1255.9,,45.9,1164.1,1210,1301.8,1347.7
2017/2/9,1189,1191,1171,1180,43000,1180,1199.6,1224.9,,1196.9,1232,,29.3,1173.4,1202.7,1261.3,1290.6
2017/2/10,1180,1205,1177,1192,35200,1192,1197.2,1220.3,,1194.4,1222.3,,21.4,1179.5,1200.9,1243.7,1265.1
2017/2/13,1180,1228,1180,1222,58400,1222,1200.2,1218.9,,1200.8,1220,,19.8,1180.4,1200.2,1239.8,1259.6
2017/2/14,1042,1100,1030,1070,403100,1070,1171.4,1210.7,,1111.4,1171.2,,70.9,1029.4,1100.3,1242.1,1313
2017/2/15,1076,1106,1076,1080,73500,1080,1148.8,1202.3,,1100.4,1162.7,,71.2,1020.3,1091.5,1233.9,1305.1
2017/2/16,1090,1090,1072,1082,38600,1082,1129.2,1195.2,,1093.6,1155.5,,71.4,1012.7,1084.1,1226.9,1298.3
2017/2/17,1098,1193,1094,1160,160400,1160,1122.8,1191.2,,1103.4,1153.6,,66.4,1020.8,1087.2,1220,1286.4
