研究室番号, 研究室名, 定員, 残りの配属可能人数, 第1希望配属者数（成績）, 第1希望配属者数（配属希望理由書）, 第2希望配属者数, 第3希望配属者数, 第4希望配属者数, 第5希望配属者数, 第6希望配属者数, 追加希望配属者数, 第1希望者数, 第2希望者数, 第3希望者数, 第4希望者数, 第5希望者数, 第6希望者数, 追加希望者数
01,坂本 比呂志,5,1,4.0,0,0,0,0,0,0,0,4,6,3,6,10,7,0
02,佐藤 好久,5,5,0.0,0,0,0,0,0,0,0,0,0,2,2,2,5,0
03,宮野 英次,5,1,4.0,0,0,0,0,0,0,0,4,11,6,4,6,7,0
04,井 智弘,5,4,1.0,0,0,0,0,0,0,0,1,4,8,11,6,7,0
05,大北 剛,5,2,3.0,0,0,0,0,0,0,0,3,4,3,2,2,2,0
06,斎藤 寿樹,5,3,2.0,0,0,0,0,0,0,0,8,4,5,9,7,6,0
07,下薗 真一,5,3,2.0,0,0,0,0,0,0,0,2,0,2,3,1,7,0
08,徳永 旭将,5,1,4.0,0,0,0,0,0,0,0,4,6,8,9,7,5,0
09,藤本 晶子,5,2,3.0,0,0,0,0,0,0,0,3,10,7,4,9,7,0
10,本田 あおい,5,5,0.0,0,0,0,0,0,0,0,0,0,7,6,5,10,0
11,乃美 正哉,3,2,1.0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
12,嶋田 和孝,5,3,2.0,0,0,0,0,0,0,0,6,4,10,7,6,5,0
13,平田 耕一,5,2,3.0,0,0,0,0,0,0,0,3,8,3,5,5,4,0
14,國近 秀信,5,0,5.0,0,0,0,0,0,0,0,5,2,8,7,4,3,0
15,中村 貞吾,5,3,2.0,0,0,0,0,0,0,0,2,1,0,5,7,6,0
16,尾下 真樹,6,3,3.0,0,0,0,0,0,0,0,14,9,5,6,4,6,0
17,齊藤 剛史,5,3,2.0,0,0,0,0,0,0,0,6,16,7,5,8,4,0
18,武村 紀子,6,3,3.0,0,0,0,0,0,0,0,29,11,9,6,5,2,0
19,新見 道治,5,5,0.0,0,0,0,0,0,0,0,0,0,3,0,2,3,0
31,馬場 昭好（マイクロ化総合技術センター）,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,中村 和之（マイクロ化総合技術センター）,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
