研究室ラベル,第1希望,第2希望,第3希望,第4希望,第5希望,第6希望,全希望者数
01：坂本 比呂志,4,8,5,4,2,13,55
02：佐藤 好久,1,4,1,1,2,3,32
03：宮野 英次,5,3,6,3,5,8,45
04：井 智弘,0,1,6,6,7,2,41
05：大北 剛,4,3,2,3,6,4,33
06：斎藤 寿樹,0,10,6,8,5,11,52
07：下薗 真一,0,2,1,3,0,2,24
08：徳永 旭将,15,17,9,13,9,1,71
09：藤本 晶子,7,9,8,9,11,2,59
10：本田 あおい,5,7,9,12,15,6,64
11：乃美 正哉,1,0,2,0,0,4,20
12：嶋田 和孝,5,2,7,6,8,4,50
13：平田 耕一,3,3,0,2,7,5,32
14：國近 秀信,4,3,4,3,4,1,36
16：尾下 真樹,2,4,5,7,4,5,43
17：齊藤 剛史,10,9,13,7,4,3,56
18：武村 紀子,27,9,5,6,4,11,70
19：新見 道治,0,1,6,2,2,10,40
20：新任A,0,0,0,0,0,0,0
21：新任B,0,0,0,0,0,0,0
31：馬場 昭好（マイクロ化総合技術センター）,0,0,0,0,0,0,0
32：中村 和之（マイクロ化総合技術センター）,0,0,0,0,0,0,0
33：山田 雅之（教養教育院）,0,0,0,0,0,0,0
35：玉川 雅章（生命体工学研究科）,0,0,0,0,0,0,0
36：安田 隆（生命体工学研究科）,0,0,0,0,0,0,0
37：山田 宏（生命体工学研究科）,0,0,0,0,0,0,0
38：高嶋 一登（生命体工学研究科）,0,0,0,0,0,0,0
39：春山 哲也（生命体工学研究科）,0,0,0,0,0,0,0
40：池野 慎也（生命体工学研究科）,0,0,0,0,0,0,0
41：加藤 珠樹（生命体工学研究科）,0,0,0,0,0,0,0
42：前田 憲成（生命体工学研究科）,0,0,0,0,0,0,0
43：安藤 義人（生命体工学研究科）,0,0,0,0,0,0,0
44：久米村 百子（生命体工学研究科）,0,0,0,0,0,0,0
46：渡邊 晃彦（生命体工学研究科）,0,0,0,0,0,0,0
47：宮崎 敏樹（生命体工学研究科）,0,0,0,0,0,0,0
48：中村 仁（生命体工学研究科）,0,0,0,0,0,0,0
49：高辻 義行（生命体工学研究科）,0,0,0,0,0,0,0
50：本田 英己（生命体工学研究科）,0,0,0,0,0,0,0
51：石井 和男（生命体工学研究科）,0,0,0,0,0,0,0
52：田中 啓文（生命体工学研究科）,0,0,0,0,0,0,0
53：和田 親宗（生命体工学研究科）,1,0,0,0,0,0,1
55：田向 権（生命体工学研究科）,0,0,0,0,0,0,0
56：古川 徹生（生命体工学研究科）,0,0,0,0,0,0,0
57：柴田 智広（生命体工学研究科）,0,0,0,0,0,0,0
58：堀尾 恵ー（生命体工学研究科）,1,0,0,0,0,0,1
59：我妻 広明（生命体工学研究科）,0,0,0,0,0,0,0
60：吉田 香（生命体工学研究科）,0,0,0,0,0,0,0
61：夏目 季代久（生命体工学研究科）,0,0,0,0,0,0,0
62：立野 勝巳（生命体工学研究科）,0,0,0,0,0,0,0
63：大坪 義孝（生命体工学研究科）,0,0,0,0,0,0,0
64：井上 創造（生命体工学研究科）,0,0,0,0,0,0,0
65：安川 真輔（生命体工学研究科）,0,0,0,0,0,0,0
66：池本 周平（生命体工学研究科）,0,0,0,0,0,0,0
67：西田 祐也（生命体工学研究科）,0,0,0,0,0,0,0
68：田中 悠一朗（生命体工学研究科）,1,0,0,0,0,0,1
69：常木 澄人（生命体工学研究科）,0,0,0,0,0,0,0
