AllowanceForDoubtfulAccountsCA,貸倒引当金
AllowanceForDoubtfulAccountsIOAByGroup,貸倒引当金
Assets,資産合計
BuildingsAndStructuresNet,建物及び構築物（純額）
CapitalStock,株主資本合計
CapitalSurplus,資本剰余金
CashAndDeposits,現金および預金
CurrentAssets,流動資産合計
CurrentLiabilities,流動負債合計
ElectronicallyRecordedMonetaryClaimsOperatingCA,電子記録債権
ElectronicallyRecordedObligationsOperatingCL,電子記録債務
IntangibleAssets,無形固定資産
InvestmentsAndOtherAssets,投資その他の資産合計
Land,土地
LiabilitiesAndNetAssets,負債純資産合計
LongTermLoansPayable,長期借入金
MachineryEquipmentAndVehiclesNet,機械装置及び運搬具（純額）
MerchandiseAndFinishedGoods,商品及び製品
NetAssets,純資産合計
NoncurrentAssets,固定資産合計
NoncurrentLiabilities,固定負債合計
NotesAndAccountsPayableTrade,支払手形及び買掛金
NotesAndAccountsReceivableTrade,受取手形及び売掛金
OtherCA,その他流動資産
OtherIA,その他無形固定資産
OtherIOA,その他投資その他の資産
OtherNetPPE,その他（純額）
PropertyPlantAndEquipment,有形固定資産合計
RawMaterialsAndSupplies,原材料及び貯蔵品
RetainedEarnings,利益剰余金
ShareholdersEquity,株主資本合計
ShortTermLoansPayable,短期借入金
ValuationAndTranslationAdjustments,その他の包括利益累計額合計
WorkInProcess,仕掛品
