date,open,high,low,close,volume,sma 9,sma 21,sma 43,sma 144,stddev,-3s,-2s,+2s,+3s,RCI
2017/2/3,18996.74,19061.26,18830.89,18918.2,2116970000,18918.2,18918.2,18918.2,18918.2,0,18918.2,18918.2,18918.2,18918.2,100
2017/2/6,19069.72,19075.57,18899.4,18976.71,1797660000,18947.5,18947.5,18947.5,18947.5,41.4,18823.4,18864.8,19030.2,19071.6,100
2017/2/7,18844.12,18970.58,18805.32,18910.78,1694480000,18935.2,18935.2,18935.2,18935.2,36.1,18826.9,18863,19007.4,19043.5,99.6
2017/2/8,18951.16,19009.24,18875.57,19007.6,1641710000,18953.3,18953.3,18953.3,18953.3,46.7,18813.3,18859.9,19046.7,19093.3,99.6
2017/2/9,18942.04,18991.23,18874.91,18907.67,1933510000,18944.2,18944.2,18944.2,18944.2,45.3,18808.3,18853.6,19034.8,19080.1,98.3
2017/2/10,19216.74,19395.99,19193.57,19378.93,2242750000,19016.6,19016.6,19016.6,19016.6,182,18470.5,18652.5,19380.7,19562.7,98.3
2017/2/13,19513.78,19519.44,19418.18,19459.15,1880560000,19079.9,19079.9,19079.9,19079.9,235.8,18372.6,18608.4,19551.4,19787.2,98.3
2017/2/14,19478.86,19501.01,19232.85,19238.98,2104660000,19099.8,19099.8,19099.8,19099.8,225.4,18423.5,18649,19550.6,19776.1,97.9
2017/2/15,19438.81,19495.62,19420,19437.98,2104590000,19137.3,19137.3,19137.3,19137.3,239.1,18420,18659.1,19615.5,19854.6,97.7
2017/2/16,19431.61,19431.61,19260.24,19347.53,2027940000,19185,19158.4,19158.4,19158.4,235,18453.3,18688.3,19628.5,19863.5,96.6
2017/2/17,19228.74,19275.39,19173.53,19234.62,2029290000,19213.7,19165.3,19165.3,19165.3,224.1,18492.9,18717,19613.6,19837.7,94.7
2017/2/20,19161.33,19274.75,19115.11,19251.08,1497390000,19251.5,19172.4,19172.4,19172.4,215.1,18527,18742.1,19602.7,19817.8,92.6
2017/2/21,19267.87,19395.35,19261.98,19381.44,1528430000,19293,19188.5,19188.5,19188.5,214,18546.5,18760.5,19616.5,19830.5,91.3
2017/2/22,19419.22,19419.22,19329.28,19379.87,2174800000,19345.5,19202.2,19202.2,19202.2,211.9,18566.6,18778.5,19625.9,19837.8,89.6
2017/2/23,19379.92,19379.92,19262.63,19371.46,1961060000,19344.7,19213.5,19213.5,19213.5,208.8,18587.2,18795.9,19631.1,19839.8,86.2
2017/2/24,19232.11,19381.1,19219.58,19283.54,2112830000,19325.2,19217.8,19217.8,19217.8,202.5,18610.4,18812.9,19622.7,19825.2,81.3
2017/2/27,19130.51,19178.99,18995.55,19107.47,1838330000,19310.6,19211.4,19211.4,19211.4,197.9,18617.8,18815.7,19607.1,19805,72.7
2017/2/28,19194.68,19267.99,19118.99,19118.99,1984000000,19275.1,19206.2,19206.2,19206.2,193.2,18626.7,18819.9,19592.5,19785.7,62.7
2017/3/1,19226.94,19414.55,19164.62,19393.54,1993640000,19280.2,19216.1,19216.1,19216.1,192.6,18638.3,18830.9,19601.3,19793.9,59.9
2017/3/2,19624.82,19668.01,19564.8,19564.8,2210380000,19316.9,19233.5,19233.5,19233.5,203,18624.4,18827.5,19639.5,19842.6,59.9
2017/3/3,19551.34,19587.79,19392.75,19469.17,1717450000,19341.1,19244.7,19244.7,19244.7,204.5,18631.3,18835.8,19653.6,19858.1,59.7
2017/3/6,19409.18,19411.54,19340.32,19379.14,1408970000,19340.9,19266.7,19250.8,19250.8,192,18690.7,18882.7,19650.7,19842.7,53.9
2017/3/7,19337.19,19375.09,19317.1,19344.15,1575960000,19336.9,19284.2,19254.9,19254.9,180.7,18742.2,18922.9,19645.5,19826.2,41.8
2017/3/8,19308.53,19326.4,19198.78,19254.03,1626030000,19323.9,19300.5,19254.9,19254.9,159.5,18822.1,18981.5,19619.5,19778.9,26.9
2017/3/9,19343.06,19350.2,19262.98,19318.58,1595020000,19327.8,19315.3,19257.4,19257.4,144.7,18881.3,19026,19604.6,19749.3,11.3
