date,open,high,low,close,volume,adj.close
2017/06/01,617,621,613,615,59100,615
2017/06/02,615,621,613,617,93600,617
2017/06/05,617,629,614,626,122100,626
2017/06/06,627,628,615,625,126700,625
2017/06/07,624,638,623,635,215900,635
2017/06/08,639,640,632,638,161100,638
2017/06/09,634,641,628,638,138400,638
2017/06/12,640,641,626,630,79400,630
2017/06/13,626,627,619,619,93100,619
2017/06/14,621,632,621,625,94100,625
2017/06/15,628,628,619,624,60700,624
2017/06/16,625,627,620,622,49100,622
2017/06/19,622,627,620,625,66000,625
2017/06/20,630,631,625,628,86300,628
2017/06/21,625,636,625,628,81500,628
2017/06/22,629,639,629,636,70800,636
2017/06/23,638,639,629,630,58200,630
2017/06/26,634,669,633,667,370200,667
2017/06/27,662,663,646,646,162600,646
2017/06/28,651,655,630,631,129300,631
2017/06/29,634,640,628,628,80100,628
2017/06/30,625,625,616,619,112600,619
2017/07/03,624,629,620,626,60300,626
2017/07/04,630,633,619,624,171300,624
2017/07/05,623,632,619,628,83400,628
2017/07/06,628,629,624,624,45700,624
2017/07/07,622,632,621,629,60200,629
2017/07/10,631,632,627,628,35900,628
2017/07/11,628,644,628,639,71400,639
2017/07/12,639,639,630,630,58600,630
2017/07/13,630,631,622,628,59200,628
2017/07/14,628,632,623,625,54100,625
2017/07/18,625,631,620,626,73000,626
2017/07/19,626,627,620,622,71800,622
2017/07/20,627,630,623,628,39500,628
2017/07/21,628,634,624,634,78200,634
2017/07/24,629,639,623,639,90000,639
2017/07/25,637,642,632,638,103300,638
2017/07/26,637,646,636,643,72400,643
2017/07/27,642,649,635,648,97700,648
2017/07/28,611,617,607,617,302600,617
2017/07/31,615,623,614,621,99900,621
2017/08/01,621,621,608,613,86100,613
2017/08/02,613,615,610,611,45700,611
2017/08/03,610,613,609,612,85800,612
2017/08/04,613,622,613,620,44700,620
2017/08/07,620,623,614,622,60700,622
2017/08/08,618,627,618,627,45900,627
2017/08/09,624,624,610,614,113000,614
2017/08/10,615,618,607,610,37500,610
2017/08/14,601,609,599,606,66500,606
2017/08/15,606,616,606,611,57800,611
2017/08/16,612,620,612,616,33700,616
2017/08/17,614,620,614,616,24400,616
2017/08/18,609,616,609,609,40100,609
2017/08/21,605,616,605,606,68000,606
2017/08/22,604,608,602,603,34100,603
2017/08/23,607,609,601,601,37100,601
2017/08/24,600,602,596,602,55600,602
2017/08/25,602,610,601,609,56100,609
2017/08/28,615,615,607,610,21800,610
2017/08/29,607,610,604,609,19000,609
2017/08/30,611,611,600,608,44200,608
2017/08/31,607,608,606,607,28800,607
2017/09/01,607,607,599,601,48700,601
2017/09/04,598,600,582,586,74800,586
2017/09/05,586,590,572,580,110100,580
2017/09/06,572,586,571,582,42000,582
2017/09/07,583,589,580,583,33000,583
2017/09/08,582,587,581,582,40600,582
2017/09/11,590,594,585,588,31500,588
2017/09/12,595,597,587,596,60500,596
2017/09/13,595,603,591,598,32100,598
2017/09/14,596,600,593,596,25200,596
2017/09/15,592,607,592,605,50100,605
2017/09/19,620,621,613,619,66400,619
2017/09/20,620,620,611,619,46600,619
2017/09/21,616,622,616,622,35700,622
2017/09/22,623,623,617,618,39700,618
2017/09/25,621,631,618,630,100400,630
2017/09/26,640,646,637,640,126300,640
2017/09/27,643,643,637,643,75000,643
2017/09/28,641,644,636,643,71700,643
2017/09/29,645,646,641,644,68500,644
2017/10/02,647,649,640,645,63400,645
2017/10/03,650,650,643,643,30400,643
2017/10/04,642,643,638,638,41500,638
2017/10/05,635,638,627,629,39900,629
2017/10/06,629,632,625,630,53500,630
2017/10/10,630,633,625,629,80100,629
2017/10/11,628,629,624,627,42400,627
2017/10/12,631,632,629,632,58500,632
2017/10/13,633,636,630,633,65900,633
2017/10/16,636,638,631,636,57400,636
2017/10/17,638,638,634,638,37100,638
2017/10/18,635,638,635,637,25300,637
2017/10/19,635,638,633,636,40500,636
2017/10/20,636,647,633,643,150500,643
2017/10/23,646,650,643,649,89400,649
2017/10/24,649,655,645,655,92900,655
2017/10/25,655,655,648,650,89500,650
2017/10/26,649,649,639,642,51300,642
2017/10/27,645,658,644,656,66300,656
2017/10/30,656,668,652,660,167300,660
2017/10/31,658,674,658,673,127400,673
2017/11/01,673,676,666,668,61300,668
2017/11/02,668,673,659,671,68800,671
2017/11/06,671,673,667,670,65300,670
