code,date,open,high,low,close
998407.O,2017/10/02,20400.51,20411.33,20363.28,20400.78
998407.O,2017/10/03,20475.25,20628.38,20438.17,20614.07
998407.O,2017/10/04,20660.81,20689.08,20592.18,20626.66
998407.O,2017/10/05,20650.71,20667.47,20602.26,20628.56
998407.O,2017/10/06,20716.85,20721.15,20659.15,20690.71
998407.O,2017/10/10,20680.54,20823.66,20663.08,20823.51
998407.O,2017/10/11,20803.71,20898.41,20788.12,20881.27
998407.O,2017/10/12,20958.18,20994.4,20917.04,20954.72
998407.O,2017/10/13,20959.66,21211.29,20933.0,21155.18
998407.O,2017/10/16,21221.27,21347.07,21187.93,21255.56
998407.O,2017/10/17,21352.17,21393.96,21230.67,21336.12
998407.O,2017/10/18,21374.66,21402.76,21317.67,21363.05
998407.O,2017/10/19,21450.04,21503.85,21381.52,21448.52
998407.O,2017/10/20,21390.95,21489.26,21363.1,21457.64
998407.O,2017/10/23,21709.3,21723.6,21614.51,21696.65
998407.O,2017/10/24,21670.0,21805.17,21646.52,21805.17
998407.O,2017/10/25,21900.13,21921.36,21648.35,21707.62
998407.O,2017/10/26,21698.95,21793.62,21688.56,21739.78
998407.O,2017/10/27,21903.27,22016.5,21815.72,22008.45
998407.O,2017/10/30,22047.95,22086.88,21921.24,22011.67
998407.O,2017/10/31,21897.29,22020.38,21840.07,22011.61
998407.O,2017/11/01,22144.92,22455.92,22130.03,22420.08
998407.O,2017/11/02,22512.18,22540.25,22400.01,22539.12
998407.O,2017/11/06,22612.96,22644.68,22435.34,22548.35
998407.O,2017/11/07,22518.75,22953.18,22512.91,22937.6
998407.O,2017/11/08,22849.91,22922.8,22759.07,22913.82
998407.O,2017/11/09,22989.44,23382.15,22522.83,22868.71
998407.O,2017/11/10,22580.7,22724.39,22511.93,22681.42
998407.O,2017/11/13,22607.56,22607.92,22380.99,22380.99
998407.O,2017/11/14,22342.93,22532.3,22323.24,22380.01
998407.O,2017/11/15,22250.98,22305.24,22004.79,22028.32
998407.O,2017/11/16,21975.23,22392.13,21972.34,22351.12
998407.O,2017/11/17,22603.3,22757.4,22319.12,22396.8
998407.O,2017/11/20,22279.98,22410.24,22215.07,22261.76
998407.O,2017/11/21,22456.79,22563.25,22416.48,22416.48
998407.O,2017/11/22,22601.55,22677.34,22513.44,22523.15
998407.O,2017/11/24,22390.14,22567.2,22381.01,22550.85
998407.O,2017/11/27,22657.08,22659.33,22423.4,22495.99
998407.O,2017/11/28,22474.74,22580.99,22363.94,22486.24
998407.O,2017/11/29,22613.96,22643.93,22537.12,22597.2
998407.O,2017/11/30,22601.83,22748.32,22502.68,22724.96
998407.O,2017/12/01,22916.93,22994.31,22675.07,22819.03
998407.O,2017/12/04,22843.53,22864.33,22693.99,22707.16
998407.O,2017/12/05,22595.33,22682.71,22522.28,22622.38
998407.O,2017/12/06,22525.38,22528.21,22119.21,22177.04
998407.O,2017/12/07,22317.15,22515.24,22317.15,22498.03
998407.O,2017/12/08,22627.95,22819.71,22625.41,22811.08
