date,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2017/10/2,20400.51,20411.33,20363.28,20400.78,20400.8,20400.8,20400.8,20400.8,20400.8,0,20400.8,20400.8,20400.8,20400.8,100
2017/10/3,20475.25,20628.38,20438.17,20614.07,20507.4,20507.4,20507.4,20507.4,20507.4,150.8,20054.9,20205.8,20809,20959.9,100
2017/10/4,20660.81,20689.08,20592.18,20626.66,20547.2,20547.2,20547.2,20547.2,20547.2,126.9,20166.4,20293.3,20801.1,20928,100
2017/10/5,20650.71,20667.47,20602.26,20628.56,20567.5,20567.5,20567.5,20567.5,20567.5,111.3,20233.5,20344.8,20790.2,20901.5,100
2017/10/6,20716.85,20721.15,20659.15,20690.71,20592.2,20592.2,20592.2,20592.2,20592.2,111.1,20259,20370.1,20814.3,20925.4,100
2017/10/10,20680.54,20823.66,20663.08,20823.51,20630.7,20630.7,20630.7,20630.7,20630.7,137.1,20219.5,20356.6,20904.8,21041.9,100
2017/10/11,20803.71,20898.41,20788.12,20881.27,20666.5,20666.5,20666.5,20666.5,20666.5,156.9,20195.7,20352.7,20980.3,21137.3,100
2017/10/12,20958.18,20994.4,20917.04,20954.72,20702.5,20702.5,20702.5,20702.5,20702.5,177.5,20170.1,20347.6,21057.4,21234.9,100
2017/10/13,20959.66,21211.29,20933,21155.18,20796.8,20752.8,20752.8,20752.8,20752.8,224.3,20079.8,20304.2,21201.4,21425.8,100
2017/10/16,21221.27,21347.07,21187.93,21255.56,20877,20803.1,20803.1,20803.1,20803.1,264.6,20009.4,20273.9,21332.3,21596.8,100
2017/10/17,21352.17,21393.96,21230.67,21336.12,20965.7,20851.6,20851.6,20851.6,20851.6,298,19957.5,20255.5,21447.7,21745.7,100
2017/10/18,21374.66,21402.76,21317.67,21363.05,21057.5,20894.2,20894.2,20894.2,20894.2,320.2,19933.5,20253.7,21534.7,21854.9,100
2017/10/19,21450.04,21503.85,21381.52,21448.52,21152.2,20936.8,20936.8,20936.8,20936.8,343,19907.8,20250.8,21622.8,21965.8,100
2017/10/20,21390.95,21489.26,21363.1,21457.64,21231.5,20974,20974,20974,20974,357.7,19900.8,20258.5,21689.5,22047.2,100
2017/10/23,21709.3,21723.6,21614.51,21696.65,21333.4,21022.2,21022.2,21022.2,21022.2,392,19846.3,20238.3,21806.1,22198.1,100
2017/10/24,21670,21805.17,21646.52,21805.17,21439.7,21071.1,21071.1,21071.1,21071.1,426.3,19792.3,20218.5,21923.7,22349.9,100
2017/10/25,21900.13,21921.36,21648.35,21707.62,21508.8,21108.6,21108.6,21108.6,21108.6,440.7,19786.6,20227.3,21989.9,22430.6,99.9
2017/10/26,21698.95,21793.62,21688.56,21739.78,21569.3,21143.6,21143.6,21143.6,21143.6,452.7,19785.6,20238.3,22048.9,22501.6,99.6
2017/10/27,21903.27,22016.5,21815.72,22008.45,21653.4,21189.2,21189.2,21189.2,21189.2,482.6,19741.5,20224,22154.4,22636.9,99.6
2017/10/30,22047.95,22086.88,21921.24,22011.67,21734.4,21230.3,21230.3,21230.3,21230.3,504.4,19717,20221.4,22239.2,22743.6,99.6
2017/10/31,21897.29,22020.38,21840.07,22011.61,21804.8,21267.5,21267.5,21267.5,21267.5,520.4,19706.4,20226.7,22308.3,22828.6,99.5
2017/11/1,22144.92,22455.92,22130.03,22420.08,21925.1,21363.6,21319.9,21319.9,21319.9,538.5,19748.2,20286.7,22440.5,22979,99.5
2017/11/2,22512.18,22540.25,22400.01,22539.12,22030.4,21455.3,21372.9,21372.9,21372.9,567.6,19752.6,20320.2,22590.4,23158,99.5
2017/11/6,22612.96,22644.68,22435.34,22548.35,22123.3,21546.8,21421.9,21421.9,21421.9,582,19800.8,20382.8,22710.8,23292.8,99.5
2017/11/7,22518.75,22953.18,22512.91,22937.6,22277.1,21656.8,21482.5,21482.5,21482.5,616.9,19806,20423,22890.6,23507.6,99.5
2017/11/8,22849.91,22922.8,22759.07,22913.82,22423.8,21762.6,21537.5,21537.5,21537.5,633.4,19862.5,20495.8,23029.4,23662.7,99.4
2017/11/9,22989.44,23382.15,22522.83,22868.71,22531.4,21860,21586.9,21586.9,21586.9,639,19943.1,20582.1,23137.9,23776.9,99
2017/11/10,22580.7,22724.39,22511.93,22681.42,22615.1,21945.8,21625.9,21625.9,21625.9,621.6,20081,20702.6,23189,23810.6,98.2
2017/11/13,22607.56,22607.92,22380.99,22380.99,22661.3,22013.7,21652,21652,21652,584.7,20259.5,20844.2,23183.2,23767.9,94.5
2017/11/14,22342.93,22532.3,22323.24,22380.01,22656.3,22072,21676.2,21676.2,21676.2,555.2,20406.5,20961.7,23182.3,23737.5,89.9
2017/11/15,22250.98,22305.24,22004.79,22028.32,22592.4,22108.8,21687.6,21687.6,21687.6,523,20539.7,21062.8,23154.8,23677.9,84
