date,open,high,low,close,volume,sma 5,sma 21,sma 55,sma 89,sma 200,stddev,-3s,-2s,+2s,+3s,RCI
2016/1/4,19400,19520,18950,19030,145642,19030,19030,19030,19030,19030,0,19030,19030,19030,19030,16000
2016/1/5,18950,19110,18880,18920,38649,18975,18975,18975,18975,18975,77.8,18741.7,18819.4,19130.6,19208.3,15999
2016/1/6,18930,19020,18610,18790,72197,18913.3,18913.3,18913.3,18913.3,18913.3,120.1,18552.9,18673,19153.6,19273.7,15995
2016/1/7,18680,19000,18320,18330,66497,18767.5,18767.5,18767.5,18767.5,18767.5,307.7,17844.3,18152.1,19382.9,19690.7,15987
2016/1/8,18150,18530,18070,18270,91575,18668,18668,18668,18668,18668,347.2,17626.5,17973.7,19362.3,19709.5,15974
2016/1/12,17970,18090,17720,17800,57536,18422,18523.3,18523.3,18523.3,18523.3,471.2,17109.8,17581,19465.6,19936.8,15955
2016/1/13,17980,18140,17870,18110,31778,18260,18464.3,18464.3,18464.3,18464.3,457.6,17091.5,17549.1,19379.5,19837.1,15929
2016/1/14,17610,17690,17330,17660,57612,18034,18363.8,18363.8,18363.8,18363.8,510.2,16833.1,17343.3,19384.3,19894.5,15892
2016/1/15,17950,18020,17460,17550,31041,17878,18273.3,18273.3,18273.3,18273.3,549,16626.4,17175.3,19371.3,19920.2,15845
2016/1/18,17150,17440,17050,17350,55393,17694,18181,18181,18181,18181,594.3,16398.2,16992.5,19369.5,19963.8,15787
2016/1/19,17300,17490,17190,17450,48332,17624,18114.5,18114.5,18114.5,18114.5,605.3,16298.6,16903.9,19325.1,19930.4,15717
2016/1/20,17440,17440,16760,16810,93016,17364,18005.8,18005.8,18005.8,18005.8,689.1,15938.4,16627.5,19384.1,20073.2,15631
2016/1/21,16880,17130,16390,16410,103939,17114,17883.1,17883.1,17883.1,17883.1,794.5,15499.6,16294.1,19472.1,20266.6,15530
2016/1/22,16960,17390,16840,17330,56519,17070,17843.6,17843.6,17843.6,17843.6,777.5,15511,16288.6,19398.6,20176.2,15416
2016/1/25,17560,17610,17310,17510,65354,17102,17821.3,17821.3,17821.3,17821.3,754.2,15558.8,16313,19329.6,20083.8,15299
2016/1/26,17200,17210,17030,17090,48674,17030,17775.6,17775.6,17775.6,17775.6,751.2,15522,16273.2,19278,20029.2,15152
2016/1/27,17420,17650,17350,17530,38605,17174,17761.2,17761.2,17761.2,17761.2,729.8,15571.9,16301.7,19220.7,19950.5,15012
