date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI,stddev
2017/1/4,1054,1087,1054,1069,1063000,1069,1069,1069,1069,600,1069,1069,1069,1069,600,100,0
2017/1/5,1090,1141,1079,1115,1839000,1115,1092,1092,1092,632.5,994.4,1026.9,1157.1,1189.6,600,100,32.5
2017/1/6,1097,1103,1081,1085,827000,1085,1089.7,1089.7,1089.7,623.4,1019.6,1043,1136.4,1159.8,599.9,99.9,23.4
2017/1/10,1093,1093,1063,1071,599000,1071,1085,1085,1085,621.2,1021.3,1042.5,1127.5,1148.7,599.7,99.7,21.2
2017/1/11,1072,1079,1064,1068,399000,1068,1081.6,1081.6,1081.6,619.9,1021.9,1041.8,1121.4,1141.3,598.9,98.9,19.9
2017/1/12,1066,1068,1047,1058,472000,1058,1079.4,1077.7,1077.7,620.2,1017,1037.2,1118.2,1138.4,597.8,97.8,20.2
2017/1/13,1054,1066,1050,1064,350000,1064,1069.2,1075.7,1075.7,619.2,1018.2,1037.3,1114.1,1133.2,596.2,96.2,19.2
2017/1/16,1059,1063,1035,1040,288000,1040,1060.2,1071.2,1071.2,621.8,1005.8,1027.6,1114.8,1136.6,594.1,94.1,21.8
2017/1/17,1030,1037,1016,1019,408000,1019,1049.8,1065.4,1065.4,626.8,985,1011.8,1119,1145.8,591.3,91.3,26.8
2017/1/18,1003,1029,1003,1023,390000,1023,1040.8,1061.2,1061.2,628.6,975.3,1004,1118.4,1147.1,587.9,87.9,28.6
2017/1/19,1041,1055,1040,1045,478000,1045,1038.2,1059.7,1059.7,627.6,976.9,1004.5,1114.9,1142.5,584.2,84.2,27.6
2017/1/20,1045,1053,1033,1049,396000,1049,1035.2,1058.8,1058.8,626.5,979.3,1005.8,1111.8,1138.3,579.8,79.8,26.5
2017/1/23,1046,1054,1038,1047,249000,1047,1036.6,1057.9,1057.9,625.6,981.2,1006.8,1109,1134.6,574.9,74.9,25.6
2017/1/24,1040,1046,1038,1039,269000,1039,1040.6,1056.6,1056.6,625.1,981.4,1006.4,1106.8,1131.8,568.6,68.6,25.1
