date,open,high,low,close,volume,adj.close
2017/01/04,400,408,399,406,1041400,406
2017/01/05,408,414,406,410,1009900,410
2017/01/06,410,432,407,432,1718100,432
2017/01/10,436,436,420,422,1545300,422
2017/01/11,429,429,406,407,1477200,407
2017/01/12,402,430,401,409,1157100,409
2017/01/13,405,418,405,415,779000,415
2017/01/16,410,411,396,396,1090800,396
2017/01/17,395,402,387,389,1060900,389
2017/01/18,381,386,375,386,1525500,386
2017/01/19,386,388,378,380,762800,380
2017/01/20,378,388,378,382,695400,382
2017/01/23,383,387,379,383,496000,383
2017/01/24,377,386,377,379,588300,379
2017/01/25,384,389,381,389,742300,389
2017/01/26,394,395,375,375,1915900,375
2017/01/27,375,380,368,375,1379600,375
2017/01/30,369,381,367,377,1114100,377
2017/01/31,370,373,365,365,1361300,365
2017/02/01,365,371,362,370,1104400,370
2017/02/06,371,384,368,381,1444300,381
2017/02/07,374,375,362,363,2183600,363
2017/02/08,317,337,313,314,6858300,314
2017/02/09,317,324,315,318,2691500,318
2017/02/10,318,320,313,316,2382200,316
2017/02/13,322,330,321,326,1799100,326
2017/02/14,327,332,322,328,1996400,328
2017/02/15,327,336,326,331,1268500,331
2017/02/16,334,336,331,332,647500,332
2017/02/17,333,344,331,342,1487200,342
2017/02/20,341,343,332,335,851300,335
2017/02/21,335,353,335,349,1809400,349
2017/02/22,349,352,345,345,739700,345
2017/02/23,341,348,341,346,613100,346
2017/02/24,350,363,345,361,2290800,361
2017/02/27,358,368,354,368,1733300,368
2017/02/28,368,372,360,360,2281600,360
2017/03/01,358,359,347,351,1827200,351
2017/03/02,356,360,353,357,1101300,357
2017/03/03,357,358,351,351,764100,351
2017/03/09,360,362,356,359,858000,359
2017/03/10,360,370,356,367,1371600,367
2017/03/13,365,374,363,373,1104700,373
2017/03/14,373,385,370,378,2682700,378
2017/03/15,380,381,360,371,1908400,371
2017/03/16,373,383,372,380,2176600,380
2017/03/17,380,383,372,373,1474800,373
