Code,Name,Short Seller,Date,Ratio,Number,Prev. Date,Prev. Ratio
1435,ＴＡＴＥＲＵ　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0163,1410508,2018-08-07 00:00:00,0.0162
1456,ダイワ上場投信－日経平均インバース・インデックス　受益証券,三菱ＵＦＪモルガン・スタンレー証券株式会社,2018-08-09,0,0,2018-08-08 00:00:00,0.0064
1473,Ｏｎｅ　ＥＴＦ　トピックス　受益証券,J.P. MORGAN SECURITIES PLC,2018-08-08,0.0125,1090232,2018-08-02 00:00:00,0.0139
1514,住石ホールディングス　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0068,401200,2018-08-07 00:00:00,0.0068
1711,省電舎ホールディングス　普通株式,Credit Suisse Securities (Europe) Limited,2018-08-08,0.0128,35300,2018-08-07 00:00:00,0.0194
1919,ヤマダ・エスバイエルホーム　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.0053,1100521,2018-08-07 00:00:00,0.0069
1945,東京エネシス　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.0055000000000000005,208149,2018-08-06 00:00:00,0.0043
1963,日揮　普通株式,MERRILL LYNCH INTERNATIONAL,2018-08-08,0.0075,1964553,2018-08-07 00:00:00,0.0078
2130,メンバーズ　普通株式,Barclays Capital Securities Ltd,2018-08-08,0.006,77300,2018-07-24 00:00:00,0.0054
2158,ＦＲＯＮＴＥＯ　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.0039000000000000003,151119,2018-08-07 00:00:00,0.0053
2160,ジーエヌアイグループ　普通株式,Nomura International plc,2018-08-08,0.008199999999999999,111700,2018-08-03 00:00:00,0.0079
2168,パソナグループ　普通株式,GOLDMAN SACHS INTERNATIONAL,2018-08-08,0.005,208598,2018-08-07 00:00:00,0.0049
2175,エス・エム・エス　普通株式,Integrated Core Strategies (Asia) Pte. Ltd.,2018-08-08,0.005,434498,2018-08-03 00:00:00,0.004699999999999999
2191,テラ　普通株式,"E4-B Investments Co.,Ltd",2018-08-09,0.017,297200,2018-08-08 00:00:00,0.0157
2191,テラ　普通株式,JPM Securities Japan Co Ltd.,2018-08-08,0.0189,330574,2018-08-07 00:00:00,0.0197
2191,テラ　普通株式,OXAM QUANT FUND LIMITED,2018-08-08,0.0113,197200,2018-08-07 00:00:00,0.0113
