TSP runs for D&S factor = 1.8.
Num of Cities, Iteration, D&S time, D&S cost, NN time, NN cost, DST time, DST cost
100, 0, 0, 120480, 0.02, 100586, 0.06, 105642
100, 1, 0, 115546, 0.02, 91341.6, 0.06, 99495.7
100, 2, 0, 120282, 0.02, 95918, 0.06, 111484
100, 3, 0, 118759, 0.02, 99619.9, 0.07, 99312.9
100, 4, 0, 118441, 0.02, 92521.9, 0.06, 104650
100, 5, 0, 119213, 0.02, 98948.8, 0.06, 103686
100, 6, 0, 121210, 0.02, 98160.5, 0.06, 104619
100, 7, 0, 117852, 0.02, 96740.4, 0.06, 99038.7
100, 8, 0, 120733, 0.02, 102068, 0.06, 116394
100, 9, 0, 121146, 0.02, 95957.7, 0.06, 105833
100, 10, 0, 125344, 0.02, 104492, 0.06, 109062
100, 11, 0, 118246, 0.02, 99864.3, 0.06, 96924.4
100, 12, 0, 121266, 0.02, 100682, 0.06, 106977
100, 13, 0, 119525, 0.02, 91127.1, 0.06, 108809
100, 14, 0, 124783, 0.02, 89435.3, 0.06, 107843
100, 15, 0, 109753, 0.02, 92153.3, 0.07, 102313
100, 16, 0, 119852, 0.02, 101250, 0.06, 109901
100, 17, 0, 120981, 0.02, 93545.4, 0.06, 111347
100, 18, 0, 117626, 0.02, 93748.6, 0.06, 110660
100, 19, 0, 122275, 0.02, 89947.2, 0.06, 103690
100, 20, 0, 117469, 0.02, 102587, 0.06, 102742
100, 21, 0, 117197, 0.02, 96787.9, 0.06, 106811
100, 22, 0, 122973, 0.02, 94547.3, 0.06, 104888
100, 23, 0, 119773, 0.02, 103247, 0.06, 105290
200, 0, 0, 166106, 0.08, 145829, 0.26, 148289
200, 1, 0, 168258, 0.08, 134421, 0.26, 148710
200, 2, 0, 166318, 0.08, 132793, 0.26, 144802
200, 3, 0, 170496, 0.08, 137682, 0.26, 154000
200, 4, 0, 160278, 0.08, 132493, 0.26, 146710
200, 5, 0, 160527, 0.08, 137023, 0.26, 149205
200, 6, 0, 171436, 0.08, 130102, 0.26, 152932
200, 7, 0, 160471, 0.08, 135427, 0.26, 143147
200, 8, 0, 162971, 0.08, 129103, 0.25, 136868
200, 9, 0, 167871, 0.08, 133485, 0.26, 147102
200, 10, 0, 168283, 0.08, 144294, 0.26, 151715
200, 11, 0, 169101, 0.08, 136182, 0.26, 153697
200, 12, 0, 166002, 0.08, 137065, 0.26, 143562
200, 13, 0, 163764, 0.08, 133296, 0.26, 145630
200, 14, 0, 168890, 0.08, 140666, 0.26, 144110
200, 15, 0, 168414, 0.08, 139646, 0.26, 144168
200, 16, 0, 165959, 0.08, 143253, 0.26, 153093
200, 17, 0, 169442, 0.08, 143246, 0.26, 151014
200, 18, 0, 161615, 0.08, 126092, 0.25, 149707
200, 19, 0, 163934, 0.08, 133583, 0.26, 148381
200, 20, 0, 161982, 0.08, 134994, 0.26, 148084
200, 21, 0, 170081, 0.08, 136782, 0.26, 145660
200, 22, 0, 161051, 0.08, 133878, 0.26, 148433
200, 23, 0, 165642, 0.08, 129580, 0.26, 150070
400, 0, 0.01, 247693, 0.31, 194804, 1.03, 205947
400, 1, 0.01, 247144, 0.31, 182752, 1.02, 206312
400, 2, 0.01, 247189, 0.31, 182259, 1.02, 213003
400, 3, 0.01, 251893, 0.31, 173968, 1.04, 206257
400, 4, 0.01, 242010, 0.31, 183836, 1.03, 216081
400, 5, 0.01, 245283, 0.31, 187730, 1.02, 206253
400, 6, 0.01, 247551, 0.3, 198890, 1.02, 215558
400, 7, 0.01, 247285, 0.31, 178140, 1.02, 208005
400, 8, 0.01, 247732, 0.31, 181799, 1.02, 212607
400, 9, 0.01, 251255, 0.31, 187012, 1.02, 206104
400, 10, 0.01, 243557, 0.31, 193900, 1.02, 211475
400, 11, 0.01, 254360, 0.31, 184943, 1.02, 213284
400, 12, 0.01, 244688, 0.31, 171210, 1.03, 205120
400, 13, 0.01, 251760, 0.31, 179937, 1.02, 202692
400, 14, 0.01, 245845, 0.31, 186665, 1.01, 210416
400, 15, 0.01, 251543, 0.31, 184340, 1.02, 201348
400, 16, 0.01, 243482, 0.31, 181061, 1.03, 206347
400, 17, 0.01, 252621, 0.31, 189348, 1.02, 211981
400, 18, 0.01, 251800, 0.31, 177958, 1.02, 207677
400, 19, 0.01, 252536, 0.31, 183774, 1.02, 203847
400, 20, 0.01, 244726, 0.31, 178712, 1.02, 203597
400, 21, 0.01, 248284, 0.31, 188079, 1.02, 204148
400, 22, 0.01, 251273, 0.31, 187116, 1.02, 209036
400, 23, 0.01, 246395, 0.31, 177938, 1.03, 207329
800, 0, 0.04, 342600, 1.25, 256543, 4.16, 294764
800, 1, 0.04, 338665, 1.27, 273390, 4.11, 295593
800, 2, 0.04, 335538, 1.26, 253936, 4.12, 288869
800, 3, 0.04, 338220, 1.27, 258667, 4.15, 290735
800, 4, 0.05, 340660, 1.27, 268927, 4.12, 285815
800, 5, 0.04, 340719, 1.26, 263963, 4.12, 288859
800, 6, 0.04, 342755, 1.27, 261307, 4.12, 292180
800, 7, 0.04, 339262, 1.27, 255697, 4.13, 291531
800, 8, 0.04, 338211, 1.27, 258990, 4.13, 286219
800, 9, 0.04, 338036, 1.26, 261022, 4.09, 286808
800, 10, 0.04, 339993, 1.27, 258426, 4.11, 290978
800, 11, 0.04, 333849, 1.27, 255843, 4.11, 280109
800, 12, 0.05, 337332, 1.26, 260598, 4.11, 289827
800, 13, 0.04, 338037, 1.28, 262358, 4.16, 284915
800, 14, 0.04, 340100, 1.27, 264710, 4.15, 287560
800, 15, 0.04, 334501, 1.27, 255858, 4.1, 288500
800, 16, 0.04, 338968, 1.27, 254681, 4.12, 299312
800, 17, 0.04, 339500, 1.27, 265049, 4.12, 291654
800, 18, 0.04, 338304, 1.27, 271926, 4.13, 290430
800, 19, 0.04, 342194, 1.28, 257552, 4.14, 294684
800, 20, 0.04, 341395, 1.27, 263959, 4.12, 291458
800, 21, 0.04, 340683, 1.27, 258726, 4.12, 285216
800, 22, 0.04, 336242, 1.27, 265687, 4.11, 290146
800, 23, 0.04, 337738, 1.27, 260767, 4.12, 280376
1000, 0, 0.06, 384276, 1.98, 290368, 6.45, 315655
1000, 1, 0.06, 381590, 1.99, 277148, 6.46, 323703
1000, 2, 0.06, 383694, 1.98, 285087, 6.43, 329899
1000, 3, 0.06, 380033, 2.02, 279905, 6.49, 320060
1000, 4, 0.06, 380214, 1.98, 300807, 6.43, 326106
1000, 5, 0.06, 385248, 1.98, 292221, 6.42, 321420
1000, 6, 0.06, 384593, 1.98, 283325, 6.42, 329255
1000, 7, 0.06, 383415, 1.99, 292467, 6.45, 331304
1000, 8, 0.06, 382754, 1.98, 295033, 6.43, 327958
1000, 9, 0.06, 383936, 1.98, 284292, 6.44, 317655
1000, 10, 0.06, 385928, 1.98, 289988, 6.43, 326431
1000, 11, 0.06, 382522, 1.98, 285128, 6.48, 329211
1000, 12, 0.06, 384419, 1.98, 288882, 6.46, 323375
1000, 13, 0.06, 383267, 1.98, 293512, 6.43, 327030
1000, 14, 0.06, 384927, 1.98, 287319, 6.43, 328924
1000, 15, 0.06, 381530, 1.98, 289750, 6.44, 323423
1000, 16, 0.06, 383159, 1.99, 299666, 6.45, 323979
1000, 17, 0.06, 383382, 1.98, 280272, 6.43, 318235
1000, 18, 0.06, 378411, 1.98, 288474, 6.44, 327190
1000, 19, 0.06, 377157, 1.98, 282054, 6.43, 318780
1000, 20, 0.06, 384614, 1.98, 278587, 6.43, 326247
1000, 21, 0.06, 385495, 1.98, 293796, 6.42, 325538
1000, 22, 0.06, 381176, 2, 298989, 6.51, 321316
1000, 23, 0.06, 380557, 2, 301560, 6.49, 318136
2000, 0, 0.17, 539202, 7.93, 405897, 25.94, 457324
2000, 1, 0.17, 533416, 7.93, 416616, 25.82, 454574
2000, 2, 0.17, 538200, 7.96, 402862, 25.83, 455615
2000, 3, 0.17, 537371, 7.93, 401484, 25.86, 458063
2000, 4, 0.17, 538210, 7.95, 404128, 25.85, 450221
2000, 5, 0.17, 533699, 7.96, 400830, 25.83, 446133
2000, 6, 0.17, 536516, 7.99, 404602, 25.93, 459515
2000, 7, 0.17, 534260, 7.93, 404568, 25.82, 459221
2000, 8, 0.17, 538921, 7.97, 411228, 25.83, 464808
2000, 9, 0.17, 541392, 7.99, 402521, 25.92, 453157
2000, 10, 0.17, 541261, 8, 408812, 25.83, 454724
2000, 11, 0.17, 541645, 7.91, 393953, 25.78, 459299
2000, 12, 0.17, 536207, 7.96, 402115, 25.87, 463104
2000, 13, 0.17, 538128, 7.92, 407568, 25.81, 458181
2000, 14, 0.17, 537310, 7.95, 413065, 25.88, 451144
2000, 15, 0.17, 540285, 7.91, 414518, 25.8, 462242
2000, 16, 0.17, 533340, 7.99, 417704, 25.91, 451623
2000, 17, 0.17, 533713, 7.93, 408768, 25.8, 457011
2000, 18, 0.17, 536999, 7.96, 397235, 25.82, 458708
2000, 19, 0.17, 537410, 7.98, 402850, 25.89, 451528
2000, 20, 0.17, 537977, 8, 406207, 26.13, 455531
2000, 21, 0.17, 534965, 7.92, 408836, 25.78, 460911
2000, 22, 0.17, 537552, 7.95, 414578, 25.81, 452847
2000, 23, 0.17, 532338, 7.93, 405486, 25.82, 457110
