TSP runs for D&S factor = 2.
Num of Cities, Iteration, D&S time, D&S cost, NN time, NN cost, DST time, DST cost
100, 0, 0, 104327, 0.02, 104423, 0.06, 110027
100, 1, 0, 106973, 0.02, 93160.6, 0.06, 105337
100, 2, 0, 108478, 0.02, 92821.4, 0.06, 107063
100, 3, 0, 105865, 0.02, 93561.9, 0.06, 102240
100, 4, 0, 109827, 0.02, 92153.3, 0.06, 106775
100, 5, 0, 104633, 0.02, 95639.3, 0.06, 114077
100, 6, 0, 103857, 0.02, 98338.3, 0.06, 106757
100, 7, 0, 109066, 0.02, 97674.7, 0.06, 108711
100, 8, 0, 105442, 0.02, 95526.1, 0.06, 106163
100, 9, 0, 107801, 0.02, 95081.7, 0.06, 98517.4
100, 10, 0, 109427, 0.02, 102496, 0.05, 111795
100, 11, 0, 106258, 0.02, 93402.9, 0.06, 106217
100, 12, 0, 100909, 0.02, 96078.1, 0.06, 104188
100, 13, 0, 106829, 0.02, 96814.5, 0.06, 108475
100, 14, 0, 107205, 0.02, 97228.2, 0.06, 113423
100, 15, 0, 109485, 0.02, 96724.9, 0.07, 105655
100, 16, 0, 108927, 0.02, 96767.6, 0.06, 109759
100, 17, 0, 102696, 0.02, 97272.2, 0.06, 104629
100, 18, 0, 98791, 0.02, 89659.2, 0.06, 112033
100, 19, 0, 105407, 0.02, 97404.5, 0.06, 111846
100, 20, 0, 110258, 0.02, 93055.5, 0.06, 106029
100, 21, 0, 108525, 0.02, 98204.4, 0.06, 108864
100, 22, 0, 103136, 0.02, 94457.3, 0.06, 113072
100, 23, 0, 111342, 0.02, 97439.3, 0.06, 104708
200, 0, 0, 166028, 0.08, 133680, 0.26, 142999
200, 1, 0, 167286, 0.08, 129252, 0.26, 142900
200, 2, 0, 164921, 0.08, 131916, 0.26, 142710
200, 3, 0, 160328, 0.08, 130326, 0.26, 137980
200, 4, 0, 168522, 0.07, 138747, 0.26, 150035
200, 5, 0, 162259, 0.08, 130969, 0.26, 146817
200, 6, 0, 165794, 0.08, 141107, 0.26, 157291
200, 7, 0, 167367, 0.08, 123463, 0.26, 143714
200, 8, 0, 169541, 0.08, 135767, 0.26, 149884
200, 9, 0, 163793, 0.08, 134917, 0.26, 146969
200, 10, 0, 168503, 0.08, 139593, 0.26, 158612
200, 11, 0, 162631, 0.08, 134662, 0.26, 149235
200, 12, 0, 165127, 0.08, 142362, 0.26, 145276
200, 13, 0, 164921, 0.08, 126736, 0.26, 149622
200, 14, 0, 165776, 0.08, 133986, 0.26, 149132
200, 15, 0, 163272, 0.08, 124654, 0.26, 135436
200, 16, 0, 167875, 0.08, 143883, 0.26, 148654
200, 17, 0, 162143, 0.08, 153231, 0.26, 158879
200, 18, 0, 161413, 0.08, 134659, 0.25, 147979
200, 19, 0, 163445, 0.08, 128653, 0.26, 151927
200, 20, 0, 165530, 0.08, 125282, 0.26, 146606
200, 21, 0, 159885, 0.08, 125799, 0.26, 142247
200, 22, 0, 165149, 0.08, 137519, 0.26, 146891
200, 23, 0, 166498, 0.08, 123617, 0.26, 136719
400, 0, 0.01, 219633, 0.32, 191326, 1.03, 212376
400, 1, 0.01, 225012, 0.32, 190570, 1.02, 208222
400, 2, 0.01, 221294, 0.32, 186576, 1.02, 209563
400, 3, 0.01, 217585, 0.32, 193617, 1.03, 206866
400, 4, 0.01, 219539, 0.32, 173572, 1.02, 201478
400, 5, 0.01, 219519, 0.32, 190623, 1.02, 206442
400, 6, 0.01, 217224, 0.32, 184666, 1.02, 196476
400, 7, 0.01, 219090, 0.32, 191969, 1.02, 205668
400, 8, 0.01, 219823, 0.32, 186754, 1.02, 207695
400, 9, 0.01, 220500, 0.32, 180840, 1.01, 199537
400, 10, 0.01, 222354, 0.32, 201015, 1.02, 216933
400, 11, 0.01, 221301, 0.32, 190438, 1.02, 206683
400, 12, 0.01, 219619, 0.32, 195424, 1.02, 206358
400, 13, 0.01, 221738, 0.32, 174085, 1.02, 197788
400, 14, 0.01, 218252, 0.32, 194150, 1.02, 205477
400, 15, 0.01, 222733, 0.32, 187713, 1.02, 209546
400, 16, 0.01, 215032, 0.32, 180813, 1.02, 202181
400, 17, 0.01, 219848, 0.32, 181258, 1.02, 202522
400, 18, 0.01, 221901, 0.32, 180762, 1.02, 207743
400, 19, 0.01, 216049, 0.32, 185557, 1.02, 199351
400, 20, 0.01, 218523, 0.32, 177712, 1.02, 199938
400, 21, 0.01, 225072, 0.32, 183980, 1.01, 204867
400, 22, 0.01, 220151, 0.32, 187445, 1.02, 212380
400, 23, 0.01, 223624, 0.31, 187573, 1.03, 203507
800, 0, 0.04, 325058, 1.27, 253130, 4.15, 293374
800, 1, 0.04, 329135, 1.27, 264885, 4.12, 294694
800, 2, 0.04, 329204, 1.27, 260477, 4.18, 286344
800, 3, 0.04, 322126, 1.27, 256361, 4.15, 286838
800, 4, 0.04, 325949, 1.27, 255350, 4.11, 288583
800, 5, 0.04, 326097, 1.27, 256337, 4.11, 289947
800, 6, 0.04, 325616, 1.27, 254541, 4.14, 288140
800, 7, 0.04, 323259, 1.27, 260462, 4.13, 293189
800, 8, 0.04, 324446, 1.27, 250130, 4.12, 285360
800, 9, 0.04, 327977, 1.26, 269727, 4.11, 293237
800, 10, 0.04, 326211, 1.27, 256525, 4.11, 277866
800, 11, 0.04, 324183, 1.26, 257393, 4.11, 296606
800, 12, 0.04, 317394, 1.27, 257120, 4.11, 290823
800, 13, 0.04, 323364, 1.28, 258423, 4.13, 291523
800, 14, 0.04, 321447, 1.27, 255863, 4.13, 296179
800, 15, 0.04, 323301, 1.27, 260988, 4.1, 294663
800, 16, 0.04, 323560, 1.27, 267813, 4.12, 288142
800, 17, 0.04, 325341, 1.27, 265008, 4.12, 289966
800, 18, 0.04, 327611, 1.27, 258412, 4.12, 295269
800, 19, 0.04, 322776, 1.27, 256085, 4.14, 289496
800, 20, 0.04, 326669, 1.27, 267086, 4.14, 280816
800, 21, 0.04, 326234, 1.26, 256174, 4.1, 286591
800, 22, 0.04, 320727, 1.27, 259787, 4.12, 288575
800, 23, 0.04, 327328, 1.27, 262987, 4.11, 293672
1000, 0, 0.06, 350026, 1.96, 295219, 6.45, 321006
1000, 1, 0.06, 352920, 1.98, 288259, 6.46, 327778
1000, 2, 0.06, 351424, 1.97, 289836, 6.4, 325869
