Pid	Order	grid.x	grid.y	org.x	org.y
0	0	0	0	88	206
1	90	98	646	48	306
2	6	38	136	32	103
3	32	78	276	208	446
4	24	178	296	148	196
5	58	178	356	130	152
6	66	198	416	148	156
7	79	198	476	148	146
8	81	178	466	128	136
9	19	158	186	128	106
10	8	138	126	128	96
11	80	118	516	72	182
12	97	198	556	151	191
13	77	128	496	79	173
14	95	138	546	86	190
15	98	148	566	99	193
16	99	158	576	111	194
17	7	78	136	72	103
18	22	98	216	72	122
19	64	138	406	81	160
20	76	118	486	69	171
21	71	138	436	90	165
22	13	48	156	26	110
23	52	218	156	159	140
24	27	78	246	46	128
25	12	38	156	20	110
26	0	0	0	11	92
27	38	78	306	38	138
28	61	108	376	53	157
29	4	48	116	43	98
30	10	58	146	38	108
31	37	58	306	20	138
32	60	68	366	16	153
33	26	38	236	8	126
34	70	228	426	180	162
35	59	58	366	10	153
36	62	78	386	25	158
37	75	58	476	10	169
38	65	88	416	34	161
39	78	68	506	15	181
40	82	68	516	19	185
41	92	108	536	56	188
42	94	98	546	48	190
43	73	148	456	102	167
44	63	128	396	79	159
45	87	288	156	185	142
46	57	118	346	74	150
47	40	138	326	92	142
48	35	128	296	94	137
49	17	118	186	93	114
50	0	0	0	11	69
51	0	0	0	12	58
52	86	288	146	185	131
53	83	278	136	184	118
54	69	278	116	184	100
55	68	268	66	177	53
56	54	238	66	163	52
57	0	0	0	76	83
58	84	288	76	185	59
59	101	298	106	187	83
60	0	0	0	108	49
61	0	0	0	68	84
62	0	0	0	47	46
63	0	0	0	64	56
64	0	0	0	80	55
65	0	0	0	43	51
66	0	0	0	34	69
67	0	0	0	42	86
68	0	0	0	128	29
69	0	0	0	37	61
70	0	0	0	97	50
71	0	0	0	113	85
72	0	0	0	82	28
73	0	0	0	81	36
74	0	0	0	56	50
75	0	0	0	66	40
76	0	0	0	81	36
77	0	0	0	105	31
78	0	0	0	121	26
79	42	148	46	143	38
80	0	0	0	95	30
81	0	0	0	117	58
82	0	0	0	124	67
83	0	0	0	95	55
84	0	0	0	120	29
85	0	0	0	94	14
86	0	0	0	108	32
87	0	0	0	76	72
88	20	148	196	118	116
89	23	158	226	129	123
90	49	208	126	157	113
91	51	218	106	159	86
92	46	178	66	149	57
93	45	168	46	147	38
94	5	128	126	123	100
95	53	228	96	161	82
96	0	0	0	38	21
97	0	0	0	42	35
98	50	218	96	159	79
99	0	0	0	90	90
100	0	0	0	93	88
101	43	148	116	143	112
The best total grid align cost is 776.

